GW Watershed name,IWM MICROBASIN,GW Village name,IWM VILLAGE
 ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,Cheekatimanipalli,Cheekatimanipalle
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Cheekirevulapalli,Cheekirevulapalle
ATP_C_66_Salakamcheruvu,ATP_C_66_SALAKAMCHERUVU-MB,Cheelapalli,Cheelapalle-1
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Chennampalli,Chennampalle-2
ATP_C_46_Enumuladoddi ,ATP_C_64_ENUMULADODDI-MB,Chennampalli,Chennampalle-4
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,Chennapuram,Chennapuram
ATP_C_66_Rotarypuram,ATP_C_66_ROTARYPURAM-MB,Chennarayanipalli,Chennarayunipalle
ATP_C_67_Ravulachervu,ATP_C_67_RAVULACHERUVU-MB,Chennarayapatnam,Chennarayapatnam
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Cherlopalli,Cherlopalli
ATP_C_67_Munimadugu,ATP_C_67_MUNIMADUGU-MB,Cherlopalli,Cherlopalle-2
 ATP_C_63_Cherukuru,ATP_C_63_CHERUKURU-MB,Cherukuru,Cherukur
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Chetnepalli,Chetnepalle
ATP_D_46_Basavanahalli,ATP_D_46_BASAVANAHALLI-MB,Chigathurpi,Chigathurpi
ATP_C_67_Chigicherla,ATP_C_67_CHIGICHERLA-MB,Chigicherla,Chigicherla
ATP_D_46_Uravakonda,ATP_D_46_URAVAKONDA-MB,Chikalaguriki,Cheekalaguriki
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Chilamakur,Chilamakuru
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Chilamathur,Chilamathur-1
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Chillavaripalli,Chillavaripalle
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Chinaganipalle,Chinaganipalle
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Chinnachigullarevu,Chinnachigullarevu
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Chinnahothur,Chinna Hothur
ATP_C_67_Tadimarri,ATP_C_67_TADIMARRI-MB,Chinnakotla,Chinnakotla
ATP_C_67_Thimmampalli,ATP_C_67_THIMMAMPALLI (PART)-MB,Chinnamallepalli,Chinnamallepalle
 ATP_C_63_Cherukuru,ATP_C_63_CHERUKURU-MB,Chinnamanthuru,Chinnamanthur
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Chinnapolamada,Chinnapolamada
 ATP_C_67_Nallacheruvu ,ATP_C_67_NALLACHERUVU-MB,Chinnaramannagaripalli,Chinnaramannagaripalle
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Chinnayekkaluru,Chinnayakkaluru
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Chintakunta,Chintakunta-3
ATP_C_65_Puppala,ATP_C_65_PUPPALA-MB,Chintalacheruvu,Chintacheruvu
ATP_D_46_Settur,ATP_D_46_SETTUR-MB,Chintarlapalli,Chintarlapalle
ATP_C_67_Kalasamudram,ATP_C_67_KALASAMUDRAM-MB,Chippalamadugu,Chippalamadugu
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Chitrachedu,Chitrachedu
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Chittoor,Chitturu
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Chiyyedu,Chiyyedu
ATP_C_63_Lepakshi,ATP_C_63_LEPAKSHI-MB,Cholasamudram,Cholasamudram-1
ATP_C_66_Vaddupalli,ATP_C_66_VADDUPALLI-MB,Cholasamudram,Cholasamudram
