,,,,CA,NCA,PQA,,,,,,,,,,,,,,,
,,,,Industrial,Industrial,Industrial,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total,,,,,,,,,,,,,,
116,12_C_65_01,ATP_C_65_Guntakal,Marnepalli,0,,,0,,,,,,,,,,,,,,
117,12_C_65_01,ATP_C_65_Guntakal,Peddoddi,0,,,0,,,,,,,,,,,,,,
118,12_C_65_01,ATP_C_65_Guntakal,Brahmanahaplli,0,,,0,,,,,,,,,,,,,,
119,12_C_65_01,ATP_C_65_Guntakal,Yerragudi,0,,,0,,,,,,,,,,,,,,
120,12_C_65_01,ATP_C_65_Guntakal,Anaganadoddi,0,,,0,,,,,,,,,,,,,,
121,12_C_65_01,ATP_C_65_Guntakal,Abbedoddi,0,,,0,,,,,,,,,,,,,,
122,12_C_65_01,ATP_C_65_Guntakal,Guntakal,0,,,0,,,,,,,,,,,,,,
123,12_C_65_02,ATP_C_65_Kaderpet,Vajrakaruru,0,,,0,,,,,,,,,,,,,,
124,12_C_65_02,ATP_C_65_Kaderpet,Ganjikunta,0,10,,10,,,,,,,,,,,,,,
125,12_C_65_02,ATP_C_65_Kaderpet,Kadamalakunta,0,,,0,,,,,,,,,,,,,,
126,12_C_65_02,ATP_C_65_Kaderpet,Tatrakal,0,,,0,,,,,,,,,,,,,,
127,12_C_65_02,ATP_C_65_Kaderpet,Pandikunta,0,,,0,,,,,,,,,,,,,,
128,12_C_65_02,ATP_C_65_Kaderpet,Anumpalli,0,,,0,,,,,,,,,,,,,,
129,12_C_65_02,ATP_C_65_Kaderpet,Kaderpeta,0,,,0,,,,,,,,,,,,,,
130,12_C_65_02,ATP_C_65_Kaderpet,Nemallepalli,,,,0,,,,,,,,,,,,,,
131,12_C_65_02,ATP_C_65_Kaderpet,Eddulapalli,,,,0,,,,,,,,,,,,,,
132,12_C_65_02,ATP_C_65_Kaderpet,Ramagiri,0,,,0,,,,,,,,,,,,,,
133,12_C_65_02,ATP_C_65_Kaderpet,Palyam,0,0,,0,,,,,,,,,,,,,,
134,12_C_65_02,ATP_C_65_Kaderpet,Katrimala,0,0,,0,,,,,,,,,,,,,,
135,12_C_65_02,ATP_C_65_Kaderpet,Apparajupeta,0,0,,0,,,,,,,,,,,,,,
136,12_C_65_02,ATP_C_65_Kaderpet,Kandlapalli,0,0,,0,,,,,,,,,,,,,,
137,12_C_65_02,ATP_C_65_Kaderpet,S.K.Peta,0,0,,0,,,,,,,,,,,,,,
138,12_C_65_02,ATP_C_65_Kaderpet,Vankarajukalva,0,0,,0,,,,,,,,,,,,,,
139,12_C_65_02,ATP_C_65_Kaderpet,Devarapalli,0,0,,0,,,,,,,,,,,,,,
140,12_C_65_02,ATP_C_65_Kaderpet,Akkajampalli,0,0,,0,,,,,,,,,,,,,,
141,12_C_65_02,ATP_C_65_Kaderpet,Yedururu,,,,0,,,,,,,,,,,,,,
142,12_C_65_02,ATP_C_65_Kaderpet,Ramarajupalli,,,,0,,,,,,,,,,,,,,
