,,,,,,,,Command,,,,Non command,,,,Poor command,,,
SR.NO,GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
84,ATP_D_46_Appilepalli,Granites,3,11,,,159.49,0,0,0,0,152.85,6.64,0,159.49,0,0,0,0
85,ATP_D_46_Basavanahalli,Granites,3,11,,,131.53,0,0,0,0,131.53,0,0,131.53,0,0,0,0
86,ATP_D_46_Beluguppa,Granites,3,11,,,268.66,0,0,0,0,259.79,8.87,8.87,268.66,0,0,0,0
87,ATP_D_46_Bhupasamudram,Granites,3,11,,,119.91,64.32,0.12,0,64.44,55.47,0,0,55.47,0,0,0,0
88,ATP_D_46_Brahmasamudram,Granites,3,11,,,456.76,0,0,0,0,405,51.76,51.76,456.76,0,0,0,0
89,ATP_D_46_D.Hirehal,Granites,3,11,,,337.33,157.25,10.66,0,167.91,118.96,50.46,0,169.42,0,0,0,0
90,ATP_D_46_Donekal,Granites,3,11,,,324.19,227.2,0,0,227.2,96.99,0,0,96.99,0,0,0,0
91,ATP_D_46_Kadlur,Granites,3,11,,,215.84,152.34999999,0.00000001,0.00000001,152.35,62.71,0.78000001,0.00000001,63.49000001,0,0,0,0
92,ATP_D_46_Kanekal,Granites,3,11,,,241.63,138.14,0,0,138.14,103.49,0,0,103.49,0,0,0,0
93,ATP_D_46_Kunduripi,Granites,3,11,,,131.03,0,0,0,0,95.47,35.56,35.56,131.03,0,0,0,0
94,ATP_D_46_Rayadurg,Granites,3,11,,,352.41,102.46,0,0,102.46,211.57,38.38,19.48,249.95,0,0,0,0
95,ATP_D_46_Settur,Granites,3,11,,,221.71,0,0,0,0,198.65,23.06,23.13,221.71,0,0,0,0
96,ATP_D_46_Sollapuram,Granites,3,11,,,9.19,3.52,0,0,0,0,0,0.01,5.52,0,0,0.14,0
97,ATP_D_46_Uravakonda,Granites,3,11,,,179.23,39.92,0,0,39.92,139.31,0,0,139.31,0,0,0,1.5
98,ATP_D_B.G. Halli,Granites,3,11,,,211.93,0,0,0,0,155.64,56.29,56.29,211.93,0,0,0,0
99,ATP-D-46-Havalgi,Granites,3,11,,,246.2,221.48,0.3,0,221.78,24.42,0,0,24.42,0,0,0,0
