,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
170,12_C_66_14,ATP_C_66_Ananthapuramu,Siddrampuram,0,0,36,13,,,49
171,12_C_66_14,ATP_C_66_Ananthapuramu,Janthaluru,,2,0,0,,,2
172,12_C_66_14,ATP_C_66_Ananthapuramu,Govindampalli,0,0,11,11,,,22
173,12_C_66_14,ATP_C_66_Ananthapuramu,B.K.Samudram,25,58,0,0,,,83
174,12_C_66_14,ATP_C_66_Ananthapuramu,Reddipalli,0,24,0,0,,,24
175,12_C_66_14,ATP_C_66_Ananthapuramu,Somaladoddi,0,1,0,0,,,1
176,12_C_66_14,ATP_C_66_Ananthapuramu,Narayanapuram,0,2,0,0,,,2
177,12_C_66_14,ATP_C_66_Ananthapuramu,Kodimi,0,0,0,10,,,10
178,12_C_66_14,ATP_C_66_Ananthapuramu,Alamur,0,0,17,7,,,24
179,12_C_66_14,ATP_C_66_Ananthapuramu,Kakkalapalli,0,0,2,3,,,5
180,12_C_66_14,ATP_C_66_Ananthapuramu,Anantapur,0,0,1875,47,,,1922
181,12_C_66_14,ATP_C_66_Ananthapuramu,Bukkacherla,0,0,7,2,,,9
182,12_C_66_14,ATP_C_66_Ananthapuramu,Katiganikaluva,0,0,10,11,,,21
183,12_C_66_04,ATP_C_66_Narpala,Chiyyedu,0,0,20,6,,,26
184,12_C_66_04,ATP_C_66_Narpala,Chennampalli,2,1,0,0,,,3
185,12_C_66_04,ATP_C_66_Narpala,K.Agragharam,31,12,0,0,,,43
186,12_C_66_04,ATP_C_66_Narpala,Danduvaripalli,0,0,12,20,,,32
187,12_C_66_04,ATP_C_66_Narpala,Chamaluru,1,2,0,0,,,3
188,12_C_66_04,ATP_C_66_Narpala,Narpala,2,1,0,0,,,3
189,12_C_66_04,ATP_C_66_Narpala,Daggumarri,0,0,2,1,,,3
190,12_C_66_04,ATP_C_66_Narpala,Bondalavada,0,0,2,5,,,7
191,12_C_66_04,ATP_C_66_Narpala,Siddaracherla,0,0,17,34,,,51
192,12_C_66_04,ATP_C_66_Narpala,Durgam,0,0,5,3,,,8
193,12_C_66_04,ATP_C_66_Narpala,Bandlapalli,0,0,7,10,,,17
194,12_C_66_04,ATP_C_66_Narpala,B.Pappur,2,0,8,19,,,29
195,12_C_66_04,ATP_C_66_Narpala,Venkatampalli,0,0,5,2,,,7
196,12_C_66_04,ATP_C_66_Narpala,Nadimidoddi,0,0,6,2,,,8
197,12_C_66_04,ATP_C_66_Narpala,Korivipalli,0,0,4,2,,,6
198,12_C_66_04,ATP_C_66_Narpala,Julakalva,0,0,3,20,,,23
199,12_C_66_04,ATP_C_66_Narpala,Peravali,0,0,5,13,,,18
200,12_C_66_06,ATP_C_66_Rotarypuram,Peddajalalpuram,0,0,0,1,,,1
201,12_C_66_06,ATP_C_66_Rotarypuram,Channavaram,11,0,0,0,,,11
202,12_C_66_06,ATP_C_66_Rotarypuram,Narasapuram,0,0,18,32,,,50
203,12_C_66_06,ATP_C_66_Rotarypuram,Akuledu,12,15,0,0,,,27
204,12_C_66_06,ATP_C_66_Rotarypuram,Loluru,7,1,0,0,,,8
205,12_C_66_06,ATP_C_66_Rotarypuram,Karnatakampalli,0,0,0,2,,,2
206,12_C_66_06,ATP_C_66_Rotarypuram,Podaralla,1,0,0,0,,,1
207,12_C_66_06,ATP_C_66_Rotarypuram,Taticherla,5,11,0,0,,,16
208,12_C_66_06,ATP_C_66_Rotarypuram,Kotanka,0,0,6,10,,,16
209,12_C_66_06,ATP_C_66_Rotarypuram,Marthadu,2,5,0,0,,,7
210,12_C_66_06,ATP_C_66_Rotarypuram,Jambuladine,6,2,0,0,,,8
211,12_C_66_06,ATP_C_66_Rotarypuram,Obulapuram,0,0,1,1,,,2
212,12_C_66_06,ATP_C_66_Rotarypuram,Garladinne,4,4,0,0,,,8
213,12_C_66_06,ATP_C_66_Rotarypuram,Chedulla,6,15,0,0,,,21
214,12_C_66_06,ATP_C_66_Rotarypuram,Korrapadu,3,2,0,0,,,5
215,12_C_66_06,ATP_C_66_Rotarypuram,Rotarypuram,2,1,0,0,,,3
216,12_C_66_06,ATP_C_66_Rotarypuram,Chennarayanipalli,2,17,0,0,,,19
217,12_C_66_06,ATP_C_66_Rotarypuram,Siddarampeta,2,0,0,0,,,2
218,12_C_66_10,ATP_C_66_Salakamcheruvu,Salakamcheruvu,0,13,0,0,,,13
219,12_C_66_10,ATP_C_66_Salakamcheruvu,Matlagondi,0,0,2,1,,,3
220,12_C_66_10,ATP_C_66_Salakamcheruvu,Sodanapalli,0,0,10,12,,,22
221,12_C_66_10,ATP_C_66_Salakamcheruvu,Singanamala,0,0,15,27,,,42
222,12_C_66_10,ATP_C_66_Salakamcheruvu,Cheelapalli,0,0,7,11,,,18
223,12_C_66_10,ATP_C_66_Salakamcheruvu,Chakrayapeta,0,0,6,28,,,34
224,12_D_46_06,ATP_D_46_Bhupasamudram,H.Hosahalli,2,2,0,0,,,4
225,12_D_46_06,ATP_D_46_Bhupasamudram,Bhupasamudram,3,18,0,0,,,21
226,12_D_46_06,ATP_D_46_Bhupasamudram,Veparala,0,0,12,5,,,17
227,12_D_46_06,ATP_D_46_Bhupasamudram,Junjurampalli,12,10,0,0,,,22
228,12_D_46_06,ATP_D_46_Bhupasamudram,Nagireddipalli,0,0,10,7,,,17
229,12_D_46_06,ATP_D_46_Bhupasamudram,Avuladatla,0,0,3,6,,,9
230,12_D-46-02,ATP-D-46-Havalgi,Vidapanakal,12,21,0,0,,,33
231,12_D-46-02,ATP-D-46-Havalgi,Havalgi,7,15,0,0,,,22
232,12_D-46-02,ATP-D-46-Havalgi,Karakamukkala,9,14,0,0,,,23
233,12_D-46-02,ATP-D-46-Havalgi,Malapuram,0,0,2,15,,,17
234,12_D-46-02,ATP-D-46-Havalgi,Palthuru,5,8,0,0,,,13
235,12_D-46-02,ATP-D-46-Havalgi,Vyasapuram,0,0,4,7,,,11
236,12_D-46-02,ATP-D-46-Havalgi,Bollanaguddam,2,0,0,5,,,7
237,12_D-46-02,ATP-D-46-Havalgi,Kalludevanahalli,4,1,0,1,,,6
238,12_D-46-02,ATP-D-46-Havalgi,D.Honnur,3,1,0,16,,,20
239,12_D_46_14,ATP_D_46_Kadlur,Ganigera,0,11,0,0,,,11
240,12_D_46_14,ATP_D_46_Kadlur,Yerraguntla,0,17,0,0,,,17
241,12_D_46_14,ATP_D_46_Kadlur,Singanahalli,0,1,0,0,,,1
242,12_D_46_14,ATP_D_46_Kadlur,Sreedharagatta,0,3,0,0,,,3
243,12_D_46_14,ATP_D_46_Kadlur,Kolaganahalli,0,4,0,0,,,4
244,12_D_46_14,ATP_D_46_Kadlur,Muradi,0,0,0,17,,,17
245,12_D_46_03,ATP_D_46_Kadlur,Kadalur,0,0,0,13,,,13
246,12_D_46_04,ATP_D_46_Kadlur,Kudlur,0,8,0,0,,,8
247,12_D_46_17,ATP_D_46_Rayadurg,74 Udegolam,0,0,4,6,,,10
248,12_D_46_17,ATP_D_46_Rayadurg,Kontanahalli,0,0,2,3,,,5
249,12_D_46_17,ATP_D_46_Rayadurg,Baginayanahalli,0,0,8,13,,,21
250,12_D_46_17,ATP_D_46_Rayadurg,Rayadurg,0,0,95,36,,,131
251,12_D_46_17,ATP_D_46_Rayadurg,Galagala,0,0,1,2,,,3
252,12_D_46_17,ATP_D_46_Rayadurg,Gollapalli,0,0,1,2,,,3
253,12_D_46_17,ATP_D_46_Rayadurg,Veerapuram,0,0,10,13,,,23
254,12_D_46_17,ATP_D_46_Rayadurg,Belodu,11,10,0,0,,,21
255,12_D_46_17,ATP_D_46_Rayadurg,Kalugodu,2,1,0,0,,,3
256,12_D_46_17,ATP_D_46_Rayadurg,Tallakera,19,23,0,0,,,42
257,12_D_46_17,ATP_D_46_Rayadurg,Gummagatta,0,1,0,0,,,1
258,12_D_46_17,ATP_D_46_Rayadurg,Rangasamudram,0,0,7,8,,,15
259,12_D_46_17,ATP_D_46_Rayadurg,Pulakunta,0,0,3,0,,,3
260,12_D_46_16,ATP_D_46_Sollapuram,Govidavada,0,14,0,0,,,14
261,12_D_46_16,ATP_D_46_Sollapuram,Bidurukotham,0,0,2,7,,,9
