,,,,Command Area,,,,,,,,Non-Command Area,,,,,,,,Poor GW quality area,,,,,,,,,,,,,,,,,,,,,,
,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,,,,,,,,,,,,,,,
50,12_D_46_01,ATP_D_46_Donekal,N.Thimmapuram,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,,,,,,,,0,,,,,,,,,,,,,,,
51,12_D_46_01,ATP_D_46_Donekal,Velpumadugu,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,380,,,,,,,,0,,,,,,,,,,,,,,,
52,12_D_46_01,ATP_D_46_Donekal,Chabala,0,0,80,0,0,0,0,80,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
53,12_D_46_01,ATP_D_46_Donekal,Konakondla,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,,,,,,,,0,,,,,,,,,,,,,,,
54,12_D_46_01,ATP_D_46_Donekal,Gulyapalem,0,0,38,0,0,0,0,38,0,6,0,0,0,0,0,6,,,,,,,,0,,,,,,,,,,,,,,,
55,12_D_46_01,ATP_D_46_Donekal,Pottipadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
56,12_D_46_01,ATP_D_46_Donekal,Gadehothur,0,0,44,0,0,0,0,44,0,0,0,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
57,12_D_46_01,ATP_D_46_Donekal,Chinnahothur,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
58,12_D_46_01,ATP_D_46_Donekal,Anchanahal,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,,,,,,,,0,,,,,,,,,,,,,,,
59,12_D_46_01,ATP_D_46_Donekal,Poliki,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,,,,,,,,0,,,,,,,,,,,,,,,
60,12_D_46_10,ATP_D_46_Kanekal,Brahmasamudram,0,0,265,0,0,0,0,265,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
61,12_D_46_10,ATP_D_46_Kanekal,Bennikal,0,0,238,0,0,0,0,238,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
62,12_D_46_10,ATP_D_46_Kanekal,Udegolam,0,0,330,0,0,0,0,330,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
63,12_D_46_10,ATP_D_46_Kanekal,Kanekal,0,0,1162,0,0,0,0,1162,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
64,12_D_46_10,ATP_D_46_Kanekal,Hulikera,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,337,,,,,,,,0,,,,,,,,,,,,,,,
