S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,,CA pre monsoon depth to water level ,CA post monsoon depth to water level,,Dependancy factor,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
12,VSP_E_27_NC_SABARI-2_CHINTAPALLI,VSP_E_27_SABARI-2_CHINTAPLLI_ AGENCY-MB,12.36,6.2,11.74,,,,0.98,1376,1135,241,1549.8,1462,87.8
13,VSP_E_27_NC_SABARI-3_G.MADUGULA,VSP_E_27_SABARI-3_ GMADUGULA_AGENCY-MB,9.68,5.98,11.01,,,,0.98,1268,1005,263,1604,1474,133
14,VSP_E_27_NC_SABARI-4_PEDABAYALU,VSP_E_27_SABARI-4_P BAYALU_AGENCY-MB,10.95,6.39,9.58,,,,0.98,1311,1114,197,1615,1464,151
15,VSP_E_27_NC_SABARI-5_M.PUTTI,VSP_E_27_SABARI-5_M PUTTU_AGENCY-MB,10.1,6.92,9.19,,,,0.98,1622,1465,157,1982,1856,126
16,VSP_E_27_NC_SABARI-6_PADERU,VSP_E_27_SABARI-6_PADERU_AGENCY-MB,10.96,6.21,8.38,,,,0.98,1395,1193,202,1381,1251,130
17,VSP_E_27_NC_SABARI-7_HUKUMPETA,VSP_E_27_SABARI-7_HUKUMPETA_ AGENCY-MB,9.36,4.65,7.47,,,,0.98,1237,959,278,1041,984,57
18,VSP_E_27_NC_SABARI-8_ARAKU VALLEY,VSP_E_27_SABARI-8_ARAKU VALLEY_AGENCY-MB,6.76,2.91,6.74,,,,0.98,1222,983,239,1253,1175,78
19,VSP_E_27_NC_SABARI-9_DUMBRIGUDA,VSP_E_27_SABARI-9_DUMBRIGUDA_ AGENCY-MB,6.38,2.94,6.05,,,,0.98,1266,1004,262,1254,1176,78
20,VSP_E_27_NC_SABARI-10_THOTAVALASA,VSP_E_27_SABARI-10_THOTAVALASA_ AGENCY-MB,6.76,2.91,6.74,,,,0.98,1222,983,239,1304,1217,87
21,VSP_F_09_NC_CMPVT_GARUGUBILLI_PART-VZM,VSP_F_9_CHAMPAVATHI_GARUGUBILLI_AGENCY-MB,13.95,11.99,13.8,,,,0.98,1309,1063,246,1383,1294,89
22,VSP_F_10_NC_GOSTHANI_1_BORRA_AGENCY,VSP_F_10_GOSTANI_ BORRA-MB,13.95,11.99,13.8,,,,0.98,1309,1063,246,1362,1273,89
23,VSP_F_10_NC_GOSTHANI_PADAMANABHAM,VSP_F_10_GOSTANI_ PADMANABHAM-MB,5.92,0.94,3.5,,,,0.98,1432,1242,190,1273,1179,94
24,VSP_F_11_NC_MMD_ANANDAPURAM,VSP_F_11_MMD_ ANANDAPURAM-MB,7.8,1.93,7.09,,,,0.98,1138,960,178,1100,1023,77
25,VSP_F_12_NC_NARAVA-1_SABBAVARAM,VSP_F_12_NARAVA-1   SABBAVARAM-MB,12.14,2.37,8.72,,,,0.98,1006,866,140,1171,1114,57
26,VSP_F_12_NC_NARAVA-2_PENDURTHI,VSP_F_12_NARAVA-2  _PENDURTY-MB,19.5,3.02,12.35,,,,0.98,1198,992,206,1323,1284,39
27,VSP_F_13_NC_ANAKAPALLI-1_PARAWADA,VSP_F_13_AKP-1_PARAWADA-MB,19.8,2.82,14.45,,,,0.98,1131,170,961,1061,1025,36
28,VSP_F_13_NC_ANANAKAPALLI-2_PGANTYADA,VSP_F_13_AKP-2_P GANTYADA-MB,10.55,3.24,8.54,,,,0.98,1006,866,140,1109,1071,38
29,VSP_14_NC_SARADA-1_ANANTHAGIRI,VSP_F_14_SARADA-1_ANANTAGIRI_ AGENCY-MB,13.95,11.99,13.8,,,,0.98,1309,1063,246,1072.2,1252,80
30,VSP_F_14_NC_SARADA-2_PEDAKOTA,VSP_F_14_SARADA-2_PEDAKOTA_AGENCY-MB,13.95,11.99,13.8,,,,0.98,1309.1,1063.4,245.7,1379,1291,88
31,VSP_F_14_NC_SARADA-3_GANGAVARAM,VSP_F_14_ SARADA-3_GANGAVARAM-MB,11.57,9.77,11.21,,,,0.98,1309,1063,246,1443,1360,83
32,VSP_F_14_NC_SARADA-4_DEVARAPALLI,VSP_F_14_ SARADA-4_DEVARAPALLI-MB,8.33,5.77,11.21,,,,0.98,1187,979,208,1520,1458,62
33,VSP_F_14_NC_SARADA-8_KASIMKOTA,VSP_F_14_SARADA-8_KASIMKOTA-MB,4.73,0.44,2.85,,,,0.98,1130,945,185,1096,1059,37
34,VSP_14_F_NC_SARADA-9_BUTCHAYYAPETA,VSP_F_14_SARADA-9_BUTCHAYYAPETA-MB,7.64,2.01,5.36,,,,0.98,1098,947,151,1234,1135,99
35,VSP_F_14_NC_SARADA-10_CHEEDIKADA,VSP_F_14_SARADA-10_ CHEEDIKADA-MB,4.5,1.33,3.95,,,,0.98,1158,931,227,1284,1177,107
36,VSP_F_15_NC_VARAHA-1_ROLUGUNTA,VSP_F_15_VARAHA-1_ROLUGUNTA-MB,5.56,1.71,2.32,,,,0.98,1268,1005,263,1275,1179,96
37,VSP_F_16_NC_TANDAVA-3_NATHAVARAM,VSP_F_16_ TANDAVA-3_NATAVARAM-MB,5.55,1.76,4.35,,,,0.98,1297,1063,234,1367,1272,95
38,VSP_F_16_NC_TANDAVA-4_K.AGRAHARAM,VSP_F_16_TANDAVA-4_K.AGRAHARAM-MB,5.55,1.76,4.35,,,,0.98,1297,1063,234,1526,1421,105
39,VSP_F_16_NC_TANDAVA-5_GOLUGONDAPETA,VSP_F_16_TANDAVA-5_GOLUGONDAPETA-MB,5.55,1.76,4.35,,,,0.98,1297,1063,234,1466,1367,99
40,VSP_F_16_NC_TANDAVA-6_GOLUGONDA,VSP_F_16_TANDAVA-6_GOLUGONDA-MB,12.05,7.56,11.5,,,,0.98,1159,982,177,1017,954,63
41,VSP_F_16_NC_TANDAVA-7_RAMARAJUPALEM,VSP_F_16_TANDAVA-7_RAMARAJUPALEM_ AGENCY-MB,12.65,7.53,11.78,,,,0.98,1271,1057,214,1522,1421,101
42,VSP_F_16_NC_TANDAVA-8_KOYYURU,VSP_F_16_TANDAVA-8_KOYYURU-MB,12.65,7.53,11.78,,,,0.98,1271,1057,214,1571,1464,107
43,VSP_F_16_NC_TANDAVA-9_M.BHEEMAVARAM,VSP_F_16_TANDAVA-9_MATTAMBHEMVARAM_AGENCY-MB,13.11,7.18,12.49,,,,0.98,1376,1135,241,1571,1464,107
