Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,,,,,,,,,,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,21,Thugutlapalle,0,,0,0,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160210116,21,Thugutlapalle
36,11_C_65_04,KDP_C_65_04_Gandikota,22,Kottagunta Palle,,233,233,12815,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,16,Jammalamadugu,11158160220109,22,Kottagunta Palle
37,11_C_65_04,KDP_C_65_04_Gandikota,1,DiguvaBrahmanapalli,,0,0,0,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,17,Muddanur,11158170010101,1,DiguvaBrahmanapalli
38,11_C_65_04,KDP_C_65_04_Gandikota,2,Kibili Rangapuram,,68,68,3740,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,17,Muddanur,11158170020102,2,Kibili Rangapuram
39,11_C_65_04,KDP_C_65_04_Gandikota,3,Obulapuram,,802,802,44110,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,17,Muddanur,11158170030102,3,Obulapuram
40,11_C_65_04,KDP_C_65_04_Gandikota,4,korrapadu,,2395,2395,131725,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,17,Muddanur,11158170040101,4,korrapadu
41,11_C_65_04,KDP_C_65_04_Gandikota,5,Mangapatnam,,2932,2932,161260,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,17,Muddanur,11158170050103,5,Mangapatnam
42,11_C_65_04,KDP_C_65_04_Gandikota,1,P.Gopalapuram,288,,288,15840,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,24,Yerraguntla,11159240010101,1,P.Gopalapuram
43,11_C_65_04,KDP_C_65_04_Gandikota,2,Chinnadandluru,2103,,2103,115665,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,24,Yerraguntla,11159240020101,2,Chinnadandluru
44,11_C_65_04,KDP_C_65_04_Gandikota,3,Illuru,811,,811,44605,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,24,Yerraguntla,11159240030102,3,Illuru
45,11_C_65_04,KDP_C_65_04_Gandikota,Z,RF,,0,0,0,,,PENNA,65_PENNA,PENNA,11_C_65_04,KDP_C_65_04_Gandikota,11,YSR Kadapa,Z,RF,,Z,RF
46,11_C_65_05,KDP_C_65_05_Potladurthi,6,Potladurthi,6901,,6901,379555,,,PENNA,65_PENNA,PENNA,11_C_65_05,KDP_C_65_05_Potladurthi,11,YSR Kadapa,24,Yerraguntla,11159240060106,6,Potladurthi
47,11_C_65_05,KDP_C_65_05_Potladurthi,7,Hanumangutti,1835,,1835,100925,,,PENNA,65_PENNA,PENNA,11_C_65_05,KDP_C_65_05_Potladurthi,11,YSR Kadapa,24,Yerraguntla,11159240070107,7,Hanumangutti
48,11_C_65_05,KDP_C_65_05_Potladurthi,8,K.Vengammagaripalli,,417,417,22935,,,PENNA,65_PENNA,PENNA,11_C_65_05,KDP_C_65_05_Potladurthi,11,YSR Kadapa,24,Yerraguntla,11159240080107,8,K.Vengammagaripalli
49,11_C_65_05,KDP_C_65_05_Potladurthi,9,Yerraguntla,,32574,32574,1791570,,,PENNA,65_PENNA,PENNA,11_C_65_05,KDP_C_65_05_Potladurthi,11,YSR Kadapa,24,Yerraguntla,11159240090108,9,Yerraguntla
50,11_C_65_05,KDP_C_65_05_Potladurthi,1,Kokatam,3400,,3400,187000,,,PENNA,65_PENNA,PENNA,11_C_65_05,KDP_C_65_05_Potladurthi,11,YSR Kadapa,25,Kamalapuram,11159250010101,1,Kokatam
51,11_C_65_05,KDP_C_65_05_Potladurthi,2,Sambaturu,1374,,1374,75570,,,PENNA,65_PENNA,PENNA,11_C_65_05,KDP_C_65_05_Potladurthi,11,YSR Kadapa,25,Kamalapuram,11159250020102,2,Sambaturu
52,11_C_65_08,KDP_C_65_08_Sidhout,15,Dumpalagattu,1400,,1400,77000,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,13,Khajipet,11156130150117,15,Dumpalagattu
53,11_C_65_08,KDP_C_65_08_Sidhout,16,Chemullapalli,4399,,4399,241945,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,13,Khajipet,11156130160118,16,Chemullapalli
54,11_C_65_08,KDP_C_65_08_Sidhout,17,Chennamukkapalli,1927,,1927,105985,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,13,Khajipet,11156130170120,17,Chennamukkapalli
55,11_C_65_08,KDP_C_65_08_Sidhout,4,Doulathapuram,755,,755,41525,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,27,Chennuru,11154270040105,4,Doulathapuram
56,11_C_65_08,KDP_C_65_08_Sidhout,5,Bayanapalli,4071,,4071,223905,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,27,Chennuru,11154270050105,5,Bayanapalli
57,11_C_65_08,KDP_C_65_08_Sidhout,6,Kanuparthi,1535,,1535,84425,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,27,Chennuru,11154270060105,6,Kanuparthi
58,11_C_65_08,KDP_C_65_08_Sidhout,3,Ponnavolu,,1658,1658,91190,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300030103,3,Ponnavolu
59,11_C_65_08,KDP_C_65_08_Sidhout,6,Jyothi,,1449,1449,79695,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300060106,6,Jyothi
60,11_C_65_08,KDP_C_65_08_Sidhout,7,Vonthatipalli,,1356,1356,74580,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300070107,7,Vonthatipalli
61,11_C_65_08,KDP_C_65_08_Sidhout,8,S.Rajampet,,834,834,45870,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300080108,8,S.Rajampet
62,11_C_65_08,KDP_C_65_08_Sidhout,11,Sidhout,,4787,4787,263285,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300110110,11,Sidhout
63,11_C_65_08,KDP_C_65_08_Sidhout,12,Jangalapalli,,907,907,49885,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300120111,12,Jangalapalli
64,11_C_65_08,KDP_C_65_08_Sidhout,13,Velugupalli,,441,441,24255,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,30,Sidhout,11154300130111,13,Velugupalli
65,11_C_65_08,KDP_C_65_08_Sidhout,Z,Rf,,,0,0,,,PENNA,65_PENNA,Local Strm,11_C_65_08,KDP_C_65_08_Sidhout,11,YSR Kadapa,Z,RF,,Z,Rf
66,11_C_65_09,KDP_C_65_09_Khajipet,4,Mittamanipalli,4253,,4253,233915,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060040104,4,Mittamanipalli
67,11_C_65_09,KDP_C_65_09_Khajipet,10,Settivaripalli,6662,,6662,366410,,,PENNA,65_PENNA,Vakkileru,11_C_65_09,KDP_C_65_09_Khajipet,11,YSR Kadapa,6,Mydukur,11156060100110,10,Settivaripalli
