S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
59,11_C_65_08,KDP_C_65_08_Sidhout,Jyothi,,,,,,,,,,,,,,,3,0.9,,,,,,,,,,,,,,
60,11_C_65_08,KDP_C_65_08_Sidhout,Vonthatipalli,,,,,,,,,,,,,,,4,1.2,5,0.15,,,,,,,,,,,,
61,11_C_65_08,KDP_C_65_08_Sidhout,S.Rajampet,,,,,,,,,,,,,,,1,0.3,5,0.15,,,,,,,,,,,,
62,11_C_65_08,KDP_C_65_08_Sidhout,Sidhout,,,,,,,,,,,,,,,5,1.5,4,0.12,,,,,,,,,,,,
63,11_C_65_08,KDP_C_65_08_Sidhout,Jangalapalli,,,,,,,,,,,,,,,4,1.2,,,,,,,,,,,,,,
64,11_C_65_08,KDP_C_65_08_Sidhout,Velugupalli,,,,,,,,,,,,,,,,,5,0.24,,,,,,,,,,,,
65,11_C_65_08,KDP_C_65_08_Sidhout,Rf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,11_C_65_09,KDP_C_65_09_Khajipet,Mittamanipalli,1,0.5,1,0.3,24,7.2,16,0.48,,,,,,,,,,,,,,,,,,,,,,
67,11_C_65_09,KDP_C_65_09_Khajipet,Settivaripalli,,,,,1,0.3,17,0.51,,,,,,,,,,,,,,,,,,,,,,
68,11_C_65_09,KDP_C_65_09_Khajipet,Nandyalampet,2,0.5,,,,,63,1.89,,,,,,,,,,,,,,,,,,,,,,
69,11_C_65_09,KDP_C_65_09_Khajipet,Somayajulapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,11_C_65_09,KDP_C_65_09_Khajipet,Annaluru,,,1,0.3,1,0.3,10,0.3,,,,,,,,,,,,,,,,,,,,,,
71,11_C_65_09,KDP_C_65_09_Khajipet,Sivapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,11_C_65_09,KDP_C_65_09_Khajipet,S.Mydukur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,11_C_65_09,KDP_C_65_09_Khajipet,Bhumayapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11_C_65_09,KDP_C_65_09_Khajipet,Buddayapalli,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
75,11_C_65_09,KDP_C_65_09_Khajipet,Pulluru,1,0.5,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
76,11_C_65_09,KDP_C_65_09_Khajipet,Nagasanipalli,1,0.5,,,19,5.7,,,,,,,,,,,,,,,,,,,,,,,,
77,11_C_65_09,KDP_C_65_09_Khajipet,Machupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,11_C_65_09,KDP_C_65_09_Khajipet,Pathuru,,,,,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
79,11_C_65_09,KDP_C_65_09_Khajipet,K.Sunkesula,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
80,11_C_65_09,KDP_C_65_09_Khajipet,Tudumuladinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,11_C_65_09,KDP_C_65_09_Khajipet,Kommaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,11_C_65_09,KDP_C_65_09_Khajipet,Thavvaripalli,,,,,2,0.6,,,,,,,,,,,,,,,,,,,,,,,,
83,11_C_65_09,KDP_C_65_09_Khajipet,Ravulapalli,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
84,11_C_65_09,KDP_C_65_09_Khajipet,Kotlur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,11_C_65_09,KDP_C_65_09_Khajipet,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,11_C_65_11,KDP_C_65_11_CHENNURU,Thollaganganapalli,,,,,5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
87,11_C_65_11,KDP_C_65_11_CHENNURU,Yadavapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,11_C_65_11,KDP_C_65_11_CHENNURU,Kokkarayapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,11_C_65_11,KDP_C_65_11_CHENNURU,Chennuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,11_C_65_11,KDP_C_65_11_CHENNURU,Nazeerbeigpalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,11_C_65_11,KDP_C_65_11_CHENNURU,Gurrampadu,1,0.5,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
92,11_C_65_11,KDP_C_65_11_CHENNURU,Ramanapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,11_C_65_11,KDP_C_65_11_CHENNURU,Upparapalli,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
94,11_C_65_11,KDP_C_65_11_CHENNURU,Dugganapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,11_C_65_11,KDP_C_65_11_CHENNURU,Chinnamachupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,11_C_65_11,KDP_C_65_11_CHENNURU,Rudrabharatipet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,11_C_65_11,KDP_C_65_11_CHENNURU,Rachinayanapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,11_C_65_11,KDP_C_65_11_CHENNURU,Mundlapalli,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
99,11_C_65_11,KDP_C_65_11_CHENNURU,Kopparthi,,,3,0.9,10,3,22,0.03,,,,,,,,,,,,,,,,,,,,,,
100,11_C_65_11,KDP_C_65_11_CHENNURU,Tadigotla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,11_C_65_11,KDP_C_65_11_CHENNURU,Royalapanthulapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,11_C_65_11,KDP_C_65_11_CHENNURU,T.Ramachandrapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,11_C_65_11,KDP_C_65_11_CHENNURU,Krishnapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,11_C_65_11,KDP_C_65_11_CHENNURU,Pabbapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,11_C_65_11,KDP_C_65_11_CHENNURU,Papasahebpet,2,0.5,1,0.3,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
106,11_C_65_11,KDP_C_65_11_CHENNURU,Cherlopalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,11_C_65_11,KDP_C_65_11_CHENNURU,Balupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,11_C_65_11,KDP_C_65_11_CHENNURU,K.Ramachandrapuram,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
109,11_C_65_11,KDP_C_65_11_CHENNURU,Kammavaripalli,,,,,,,,,,,0,,,2,0.9,,,,,,,,,,,,,,,
110,11_C_65_11,KDP_C_65_11_CHENNURU,Apparajupalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,11_C_65_11,KDP_C_65_11_CHENNURU,Ganganapalli,,,,,,,,,,,2,0.6,9,2.7,,,,,17.1,,,,,,,,,,,
112,11_C_65_11,KDP_C_65_11_CHENNURU,Tippireddypalli,,,,,,,,,,,1,0.3,1,0.3,,,,,2.25,,,,,,,,,,,
