,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
10,11_C_65_03,KDP_C_65_03_J.Madugu,Regulapalli,,,,,4,0,4,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
11,11_C_65_03,KDP_C_65_03_J.Madugu,Nanganurupalli,,,,,10,16,14,20,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
12,11_C_65_03,KDP_C_65_03_J.Madugu,Kothapalli,10,0,10,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
13,11_C_65_03,KDP_C_65_03_J.Madugu,Modameedipalli,7,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
14,11_C_65_03,KDP_C_65_03_J.Madugu,Rameswaram,24,0,36,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
15,11_C_65_03,KDP_C_65_03_J.Madugu,Jammalamadugu,0,0,12,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
16,11_C_65_03,KDP_C_65_03_J.Madugu,Kanneluru,87,16,28,51,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
17,11_C_65_03,KDP_C_65_03_J.Madugu,Moragudi,2,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
18,11_C_65_03,KDP_C_65_03_J.Madugu,Goriganuru,92,4,0,28,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
19,11_C_65_03,KDP_C_65_03_J.Madugu,Dharmapuram,142,22,1,28,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
20,11_C_65_03,KDP_C_65_03_J.Madugu,Danavulapadu,25,8,0,8,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
21,11_C_65_03,KDP_C_65_03_J.Madugu,Devagudi,24,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
22,11_C_65_03,KDP_C_65_03_J.Madugu,Purvapu Sugamanchupalle,17,5,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
23,11_C_65_04,KDP_C_65_04_Gandikota,Gandluru,,,,,0,0,20,4,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
24,11_C_65_04,KDP_C_65_04_Gandikota,Gudemcheruvu,,,,,32,5,22,4,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
25,11_C_65_04,KDP_C_65_04_Gandikota,Ponnathota,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
26,11_C_65_04,KDP_C_65_04_Gandikota,Diguvapatnam,,,,,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
27,11_C_65_04,KDP_C_65_04_Gandikota,Gandikota,,,,,0,0,42,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
28,11_C_65_04,KDP_C_65_04_Gandikota,Sanjeevapalle,,,,,0,0,12,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
29,11_C_65_04,KDP_C_65_04_Gandikota,Purvabommepalle,,,,,0,0,90,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
30,11_C_65_04,KDP_C_65_04_Gandikota,Vemaguntapalle,,,,,1,0,13,34,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
31,11_C_65_04,KDP_C_65_04_Gandikota,Ambavaram,,,,,36,5,19,8,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
32,11_C_65_04,KDP_C_65_04_Gandikota,Sirigepalle,35,16,15,10,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
33,11_C_65_04,KDP_C_65_04_Gandikota,Peddadandluru,94,6,27,9,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
34,11_C_65_04,KDP_C_65_04_Gandikota,Sunnapurallapalle,69,14,25,20,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
35,11_C_65_04,KDP_C_65_04_Gandikota,Thugutlapalle,24,5,5,5,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
36,11_C_65_04,KDP_C_65_04_Gandikota,Kottagunta Palle,,,,,0,0,7,7,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
37,11_C_65_04,KDP_C_65_04_Gandikota,DiguvaBrahmanapalli,,,,,0,0,3,2,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
38,11_C_65_04,KDP_C_65_04_Gandikota,Kibili Rangapuram,,,,,0,0,21,4,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
39,11_C_65_04,KDP_C_65_04_Gandikota,Obulapuram,,,,,2,0,61,12,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
40,11_C_65_04,KDP_C_65_04_Gandikota,korrapadu,,,,,4,0,58,22,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
41,11_C_65_04,KDP_C_65_04_Gandikota,Mangapatnam,,,,,8,0,285,29,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
42,11_C_65_04,KDP_C_65_04_Gandikota,P.Gopalapuram,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
43,11_C_65_04,KDP_C_65_04_Gandikota,Chinnadandluru,408,0,9,8,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
44,11_C_65_04,KDP_C_65_04_Gandikota,Illuru,44,0,4,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
45,11_C_65_04,KDP_C_65_04_Gandikota,RF,,,,,0,0,0,0,,,,,,0,0,0,,0,0,0,,,,,0,0,0,0,,,,,,,,
46,11_C_65_05,KDP_C_65_05_Potladurthi,Potladurthi,17,0,0,20,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
47,11_C_65_05,KDP_C_65_05_Potladurthi,Hanumangutti,0,0,0,30,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
48,11_C_65_05,KDP_C_65_05_Potladurthi,K.Vengammagaripalli,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
49,11_C_65_05,KDP_C_65_05_Potladurthi,Yerraguntla,,,,,0,0,0,9,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
50,11_C_65_05,KDP_C_65_05_Potladurthi,Kokatam,80,0,178,36,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,
51,11_C_65_05,KDP_C_65_05_Potladurthi,Sambaturu,0,0,0,20,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
52,11_C_65_08,KDP_C_65_08_Sidhout,Dumpalagattu,14,4,135,68,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
53,11_C_65_08,KDP_C_65_08_Sidhout,Chemullapalli,61,12,269,189,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
54,11_C_65_08,KDP_C_65_08_Sidhout,Chennamukkapalli,21,2,185,59,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
55,11_C_65_08,KDP_C_65_08_Sidhout,Doulathapuram,46,1,59,15,,,,,,,0,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
56,11_C_65_08,KDP_C_65_08_Sidhout,Bayanapalli,22,0,108,2,,,,,0,0,,0,0,0,0,0,,,,0,0,0,0,0,0,12,0,5,,,,,,,,
57,11_C_65_08,KDP_C_65_08_Sidhout,Kanuparthi,258,35,218,166,,,,,,,,,0,0,0,0,,,,0,,,,,0,0,0,0,,,,,,,,
58,11_C_65_08,KDP_C_65_08_Sidhout,Ponnavolu,,,,,148,0,133,234,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
59,11_C_65_08,KDP_C_65_08_Sidhout,Jyothi,,,,,100,0,108,137,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
60,11_C_65_08,KDP_C_65_08_Sidhout,Vonthatipalli,,,,,103,0,53,109,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
61,11_C_65_08,KDP_C_65_08_Sidhout,S.Rajampet,,,,,39,0,15,46,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
62,11_C_65_08,KDP_C_65_08_Sidhout,Sidhout,,,,,85,0,55,80,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
63,11_C_65_08,KDP_C_65_08_Sidhout,Jangalapalli,,,,,58,0,33,59,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
64,11_C_65_08,KDP_C_65_08_Sidhout,Velugupalli,,,,,38,0,24,63,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
65,11_C_65_08,KDP_C_65_08_Sidhout,Rf,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
