,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
105,11_C_65_11,KDP_C_65_11_CHENNURU,Papasahebpet,10,2,,,,,12,,,
106,11_C_65_11,KDP_C_65_11_CHENNURU,Cherlopalli,0,0,,,,,0,,,
107,11_C_65_11,KDP_C_65_11_CHENNURU,Balupalli,5,1,,,,,6,,,
108,11_C_65_11,KDP_C_65_11_CHENNURU,K.Ramachandrapuram,,,0,0,,,0,,,
109,11_C_65_11,KDP_C_65_11_CHENNURU,Kammavaripalli,,,18,3,,,21,,,
110,11_C_65_11,KDP_C_65_11_CHENNURU,Apparajupalli,4,1,,,,,5,,,
111,11_C_65_11,KDP_C_65_11_CHENNURU,Ganganapalli,,,18,6,,,24,,,
112,11_C_65_11,KDP_C_65_11_CHENNURU,Tippireddypalli,,,17,8,,,25,,,
113,11_C_65_11,KDP_C_65_11_CHENNURU,K.Giriyampalli,,,,1,,,1,,,
114,11_C_65_12,KDP_C_65_12_KADAPA,Guduru,,,,,,,0,,,
115,11_C_65_12,KDP_C_65_12_KADAPA,Pathacuddapah,33,7,,,,,40,,,
116,11_C_65_12,KDP_C_65_12_KADAPA,Ukkayapalli,40,11,,,,,51,,,
117,11_C_65_12,KDP_C_65_12_KADAPA,Chemmumiyapet,0,0,,,,,0,,,
118,11_C_65_12,KDP_C_65_12_KADAPA,Akkyapalli,27,6,,,,,33,,,
119,11_C_65_12,KDP_C_65_12_KADAPA,Palempalli,18,2,,,,,20,,,
120,11_C_65_12,KDP_C_65_12_KADAPA,Chinnachowk,0,0,,,,,0,,,
121,11_C_65_12,KDP_C_65_12_KADAPA,Ramarajupalli,46,18,,,,,64,,,
122,11_C_65_12,KDP_C_65_12_KADAPA,Nagarajupet,0,0,,,,,0,,,
123,11_C_65_12,KDP_C_65_12_KADAPA,Cuddapah,189,39,,,,,228,,,
124,11_C_65_12,KDP_C_65_12_KADAPA,Putlampalli,27,10,,,,,37,,,
125,11_C_65_12,KDP_C_65_12_KADAPA,Chintakommadinne,56,13,,,,,69,,,
126,11_C_65_12,KDP_C_65_12_KADAPA,Utukuru,30,10,,,,,40,,,
127,11_C_65_12,KDP_C_65_12_KADAPA,Viswanathapuram,8,3,,,,,11,,,
128,11_C_65_12,KDP_C_65_12_KADAPA,Mamillapalli,59,15,,,,,74,,,
129,11_C_65_12,KDP_C_65_12_KADAPA,Buggalapalli,19,4,,,,,23,,,
130,11_C_65_12,KDP_C_65_12_KADAPA,Rudraiahgaripalli,0,0,,,,,0,,,
131,11_C_65_12,KDP_C_65_12_KADAPA,Buggaletipalli,9,1,,,,,10,,,
132,11_C_65_12,KDP_C_65_12_KADAPA,Kolumulapalli,20,4,,,,,24,,,
133,11_C_65_12,KDP_C_65_12_KADAPA,Jamalpalli,8,1,,,,,9,,,
134,11_C_65_12,KDP_C_65_12_KADAPA,Chinnakampalli,19,1,,,,,20,,,
135,11_C_65_12,KDP_C_65_12_KADAPA,Peddakampalli,8,0,,,,,8,,,
136,11_C_65_12,KDP_C_65_12_KADAPA,Ippenta,29,6,,,,,35,,,
137,11_C_65_12,KDP_C_65_12_KADAPA,RF,,,,,,,0,,,
138,11_C_65_16,KDP_C_67_16_KONDAPURAM,Kondapuram,18,1,,,,,19,,,
139,11_C_65_16,KDP_C_67_16_KONDAPURAM,Obannapet,13,0,,,,,13,,,
140,11_C_65_16,KDP_C_67_16_KONDAPURAM,Anantapuram,7,0,,,,,7,,,
141,11_C_65_16,KDP_C_67_16_KONDAPURAM,Penujuvvi,0,0,,,,,0,,,
142,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pottipadu,6,1,,,,,7,,,
143,11_C_65_16,KDP_C_67_16_KONDAPURAM,Donkupalli,0,0,,,,,0,,,
144,11_C_65_16,KDP_C_67_16_KONDAPURAM,S.Timmapuram,10,0,,,,,10,,,
145,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lavanur,,,14,0,,,14,,,
146,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chinnamanenipalli,,,2,0,,,2,,,
147,11_C_65_16,KDP_C_67_16_KONDAPURAM,Lingamanenipalli,,,3,0,,,3,,,
148,11_C_65_16,KDP_C_67_16_KONDAPURAM,Venkaiahkalva,10,1,,,,,11,,,
149,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pydipalem,11,2,,,,,13,,,
150,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chavvaripalli,9,1,,,,,10,,,
151,11_C_65_16,KDP_C_67_16_KONDAPURAM,Devathapuram,2,1,,,,,3,,,
152,11_C_65_16,KDP_C_67_16_KONDAPURAM,RF,,,,,,,0,,,
