,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
35,"11_C_65_04","KDP_C_65_04_Gandikota","Thugutlapalle",,0,20,0,0,0,0,,,,,,,,,,,,,,
36,"11_C_65_04","KDP_C_65_04_Gandikota","Kottagunta Palle",,,,,,,,,0,53,0,0,0,0,,,,,,,
37,"11_C_65_04","KDP_C_65_04_Gandikota","DiguvaBrahmanapalli",,,,,,,,,28,14,0,0,0,0,,,,,,,
38,"11_C_65_04","KDP_C_65_04_Gandikota","Kibili Rangapuram",,,,,,,,,0,16,0,0,0,0,,,,,,,
39,"11_C_65_04","KDP_C_65_04_Gandikota","Obulapuram",,,,,,,,,28,36,0,0,0,0,,,,,,,
40,"11_C_65_04","KDP_C_65_04_Gandikota","korrapadu",,,,,,,,,0,95,0,0,0,0,,,,,,,
41,"11_C_65_04","KDP_C_65_04_Gandikota","Mangapatnam",,,,,,,,,12,131,0,0,0,0,,,,,,,
42,"11_C_65_04","KDP_C_65_04_Gandikota","P.Gopalapuram",,4,9,0,0,0,22,,,,,,,,,,,,,,
43,"11_C_65_04","KDP_C_65_04_Gandikota","Chinnadandluru",,0,0,0,0,0,184,,,,,,,,,,,,,,
44,"11_C_65_04","KDP_C_65_04_Gandikota","Illuru",,0,11,0,0,0,30,,,,,,,,,,,,,,
45,"11_C_65_04","KDP_C_65_04_Gandikota","RF",,,,,,,,,,0,0,0,0,0,,,,,,,
46,"11_C_65_05","KDP_C_65_05_Potladurthi","Potladurthi",,,11,0,0,0,129,,,,,,,,,,,,,,
47,"11_C_65_05","KDP_C_65_05_Potladurthi","Hanumangutti",,,25,0,0,0,150,,,,,,,,,,,,,,
48,"11_C_65_05","KDP_C_65_05_Potladurthi","K.Vengammagaripalli",,,,,,,,,,0,0,0,0,30,,,,,,,
49,"11_C_65_05","KDP_C_65_05_Potladurthi","Yerraguntla",,,,,,,,,,24,0,0,0,0,,,,,,,
50,"11_C_65_05","KDP_C_65_05_Potladurthi","Kokatam",,,37,0,0,0,202,,,,,,,,,,,,,,
51,"11_C_65_05","KDP_C_65_05_Potladurthi","Sambaturu",,,0,0,0,0,136,,,,,,,,,,,,,,
52,"11_C_65_08","KDP_C_65_08_Sidhout","Dumpalagattu",,0,142,,,,,,,,,,,,,,,,,,
53,"11_C_65_08","KDP_C_65_08_Sidhout","Chemullapalli",,0,214,,,,,,,,,,,,,,,,,,
54,"11_C_65_08","KDP_C_65_08_Sidhout","Chennamukkapalli",,,180,,,,,,,,,,,,,,,,,,
55,"11_C_65_08","KDP_C_65_08_Sidhout","Doulathapuram",,0,44,,,,,,,,,,,,,,,,,,
56,"11_C_65_08","KDP_C_65_08_Sidhout","Bayanapalli",,,0,,,,84,,,,,,,,,,,,,,
57,"11_C_65_08","KDP_C_65_08_Sidhout","Kanuparthi",,0,0,,,,77,,,,,,,,,,,,,,
58,"11_C_65_08","KDP_C_65_08_Sidhout","Ponnavolu",,,,,,,,,0,0,,,,110,,,,,,,
