sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
170,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Golla Uppalapadu,,,0,0,,
171,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Gollapalli,,,0,0,,
172,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Vaddiralla,,,2,25,,
173,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dhannavada,,,0,0,,
174,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Murapandi,,,0,0,,
175,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Nakkavanipalli,,,0,0,,
176,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dhodium,,,1,28,,
177,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Kona Anantapuram,,,0,0,,
178,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Ramachandrayapalli,,,0,0,,
179,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Ponnampalli,,,0,0,,
180,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Thorrivemula,1,31,,,,
181,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Veparala,1,25,,,,
182,11_C_65_19,KDP_C_68_19_T.M.PATNAM,M.Kambaladinne,,,1,38,,
183,11_C_65_19,KDP_C_68_19_T.M.PATNAM,DommaraNandyala,1,45,,,,
184,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Garisalur,0,0,,,,
185,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnamudium,0,0,,,,
186,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bodithippanapadu,0,0,,,,
187,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bhutamapuram,,,0,0,,
188,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bheemagundam,,,0,0,,
