IWM_Village_Name,Location_ID
Anigeru,19062
Anikalla Palle,12497
Anikepalle,14464
Anikera,17264
Animela,14055
Anjalam,23676
Anjaneyapuram,14526
Anjaneyapuram-1,17484
Anjaneyapuram-2,25395
Anjaneyapuram-3,27369
Anjoda,27141
Anjuru,16186
Ankajosyulapalem,28436
Ankalammagudur,13838
Ankalampadu,20095
Ankampalem,19224
Ankampalem-1,19633
Ankampalem-2,20515
Ankampalle,13512
Ankampeta,13120
Ankamvaripalle,17135
Ankanagodu Gunuru,13208
Ankanna Gudem,19463
Ankavaram,25213
Ankayapalle,13920
Ankepalle,11780
Ankireddipalem (Rural),18126
Ankireddipalle,13860
Ankireddipalle-1,17326
Ankisettipalle,16457
Ankulapaturu,14773
Ankullavalasa,24955
Ankupalem,28652
Ankupalle,14394
Anna Varam,11305
Anna Varam-1,11481
Annada Puram,11740
Annadevarapeta,19805
Annalur,13559
Annambaka,15006
Annamedu,15410
Annampalem,18713
Annampalem-1,18841
Annampalle,20812
Annampeta,26451
Annamrajupeta,28294
Annamrajuvalasa,25943
Annangi,11325
Annaparru,18315
Annapuram,25432
Annapusastrula Palle,13313
Annareddipalem,14016
Annasamipalle,16218
Annasamudram,18395
Annavaram,12270
Annavaram-1,13156
Annavaram-10,21703
Annavaram-11,21828
Annavaram-12,23225
Annavaram-13,23438
Annavaram-14,23778
Annavaram-15,26082
Annavaram-16,28463
Annavaram-17,28641
Annavaram-2,17565
Annavaram-3,18186
Annavaram-4,18365
Annavaram-5,18652
Annavaram-6,18804
Annavaram-7,19270
Annavaram-8,20401
Annavaram-9,21091
Annavarappadu,11782
Annavarappadu-1,18296
Anneboinapalle,12644
Anneraopeta,20314
Annupuram,26009
Annupuram-1,26074
Annur,16750
Annurkasabagayat,16732
Antabongu,22092
Antakapalle,28631
Antarvedi,21562
Antarvedigudem,19545
Antarvedipalem,21505
Anthada,24173
Anthakapalle,25981
Anthakapalli,26755
Antharaba,25222
ANTHARAKUDDA,25370
Antharla,23678
Anthili,25751
Antijola,24757
Antikonda,25570
Antilova,23283
Antilova-1,23534
Antiparthi,27155
Antipeta,25976
Antivalasa,25603
Antivalasa-1,26112
Antlavada,22254
Antlavara,26400
Antlavaram,26408
Antriguda,22296
Anugonda,11234
Anukulapalem,18879
Anukuru,23679
Anumalakonda,12537
Anumanchipalle,17547
Anumarlapudi,18138
Anumarthi,19539
Anumasamudram,13580
Anumasamudrampeta-1,13591
Anumollanka,17517
Anumpalle,12760
Anumula Palle,11756
Anumunilanka,20029
Anupalle,16527
Anupalle-1,17094
Anupallipadu,14573
Anupur,11895
Anuru,19519
Anuru-1,19969
Appaiahpalem,16499
Appajipeta,13015
Appajipeta-1,13324
Appalaagraharam,26885
Appalammapeta,26394
Appalapatnayakuni Peta,26269
Appalapuram,12071
Appalarajugudem,19807
Appalarajupeta,26391
Appalarajupuram,28560
Appalayagunta,16018
Appambattu,16689
Appampalem,28773
Appanapalle,21213
Appanaramuni Lanka,21476
Appanaveedu,20949
Appandorapalem,24210
Appandoravalasa,25078
Appannapalem,18644
Appannavalasa,27168
Appapuram,18437
Appapuram-1,21247
Appapuram-2,26250
Appapuram-3,27561
Apparacheruvu,14054
Apparajupalle,14302
Apparajupeta,14960
Apparaopalle,13915
Apparaopeta,20268
Appasamudram,13062
Appecherla,12559
Appikatla,18542
Appikatla-1,21489
Appikonda (part),21925
Appilepalle,14417
Appinapalle,16975
Arabeeru,22028
Arabupalem,28824
Arada gudem,22559
Arada kota,22431
Aradala,25967
Aradigunta,16843
Aragadapalli,23046
Aragonda-1,16878
Arai,16555
Arakabhadra,24399
Arakatavemula,13128
Arakativemula,13163
Araku-1,27235
Arama,22422
Aramadaka,16265
Aranyam Khandriga,16666
Arasabalaga,26613
Arasada,25748
Arasada-1,26297
Arasavilli (Rural),27368
Arathala,17046
Aratla kota,19374
Aratlakatla,21080
Aratlakatta,20186
Aravakothuru,15938
Aravalli,20925
Aravallipadu,11179
Aravapalle,21878
Aravaperimidi,15662
Aravasariapalle,24508
Aravedu,13529
Aravedu-1,13685
Araveedu,15272
Aravetipalle,13647
Archanapuram,25278
Ardhamala,15891
Ardhannapalem,28500
Ardhavaram,20774
Ardhaveedu-1,11286
Aredu,20815
Arekal,11339
Aremanda,18335
Arempudi,19166
Arepalle,16241
Arepalle-1,28991
Arepalli Agraharam,18150
Aridivalasa,27403
Arigalavaripalle,16002
Arigepalle,15251
Arigipalem,28291
Arikakoridi,24864
Arikarevula,20309
Arikatota,26657
Arikela,16610
Arikera,11839
Arikirevula,19995
Arikivalasa,26170
Arilla Dhara,19449
Arimakulapalle,16906
Arimanipadu-1,15155
Arimera,22425
Arimuthanapalle,17296
Arinam Akkivalasa,27444
Aripaka,28668
Aripirala,21185
Arisepalle,21740
Arivemula,12369
Arjapuram,23220
Arjunagiri,28538
Arjunalova,24331
Arjunapuram,12330
Arjunavalasa,27765
Arkabhavipalle,15437
Arla,23942
Arlabanda,28866
Arlabu,22461
Arlada,22594
Arlada-1,23116
Arlapadiya,12795
Arlapadu,15851
Arlapadu-1,17496
Arle,28606
Arloiputtu,22108
Arnada,25134
Aroor,16518
Artham,25002
Arthamuru,19068
Arthamuru-1,20280
Arthamuru-2,20974
Arthamuru-3,21595
Arthamuru-4,27693
Arudur,16374
Arugolanu,20355
Arugolanu-1,21102
Arugolanupeta,20145
Arugorla Khandriga,16214
Arulla,20411
Arumbaka,18412
Arur,16787
Aruru,15571
Arvaipalle,18900
Aryavatam-1,20366
Asakapalle,28700
Asannagudem,20170
Asarada,23727
Asirada,23781
Aspari-1,11742
ASURADA,22008
Aswaraopalem,21881
Aswarayuni Palem,11336
Atakanithippa,16076
Atapaka,21135
Atchaba,24530
Atchaba-1,25574
Atchampeta,19512
Atchavalle,14126
Atcherla,28799
Atchiahpalem,19641
Atchipolavalasa,27158
Atchiyyapeta,19106
Atchukatla,15927
Atchutapuram-1,19646
Atchutapuram-2,24920
Atchutapuram-3,26228
