"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"Ku_C_KD_B.Atmakuru(b)","KU_C_KD_B.ATMAKURU(B)-MB","Bhojanam","Bhojanam"
"Ku_c_kd_Panyam(a)","KU_C_KD_PANYAM(A)-MB","Bhupanapadu","Bhupanapadu"
"KU-C_KD_Banaganapalli-(C)-C","KU-C_KD_BANAGANAPALLI(C)-MB","Bijinivemula","Bijinavemula"
"Ku_D_TB_Nandikotkuru_C","KU_D_TB_NANDIKOTKURU_C-MB","Bijinivemula","Bijinavemula"
"Ku_C_kd_Miduthuru-c","KU_C_KD_MIDUTHURU-C-MB","Bilakalagudur","Bilakala Gudur"
"Ku_C_Kd_Bandi Atmakuru (a)_c","KU_C_KD_B.ATMAKURU_-C-MB","Billalapuram","Billalapuram"
"Ku_D_TB_Kalluru(a)","KU-D-TB-KALLURU(A)-MB","Boddu vani Palli","Bodduvanipalle"
"Ku_D_TB_Kalluru(a)","KU-D-TB-KALLURU(A)-MB","Boddu vani Palli","Bodduvanipalle"
"KU_C_KD_UYYALAWADA(A)","KU_C_KD_UYYALAWADA(A)-MB","Bodemmanuru","Bodemmanur"
"Ku_d_tb_Veldurthi","KU_D_TB_VELDURTHI-MB","Bogolu","Bhogolu"
"Ku_C_Kd_Bandi Atmakuru (a)_c","KU_C_KD_B.ATMAKURU_-C-MB","Bollavaram","Bollavaram-2"
"KU_D_TB_KALLURU(B)","KU_D_TB_KALLURU(B)-MB","Bollavaram","Bollavaram-2"
"Ku_D_TB_Nandikotkuru_C","KU_D_TB_NANDIKOTKURU_C-MB","Bollavaram","Bollavaram-2"
"Ku_D_LK_J.Bunglow_C","KU_D_LK_J.BUNGLOW_C-MB","Bollavaram (Bhaskarapuram)","Bollavaram"
"KU-D_TB_KOSIGI_C","KU-D_TB_KOSIGI_C-MB","Bompalli","Bompalle"
"KU_C_KD_Sanjamala(a)","KU_C_KD_SANJAMALA(A)-MB","Bondaladinne","Bondaladinne"
"KU_D_TB_Krishnagiri(a)","KU_D_TB_KRISHNAGIRI(A)-MB","Bondimadugula","Bondimadugula"
"KU_C_KD_KOLIMIGUNDLA","KU_C_KD_KOLIMIGUNDLA-MB","Boyala Tadipatri","Boyala Tadipatri"
"KU_C_KD_KOLIMIGUNDLA","KU_C_KD_KOLIMIGUNDLA-MB","Boyala Uppaluru","Boyala Uppalur"
"KU_C-KD_SIRIVELLA_C","KU_C-KD_SIRIVELLA_C-MB","boyalakuntla","Boyalakuntla"
"KU_C_KD_VELUGODU","KU_C_GKD_VELUGODU-MB","Boyarevula","Boyarevula"
"Ku_D_TB_Nandikotkuru_C","KU_D_TB_NANDIKOTKURU_C-MB","Brahmanakotkuru","Brahmanakotkur-1"
"KU_C_KD_Orvakal(c)-Nc","KU_C_KD_ORVAKAL(C)-NC-MB","Brahmanapalle","Brahmanapalle"
"KU_C_KD_Gospadu_c","KU_C_KD_GOSPADU_C-MB","Brahmanapalli","Brahmanapalle-1"
"KU_D_TB_GUDURU_C","KU_D_TB_GUDURU_C-MB","Bramhanadoddi","Brahmanadoddi"
"Ku_C_KD_Allagadda (A)","KU_C_KD_ALLAGADDA (A)-MB","Bramhanapalli","Brahmanapalle-5"
"KU-D-TB-KALLURU(A)","KU_D_TB_KALLURU(A)-MB","Budidapadu","Budidapadu"
"KU_D_TB_PEDDAKADABUR_C","KU_D_TB_PEDDAKADABUR_C-MB","Buduru","Budur"
"Ku_c_kd_Panyam(a)","KU_C_KD_PANYAM(A)-MB","Bugganipalli","Bugganapalli"
"Ku_C_kd_Miduthuru-c","KU_C_KD_MIDUTHURU-C-MB","Bujanur","Bujanur"
"Ku_C_Kd_Bandi Atmakuru (a)_c","KU_C_KD_B.ATMAKURU_-C-MB","Bukkapuram","Bukkapuram-2"
"KU_C_KD_Orvakal(a)-Nc","KU_C_KD_ORVAKAL(A)-NC-MB","Bukkapuram","Bukkapuram-2"
"KU-D-TB-C.BELAGAL_C","KU-D-TB-C.BELAGAL_C-MB","Burandoddi","Burandoddi"
"KU_C_KD_Dornipadu-c","KU_C_KD_DORNIPADU-C-MB","Burrareddy palle","Burrareddipalle"
"KU_P_KD_Owk","KU_P_KD_OWK-MB","Burugula","Burugula"
"KU_D_TB_ALURU","KU_D_TB_ALURU-MB","Buruzula","Burujula"
"KU_D-TB_GONEGANDLA","KU_D-TB_GONEGANDLA-MB","Byluppala","Byluppala"
"KU_C_KD_Gospadu_c","KU_C_KD_GOSPADU_C-MB","Chabolu","Chabolu"
"ku_c_kd_chagalamarri_C","KU_P_KD_CHAGALAMARRI-MB","Chagalamarri","Chagalamarri-1"
"KU_D_VV_CHIPPAGIRI-B_C","KU_D_VV_CIPPAGIRI-B_C-MB","Chaki-Bunda","Chakibanda"
"Ku_D-TB_Aspari(a)","KU_D-TB_ASPARI(A)-MB","Chakkanihalli","Chokkanahalli"
"Ku-d-tb_Pathikonda(a)","KU-D-TB_PATHIKONDA(A)-MB","Chakkaralla","Chakkaralla"
"KU_C_KD_Dornipadu-c","KU_C_KD_DORNIPADU-C-MB","Chakrarajuvemula","Chakarajuvemula"
"KU_D_TB_YEMMIGANUR_C","KU_D_TB_YEMMIGANUR_C-MB","Chamalaguduru","Chamalaguduru"
"Ku_C_kd_Rudravaram (a)","KU_C_KD_RUDRAVARAM NC(A)-MB","Chandaluru","Chandalur-1"
"KU_C_MP_PEAPULLY(B)","KU_C_MP_PEAPULLY(B)-MB","Chandrapalli","Chandrapalle"
"KU_C_KD_Sanjamala(b)","KU_C_KD_SANJAMALA(B)-MB","Chanugondla","Chanugondla-2"
"KU-D-TB-KALLURU(A)","KU_D_TB_KALLURU(A)-MB","Chanugondla","Chanugondla-2"
