"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
82,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyaluru",,0,,,,
83,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Bollavaram",,,,,,
84,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Bukkapuram",2,,,,,
85,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Thimmapuram",1,,,,,
86,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Thammadapalli",,82,,,,
87,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Gopavaram",,54,,,,
88,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Nandipalli",1,,,,,
89,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","RF",,,,,,
90,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Mittakandala",,,,,,
91,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bhanumukkala",,,,,,
92,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Madduru",,,,,,
93,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Vempenta",,,,,,
94,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Abdullapuram",,,,,,
95,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Guntakandanala",,,,,,
96,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Regadaguduru",,,,,,
97,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Velpanuru",,,,,,
98,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Tudicherla",,,,,,
99,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bheemavaram",,,,,,
100,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Pulimaddi",,,,,,
101,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Yerraguntla",,,,,,
102,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Paramaturu",,,,,,
103,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bhojanam",,,,,,
104,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Pesaravai",,,,,,
105,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Karimaddela",,,,,,
106,"13_c_68_39","ku_c_kd_chagalamarri_C","Dadlavanipenta",,,,,,
107,"13_c_68_39","ku_c_kd_chagalamarri_C","Godigenuru",,,,,,
108,"13_c_68_39","ku_c_kd_chagalamarri_C","Madduru",,,,,,
109,"13_c_68_39","ku_c_kd_chagalamarri_C","Chagalamarri",,,,,,
110,"13_c_68_39","ku_c_kd_chagalamarri_C","Chintalacheruvu",1,36,,,,
111,"13_c_68_39","ku_c_kd_chagalamarri_C","Peddavangali",,,,,,
112,"13_c_68_39","ku_c_kd_chagalamarri_C","Chinavangali",,,,,,
113,"13_c_68_39","ku_c_kd_chagalamarri_C","Settiveedu",,,,,,
114,"13_c_68_39","ku_c_kd_chagalamarri_C","Peddabodanam",,,,,,
115,"13_c_68_39","ku_c_kd_chagalamarri_C","Chinnabodanam",,,,,,
116,"13_c_68_39","ku_c_kd_chagalamarri_C","Thodendlapalli",,,,,,
117,"13_c_68_39","ku_c_kd_chagalamarri_C","RF(Rudravaram)",,,,,,
118,"13_c_68_39","ku_c_kd_chagalamarri_C","Mutyalapadu",,,,,,
119,"13_c_68_39","ku_c_kd_chagalamarri_C","Ahobilum",,,,,,
120,"13_c_68_39","ku_c_kd_chagalamarri_C","Bachepalli",,,,,,
121,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Errabadu",1,12,,,,
122,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Thippanuru",,,,,,
123,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Kurnoor",,,,,,
124,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Lingamdinne",,,,,1,3
125,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Agaveli",,,,,,
