Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
135,13_C_68_41-c,KU_C_KD_Dornipadu-c,7,Ramachandrapuram,1272,,1272,69960
136,13_C_68_41-c,KU_C_KD_Dornipadu-c,2,Dornipadu,6991,,6991,384505
137,13_C_68_41-c,KU_C_KD_Dornipadu-c,3,Chakrarajuvemula,4578,,4578,251790
138,13_C_68_41-c,KU_C_KD_Dornipadu-c,4,Kristipadu,1929,,1929,106095
139,13_C_68_41-c,KU_C_KD_Dornipadu-c,1,Harivaram,2634,,2634,144870
140,13_C_68_41-c,KU_C_KD_Dornipadu-c,7,R.Papampalli,,1565,1565,86075
141,13_C_68_41-c,KU_C_KD_Dornipadu-c,6,Padigapadu,,434,434,23870
142,13_C_68_41-c,KU_C_KD_Dornipadu-c,8,Uyyalawada,,4199,4199,230945
143,13_C_68_41-c,KU_C_KD_Dornipadu-c,14,Injudu,,1433,1433,78815
144,13_C_68_41-c,KU_C_KD_Dornipadu-c,15,Kondupalli,,1313,1313,72215
145,13_C_68_41-c,KU_C_KD_Dornipadu-c,17,Pedda Yemmanuru,,1764,1764,97020
146,13_C_68_41-c,KU_C_KD_Dornipadu-c,20,Vemgampalli,,,0,0
147,13_C_68_41-c,KU_C_KD_Dornipadu-c,16,Sarvaipalli,,1114,1114,61270
148,13_C_68_41-c,KU_C_KD_Dornipadu-c,5,Suddamalla,,635,635,34925
149,13_C_68_41-c,KU_C_KD_Dornipadu-c,19,R.Jammuladinne,,1714,1714,94270
150,13_C_68_41-c,KU_C_KD_Dornipadu-c,2,Narsepalle,,974,974,53570
151,13_C_68_42-c,KU_C_KD_Gospadu_c,16,Kampamalla,1563,,1563,85965
152,13_C_68_42-c,KU_C_KD_Gospadu_c,15,Bheemunipadu,2311,,2311,127105
153,13_C_68_42-c,KU_C_KD_Gospadu_c,8,Joladarasi,1375,,1375,75625
154,13_C_68_42-c,KU_C_KD_Gospadu_c,7,Kallugotla,3209,,3209,176495
155,13_C_68_42-c,KU_C_KD_Gospadu_c,5,Revanuru,2316,,2316,127380
156,13_C_68_42-c,KU_C_KD_Gospadu_c,4,Lingala,958,,958,52690
157,13_C_68_42-c,KU_C_KD_Gospadu_c,6,M.Uppaluru,249,,249,13695
158,13_C_68_42-c,KU_C_KD_Gospadu_c,2,w.Govindinne,5234,,5234,287870
159,13_C_68_42-c,KU_C_KD_Gospadu_c,1,Gundupapala,2262,,2262,124410
160,13_C_68_42-c,KU_C_KD_Gospadu_c,12,S.Kulluru,561,,561,30855
161,13_C_68_42-c,KU_C_KD_Gospadu_c,13,Vantivelagala,992,,992,54560
162,13_C_68_42-c,KU_C_KD_Gospadu_c,14,Yalluru,8498,,8498,467390
163,13_C_68_42-c,KU_C_KD_Gospadu_c,10,Tellapuri,827,,827,45485
164,13_C_68_42-c,KU_C_KD_Gospadu_c,9,Gospadu,4496,,4496,247280
165,13_C_68_42-c,KU_C_KD_Gospadu_c,8,Jillella,5090,,5090,279950
166,13_C_68_42-c,KU_C_KD_Gospadu_c,1,Pasurupadu,2233,,2233,122815
167,13_C_68_42-c,KU_C_KD_Gospadu_c,2,Julepalle,2395,,2395,131725
168,13_C_68_42-c,KU_C_KD_Gospadu_c,4,S.Nagulavaram,2250,,2250,123750
169,13_C_68_42-c,KU_C_KD_Gospadu_c,6,Dibaguntla,4610,,4610,253550
170,13_C_68_42-c,KU_C_KD_Gospadu_c,3,M.Chintakunta,1371,,1371,75405
171,13_C_68_42-c,KU_C_KD_Gospadu_c,15,M.Krishnapuram,1954,,1954,107470
172,13_C_68_42-c,KU_C_KD_Gospadu_c,5,Sambavaram,2813,,2813,154715
173,13_C_68_42-c,KU_C_KD_Gospadu_c,19,Guntanala,935,,935,51425
174,13_C_68_42-c,KU_C_KD_Gospadu_c,18,Mitnala,1873,,1873,103015
175,13_C_68_42-c,KU_C_KD_Gospadu_c,17,Brahmanapalli,452,,452,24860
176,13_C_68_42-c,KU_C_KD_Gospadu_c,16,pusuluru,2139,,2139,117645
177,13_C_68_42-c,KU_C_KD_Gospadu_c,10,Chapirevula,5987,,5987,329285
178,13_C_68_42-c,KU_C_KD_Gospadu_c,15,Kanala,6422,,6422,353210
179,13_C_68_42-c,KU_C_KD_Gospadu_c,14,Chabolu,4892,,4892,269060
180,13_C_68_42-c,KU_C_KD_Gospadu_c,11,Nunepalle,6232,,6232,342760
181,13_C_68_42-c,KU_C_KD_Gospadu_c,12,Madduru,2097,,2097,115335
182,13_C_68_42-c,KU_C_KD_Gospadu_c,11,Togarachedu,1390,,1390,76450
183,13_C_68_16-c,Ku_C_kd_Miduthuru-c,11,Alaganuru,,1627,1627,89485
184,13_C_68_16-c,Ku_C_kd_Miduthuru-c,10,Rollapadu,,1190,1190,65450
185,13_C_68_16-c,Ku_C_kd_Miduthuru-c,12,Talamudipi,,3957,3957,217635
186,13_C_68_16-c,Ku_C_kd_Miduthuru-c,5,Bilakalagudur,4906,,4906,269830
187,13_C_68_16-c,Ku_C_kd_Miduthuru-c,7,Bujanur,2005,,2005,110275
188,13_C_68_16-c,Ku_C_kd_Miduthuru-c,9,Chindhukur,3336,,3336,183480
189,13_C_68_16-c,Ku_C_kd_Miduthuru-c,3,Gadivemula,6897,,6897,379335
190,13_C_68_16-c,Ku_C_kd_Miduthuru-c,2,Manchalakatta,,3357,3357,184635
191,13_C_68_16-c,Ku_C_kd_Miduthuru-c,4,Korapoluru,1209,,1209,66495
192,13_C_68_16-c,Ku_C_kd_Miduthuru-c,11,Vanala,2521,,2521,138655
193,13_c_68_31(a),Ku_c_kd_Panyam(a),10,Pinnapuram,,1299,1299,71445
194,13_c_68_31(a),Ku_c_kd_Panyam(a),12,Gorukallu,3195,,3195,175725
195,13_c_68_31(a),Ku_c_kd_Panyam(a),14,Kondajuturu,1747,,1747,96085
196,13_c_68_31(a),Ku_c_kd_Panyam(a),16,Chilakala,664,,664,36520
197,13_c_68_31(a),Ku_c_kd_Panyam(a),18,Balapanuru,4142,,4142,227810
198,13_c_68_31(a),Ku_c_kd_Panyam(a),20,Panyam,14562,,14562,800910
199,13_c_68_31(a),Ku_c_kd_Panyam(a),22,Thammarajupalli,,2144,2144,117920
200,13_c_68_31(a),Ku_c_kd_Panyam(a),24,Nerawada,1655,,1655,91025
201,13_c_68_31(a),Ku_c_kd_Panyam(a),26,Kowluru,5371,,5371,295405
202,13_c_68_31(a),Ku_c_kd_Panyam(a),32,Bhupanapadu,2286,,2286,125730
203,13_c_68_31(a),Ku_c_kd_Panyam(a),0,Reserve Forest,,,0,0
204,13_c_68_31(a),Ku_c_kd_Panyam(a),36,Chennakkapalli,,2555,2555,140525
205,13_c_68_31(a),Ku_c_kd_Panyam(a),40,Gadigarevula,2044,,2044,112420
206,13_c_68_31(a),Ku_c_kd_Panyam(a),42,Koratamaddi,1861,,1861,102355
207,13_c_68_31(a),Ku_c_kd_Panyam(a),12,Thirupadu,1094,,1094,60170
208,13_c_68_31(a),Ku_c_kd_Panyam(a),44,Durvesi,2628,,2628,144540
209,13_c_68_31(a),Ku_c_kd_Panyam(a),46,Poluru,4530,,4530,249150
210,13_c_68_31(a),Ku_c_kd_Panyam(a),48,Rayamallapuram,1464,,1464,80520
211,13_c_68_31(a),Ku_c_kd_Panyam(a),50,Munagala,907,,907,49885
212,13_c_68_31(a),Ku_c_kd_Panyam(a),52,Udumulapuram,2120,,2120,116600
213,13_c_68_31(a),Ku_c_kd_Panyam(a),54,Bugganipalli,,11205,11205,616275
