"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total"
69,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ramapuram",1312,1312,0,0,1312,0,0,0,,0,,,
70,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Atmakuru",2024,2024,0,0,2024,0,0,0,,0,,,
71,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kakunuru",719,719,0,0,719,0,0,0,,0,,,
72,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Parnapalli",1395,1395,0,,1395,0,0,,,0,,,
73,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Eernapadu",2248,2248,0,,2248,0,0,,,0,,,
74,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kadamalakalva",1573,1573,0,,1573,0,0,,,0,,,
75,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyavarikoduru",1039,1039,0,,1039,0,0,,,0,,,
76,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","B.Koduru",767,767,0,,767,0,0,,,0,,,
77,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Nandyal",4796,4796,0,,4796,0,0,,,0,,,
78,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kothapalli",126,126,,,126,0,,,,0,,,
79,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Mulasagaram",321,321,,,321,0,,,,0,,,
80,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Billalapuram",244,244,,,244,0,,,,0,,,
81,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Kottala",522,522,0,,522,0,0,,,0,,,
82,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Ayyaluru",1637,1637,0,,1637,0,0,,,0,,,
83,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Bollavaram",902,902,0,,902,0,0,,,0,,,
84,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Bukkapuram",2053,2053,0,,2053,0,0,,,0,,,
85,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Thimmapuram",628,628,0,,628,0,0,,,0,,,
86,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Thammadapalli",839,839,0,,839,0,0,,,0,,,
87,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Gopavaram",1384,1384,0,,1384,0,0,,,0,,,
88,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","Nandipalli",1145,1145,0,,1145,0,0,,,0,,,
89,"13_c_68_33(a)_c","Ku_C_Kd_Bandi Atmakuru (a)_c","RF",8500,0,,,,8500,,,8500,0,,,
90,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Mittakandala",2433,0,,,,2433,,,2433,0,,,
91,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bhanumukkala",2685,0,,,,2685,,685,2685,0,,,
92,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Madduru",1783,1783,,,1783,0,,,,0,,,
93,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Vempenta",2300,0,,,,2300,,,2300,0,,,
94,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Abdullapuram",902,902,,,902,0,,,,0,,,
95,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Guntakandanala",946,0,,,,946,,,946,0,,,
96,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Regadaguduru",1185,1185,,,1185,0,,,,0,,,
97,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Velpanuru",2902,2902,,,2902,0,,,,0,,,
98,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Tudicherla",1918,1918,,,1918,0,,,,0,,,
99,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bheemavaram",991,991,,,991,0,,,,0,,,
100,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Pulimaddi",1239,1239,,,1239,0,,,,0,,,
101,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Yerraguntla",1022,1022,,,1022,0,,,,0,,,
102,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Paramaturu",848,848,,,848,0,,,,0,,,
103,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Bhojanam",1289,1289,,,1289,0,,,,0,,,
104,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Pesaravai",1468,1468,,,1468,0,,,,0,,,
105,"13_C_68_33(b)--c","Ku_C_KD_B.Atmakuru(b)","Karimaddela",1949,1949,,,1949,0,,,,0,,,
106,"13_c_68_39","ku_c_kd_chagalamarri_C","Dadlavanipenta",1062,1062,0,,1062,0,0,0,,0,,,
107,"13_c_68_39","ku_c_kd_chagalamarri_C","Godigenuru",925,925,0,,925,0,0,0,,0,,,
108,"13_c_68_39","ku_c_kd_chagalamarri_C","Madduru",1404,1404,0,,1404,0,0,0,,0,,,
109,"13_c_68_39","ku_c_kd_chagalamarri_C","Chagalamarri",1497,1497,0,,1497,0,0,0,,0,,,
110,"13_c_68_39","ku_c_kd_chagalamarri_C","Chintalacheruvu",766,766,0,,766,0,0,,,0,,,
111,"13_c_68_39","ku_c_kd_chagalamarri_C","Peddavangali",836,836,0,,836,0,0,0,,0,,,
112,"13_c_68_39","ku_c_kd_chagalamarri_C","Chinavangali",621,621,0,,621,0,0,0,,0,,,
113,"13_c_68_39","ku_c_kd_chagalamarri_C","Settiveedu",2093,2093,0,,2093,0,0,0,,0,,,
114,"13_c_68_39","ku_c_kd_chagalamarri_C","Peddabodanam",1559,1559,0,,1559,0,0,,,0,,,
115,"13_c_68_39","ku_c_kd_chagalamarri_C","Chinnabodanam",1247,1247,0,,1247,0,0,0,,0,,,
116,"13_c_68_39","ku_c_kd_chagalamarri_C","Thodendlapalli",970,970,0,,970,0,0,0,,0,,,
117,"13_c_68_39","ku_c_kd_chagalamarri_C","RF(Rudravaram)",24729,0,0,,0,13554,11175,24729,24729,0,,,
118,"13_c_68_39","ku_c_kd_chagalamarri_C","Mutyalapadu",2439,2424,15,39,2439,0,0,0,,0,,,
119,"13_c_68_39","ku_c_kd_chagalamarri_C","Ahobilum",1350,1350,0,,1350,0,0,,,0,,,
120,"13_c_68_39","ku_c_kd_chagalamarri_C","Bachepalli",1398,1398,0,,1398,0,0,,,0,,,
121,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Errabadu",2126,2126,,,2126,0,,,,0,,,
122,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Thippanuru",2119,0,,,,2119,,,2119,0,,,
123,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Kurnoor",1839,0,,,,1839,,,1839,0,,,
124,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Lingamdinne",570,570,,,570,0,,,,0,,,
125,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Agaveli",1998,0,,,,1998,,,1998,0,,,
126,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Pothugallu",3979,3979,,,3979,0,,,,0,,,
127,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Mannekunta",1473,1473,,,1473,0,,,,0,,,
128,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","S.Erragudi",1242,0,,,,1242,,,1242,0,,,
129,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Matchapuram",3407,0,,,,3407,,,3407,0,,,
130,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Kapatralla",3890,0,,,,2940,950,1500,3890,0,,,
131,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","Thimmapuram",492,0,,,,492,,,492,0,,,
132,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","P.Kotakonda",3547,0,,,,2797,750,1200,3547,0,,,
133,"13_D_45_27(B)","KU_D_TB_Devanakonda(b)","RF",2500,0,,,,2500,,,2500,0,,,
134,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Burrareddy palle",224,224,,,224,0,,,,0,,,
135,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Ramachandrapuram",1092,1092,,,1092,0,,,,0,,,
136,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Dornipadu",3182,3182,,,3182,0,,,,0,,,
137,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Chakrarajuvemula",2229,2229,,,2229,0,,,,0,,,
138,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Kristipadu",1292,1292,,,1292,0,,,,0,,,
139,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Harivaram",2241,2241,,,2241,0,,,,0,,,
140,"13_C_68_41-c","KU_C_KD_Dornipadu-c","R.Papampalli",641,0,,,,641,,,641,0,,,
141,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Padigapadu",635,0,,,,635,,,635,0,,,
142,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Uyyalawada",1395,0,,,,1395,,,1395,0,,,
143,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Injudu",1358,0,,,,1358,,,1358,0,,,
144,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Kondupalli",364,0,,,,364,,,364,0,,,
145,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Pedda Yemmanuru",1842,0,,,,1842,,,1842,0,,,
146,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Vemgampalli",940,0,,,,940,,,940,0,,,
147,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Sarvaipalli",591,0,,,,591,,,591,0,,,
148,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Suddamalla",496,0,,,,496,,,496,0,,,
149,"13_C_68_41-c","KU_C_KD_Dornipadu-c","R.Jammuladinne",650,0,,,,650,,,650,0,,,
150,"13_C_68_41-c","KU_C_KD_Dornipadu-c","Narsepalle",494,0,,,,494,,,494,0,,,
151,"13_C_68_42-c","KU_C_KD_Gospadu_c","Kampamalla",796,796,,,796,0,,,,0,,,
152,"13_C_68_42-c","KU_C_KD_Gospadu_c","Bheemunipadu",1493,1493,,,1493,0,,,,0,,,
153,"13_C_68_42-c","KU_C_KD_Gospadu_c","Joladarasi",1774,1774,,,1774,0,,,,0,,,
154,"13_C_68_42-c","KU_C_KD_Gospadu_c","Kallugotla",1269,1269,,,1269,0,,,,0,,,
155,"13_C_68_42-c","KU_C_KD_Gospadu_c","Revanuru",1455,1455,,,1455,0,,,,0,,,
156,"13_C_68_42-c","KU_C_KD_Gospadu_c","Lingala",341,341,,,341,0,,,,0,,,
157,"13_C_68_42-c","KU_C_KD_Gospadu_c","M.Uppaluru",289,289,,,289,0,,,,0,,,
158,"13_C_68_42-c","KU_C_KD_Gospadu_c","w.Govindinne",3247,3247,,,3247,0,,,,0,,,
159,"13_C_68_42-c","KU_C_KD_Gospadu_c","Gundupapala",823,823,,,823,0,,,,0,,,
160,"13_C_68_42-c","KU_C_KD_Gospadu_c","S.Kulluru",250,250,,,250,0,,,,0,,,
161,"13_C_68_42-c","KU_C_KD_Gospadu_c","Vantivelagala",738,738,,,738,0,,,,0,,,
162,"13_C_68_42-c","KU_C_KD_Gospadu_c","Yalluru",2617,2617,,,2617,0,,,,0,,,
163,"13_C_68_42-c","KU_C_KD_Gospadu_c","Tellapuri",1011,1011,,,1011,0,,,,0,,,
164,"13_C_68_42-c","KU_C_KD_Gospadu_c","Gospadu",1368,1368,,,1368,0,,,,0,,,
165,"13_C_68_42-c","KU_C_KD_Gospadu_c","Jillella",1767,1767,,,1767,0,,,,0,,,
166,"13_C_68_42-c","KU_C_KD_Gospadu_c","Pasurupadu",671,671,,,671,0,,,,0,,,
167,"13_C_68_42-c","KU_C_KD_Gospadu_c","Julepalle",421,421,,,421,0,,,,0,,,
168,"13_C_68_42-c","KU_C_KD_Gospadu_c","S.Nagulavaram",399,399,,,399,0,,,,0,,,
169,"13_C_68_42-c","KU_C_KD_Gospadu_c","Dibaguntla",1098,1098,,,1098,0,,,,0,,,
170,"13_C_68_42-c","KU_C_KD_Gospadu_c","M.Chintakunta",855,855,,,855,0,,,,0,,,
171,"13_C_68_42-c","KU_C_KD_Gospadu_c","M.Krishnapuram",733,733,,,733,0,,,,0,,,
172,"13_C_68_42-c","KU_C_KD_Gospadu_c","Sambavaram",546,546,,,546,0,,,,0,,,
173,"13_C_68_42-c","KU_C_KD_Gospadu_c","Guntanala",538,538,,,538,0,,,,0,,,
174,"13_C_68_42-c","KU_C_KD_Gospadu_c","Mitnala",1117,1117,,,1117,0,,,,0,,,
175,"13_C_68_42-c","KU_C_KD_Gospadu_c","Brahmanapalli",320,320,,,320,0,,,,0,,,
176,"13_C_68_42-c","KU_C_KD_Gospadu_c","pusuluru",855,855,,,855,0,,,,0,,,
177,"13_C_68_42-c","KU_C_KD_Gospadu_c","Chapirevula",1046,1046,,,1046,0,,,,0,,,
178,"13_C_68_42-c","KU_C_KD_Gospadu_c","Kanala",2424,2424,,,2424,0,,,,0,,,
179,"13_C_68_42-c","KU_C_KD_Gospadu_c","Chabolu",936,936,,,936,0,,,,0,,,
180,"13_C_68_42-c","KU_C_KD_Gospadu_c","Nunepalle",1301,1301,,,1301,0,,,,0,,,
181,"13_C_68_42-c","KU_C_KD_Gospadu_c","Madduru",1523,1523,,,1523,0,,,,0,,,
182,"13_C_68_42-c","KU_C_KD_Gospadu_c","Togarachedu",1269,1269,,,1269,0,,,,0,,,
183,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Alaganuru",1974,0,,,,1974,,,1974,0,,,
184,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Rollapadu",1947,0,,,,1947,,,1947,0,,,
185,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Talamudipi",3458,0,,,,3458,,,3458,0,,,
186,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Bilakalagudur",1640,1640,,,1640,0,,,,0,,,
187,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Bujanur",1151,1151,,,1151,0,,,,0,,,
188,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Chindhukur",3696,3696,,,3696,0,,,,0,,,
189,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Gadivemula",1210,1210,,,1210,0,,,,0,,,
190,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Manchalakatta",301,0,,,0,301,,,301,0,,,
191,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Korapoluru",1501,1501,,,1501,0,,,,0,,,
192,"13_C_68_16-c","Ku_C_kd_Miduthuru-c","Vanala",2347,2347,,,2347,0,,,,0,,,
193,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Pinnapuram",2716,0,,,0,66,2650,,2716,0,,,
194,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Gorukallu",1172,1122,50,,1172,0,,,0,0,,,
195,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Kondajuturu",711,561,150,,711,0,,,0,0,,,
196,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Chilakala",1066,1016,50,,1066,0,,,0,0,,,
197,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Balapanuru",1177,1177,,,1177,0,,,0,0,,,
198,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Panyam",3106,3056,50,,3106,0,,,0,0,,,
199,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Thammarajupalli",1075,0,,,0,1025,50,,1075,0,,,
200,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Nerawada",1153,1153,,,1153,0,,,0,0,,,
201,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Kowluru",951,951,,,951,0,,,0,0,,,
202,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Bhupanapadu",1035,1035,,,1035,0,,,0,0,,,
203,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Reserve Forest",10892,0,,,0,5892,5000,6892,10892,0,,,
204,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Chennakkapalli",1947,0,,,0,447,1500,,1947,0,,,
205,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Gadigarevula",2993,2493,500,,2993,0,,,0,0,,,
206,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Koratamaddi",980,580,400,,980,0,0,,0,0,,,
207,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Thirupadu",723,723,,,723,0,,,0,0,,,
208,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Durvesi",718,668,50,,718,0,,,0,0,,,
209,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Poluru",1556,1556,,,1556,0,,,0,0,,,
210,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Rayamallapuram",483,483,,,483,0,,,0,0,,,
211,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Munagala",414,414,,,414,0,,,0,0,,,
212,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Udumulapuram",1232,1232,,,1232,0,,,0,0,,,
213,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Bugganipalli",3261,0,,,0,2611,650,,3261,0,,,
214,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Kolumulapalli",3319,0,,,0,2519,800,,3319,0,,,
215,"13_c_68_31(a)","Ku_c_kd_Panyam(a)","Bethamcherla",2571,0,,,0,2071,500,,2571,0,,,
216,"13_C_68_31(B)","KU_C_KD_PANYAM(B)","Alamuru",3116,3116,,,3116,0,,,,,,,
217,"13_C_68_31(B)","KU_C_KD_PANYAM(B)","Konidedu",1441,1441,,,1441,0,,,,,,,
218,"13_C_68_31(B)","KU_C_KD_PANYAM(B)","Gonavaram",855,855,,,855,0,,,,,,,
219,"13_C_68_31(B)","KU_C_KD_PANYAM(B)","RF(Panyam)",9867,0,,,0,7077,2790,9867,9867,,,,
