S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
41,KU_D_TB_YEMMIGANUR-B_C,KU_D_TB_YEMMIGANUR-B_C-MB,6.77,3.08,7.78,,6.77,3.01,7.78,,0.9,0.9,623.66,398.33,225.33,626.27,539.47,86.8
42,KU_D_TB_YEMMIGANUR_C,KU_D_TB_YEMMIGANUR_C-MB,6.77,3.01,7.78,,6.77,3.01,7.78,,0.9,0.9,621,400.5,220.5,621,509.6,111.4
43,KU_D_VV_CHIPPAGIRI-B_C,KU_D_VV_CIPPAGIRI-B_C-MB,4.78,3.98,5.3,,4.11,3.22,4.76,,0.9,0.9,510,310,200,604.15,445.45,158.7
44,KU_D_VV_HOLAGONDA_C,KU_D_VV_HOLAGONDA_C-MB,12.72,12.82,14.83,,12.72,12.82,14.83,,0.9,0.9,536.5,335,201.5,572.5,456.5,116
45,KU_P_KD_Owk,KU_P_KD_OWK-MB,3.41,2.72,3.19,,3.41,2.72,3.19,,0.9,0.9,611,394.5,216.5,716.9,506.5,210.4
46,KU_C_KD_KOLIMIGUNDLA,KU_C_KD_KOLIMIGUNDLA-MB,10.3,9.82,11.26,,,,,,0.9,,641,424,217,419.6,264.4,155.2
47,KU_C_KD_MAHANANDI(RF),KU_C_KD_MAHANANDI(RF)-MB,5.59,1.47,4.49,,,,,,0.9,,810,577,233,875.8,745,130.8
48,KU_C_KD_Orvakal(a)-Nc,KU_C_KD_ORVAKAL(A)-NC-MB,12.81,11.78,13.21,,,,,,0.9,,619.33,415.33,204,748.16,495.93,252.23
49,KU_C_KD_Orvakal(b)-Nc,KU_C_KD_ORVAKAL(B)-NC-MB,17.27,16.09,17.5,,,,,,0.9,,601,377,224,710.3,478,232.3
50,KU_C_KD_Orvakal(c)-Nc,KU_C_KD_ORVAKAL(C)-NC-MB,12.81,11.78,13.21,,,,,,0.9,,636.5,424,212.5,684.3,474.5,209.8
51,KU_C_KD_PEAPULLY_(A)_NC,KU_C_KD_PEAPULLY-MB,25.87,26.02,27.51,,,,,,0.9,,607,396.33,210.67,659.49,422.23,237.26
52,KU_C_KD_UYYALAWADA(A),KU_C_KD_UYYALAWADA(A)-MB,3.43,3.21,3.42,,,,,,0.9,,695,482.5,212.5,446.1,247.5,198.6
53,KU_C_KD_Banaganapalli(b),KU_C_KD_BANAGANAPALLI(B)-MB,3.98,0.57,4.38,,,,,,0.9,,616.75,397,219.75,644.05,441.95,202.1
54,KU_C_MP_PEAPULLY(B),KU_C_MP_PEAPULLY(B)-MB,29.65,31.39,35.48,,,,,,0.9,,654,431,223,571.4,358.6,212.8
55,Ku_C_MP_Tuggali(a),KU_C_MP_TUGGALI(A)-MB,7.58,7.05,8.35,,,,,,0.9,,636,430.5,205.5,573.6,363.9,209.7
56,KU_C_MP_Tuggali(b),KU_C_MP_TUGGALI(B)-MB,7.58,7.05,8.35,,,,,,0.9,,636,430.5,205.5,483.8,300.5,183.3
57,KU_D_LK_Atmakuru(a),KU_D_LK_ATMAKURU(A)-MB,6.45,2.64,8.8,,,,,,0.9,,777,552,225,970.4,745.8,224.6
58,Ku_D_Lk_Atmakuru(b),KU_D_LK_ATMAKURU(B)-MB,6.45,2.64,8.8,,,,,,0.9,,777,552,225,1030.4,745.8,284.6
59,KU_D_TB_Dhone(a),KU_D_TB_DHONE(A)-MB,7.58,7.05,8.35,,,,,,0.9,,599,391,208,584.95,330.15,254.8
60,KU_D_TB_Dhone (b),KU_D_TB_DHONE (B)-MB,7.58,7.05,8.35,,,,,,0.9,,551,359,192,562.16,314.9,247.26
61,Ku_D_TB_Kalluru(a),KU-D-TB-KALLURU(A)-MB,4.82,2.12,3.1,,,,,,0.9,,643,427,216,676.95,442.2,234.75
62,Ku_D_Lk_Kothapalli (a),KU_D_LK_KOTHAPALLI (A)-MB,5.69,2.17,4.86,,,,,,0.9,,798,577,221,807.2,668.2,139
63,Ku_D_Lk_Kothapalli (c),KU_D_LK_KOTHAPALLI (C)-2-MB,6.45,2.64,8.8,,,,,,0.9,,747,522,225,807.2,668.2,139
64,Ku_D-Lk_Kothapalli(d),KU_D-LK_KOTHAPALLI(D)-MB,5.69,2.17,4.86,,,,,,0.9,,798,577,221,807.2,668.2,139
65,KU_D_TB_Krishnagiri(a),KU_D_TB_KRISHNAGIRI(A)-MB,6.6,6.79,8.88,,,,,,0.98,,562,373,189,539.29,307.56,231.73
66,Ku_D_Tb_Krishnagiri(b),KU_D_TB_KRISHNAGIRI(B)-MB,6.6,6.79,8.88,,,,,,0.9,,568.5,366,202.5,475,275.4,199.6
67,KU_D_LK_SRISAILAM (a),KU_D_LK_SRISAILAM_A(PART ONGOL-MB,8.25,2.05,9.88,,,,,,0.1,,751,522,229,1055.4,702.2,353.2
68,KU_D_LK_SRISAILAM(b),KU_D_LK_SRISAILAM(B)-MB,6.45,2.64,8.8,,,,,,0.1,,798,577,221,807.2,668.2,139
69,KU_D_TB_ALURU,KU_D_TB_ALURU-MB,10.81,5.85,14.14,,,,,,0.98,,567,353,214,427.72,293.06,134.66
70,KU_D_TB_ALUR_C,KU_D_TB_ALUR_C-MB,8.47,7.74,9.58,,,,,,0.98,,612.99,395.66,217.33,605.99,373.66,232.33
71,Ku_D-TB_Aspari(a),KU_D-TB_ASPARI(A)-MB,10.81,5.85,14.14,,,,,,0.9,,613,399,214,480.9,269.2,211.7
72,KU_D_TB_ASPARI,KU_D_TB_ASPARI-MB,12.13,7.62,13.77,,,,,,0.9,,586,388,198,499.8,276.8,223
73,KU_D_TB_Devanakonda(a),KU_D_TB_DEVANAKONDA(A-MB,4.31,4.98,8.88,,,,,,0.9,,612.5,400.5,212,483.7,304.5,179.2
74,KU_D-TB_GONEGANDLA,KU_D-TB_GONEGANDLA-MB,12.33,13.12,14.14,,,,,,0.9,,628.5,414,214.5,555.85,336.35,219.5
75,Ku_D_TB_Kurnool (A)_NC,KU_D_TB_KURNOOL (A)_NC-MB,11.44,9,10.76,,,,,,0.3,,663,440,223,687.39,459.13,228.26
76,Ku_D_TB_Kurnool (c)_NC,KU_D_TB_KURNOOL (C)_NC-MB,11.44,9,10.76,,,,,,0.98,,704,479,225,683.4,448.4,235
77,Ku-d-tb_Pathikonda(a),KU-D-TB_PATHIKONDA(A)-MB,4.31,4.98,8.88,,,,,,0.9,,629,420,209,519,315.4,203.6
78,Ku_D_Tb_Pathikonda(b),KU_D_TB_PATHIKONDA(B)-MB,4.31,4.98,8.88,,,,,,0.9,,626,402,224,484.2,280.3,203.9
79,Ku_d_tb_Veldurthi,KU_D_TB_VELDURTHI-MB,9.14,8.73,9.94,,,,,,0.9,,582.99,376.66,206.33,643.1,394.9,248.2
80,Ku_c_Gkd_Velugodu,KU_C_KD_VELUGODU-MB,3.62,2.82,3.77,,,,,,0.9,,799,570,229,778.4,659.8,118.6
