,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP"
53,"05_I_37_24","WG_I_Yerrakalva 2_Devulapalli","Kunavaram",0,0,0,0,0,12,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
54,"05_I_37_25","WG_I_Yerrakalva 2_Devulapalli","Kommugudem",0,0,0,36,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0
55,"05_I_37_26","WG_I_Yerrakalva 2_Devulapalli","Dubacherla",0,0,0,0,0,0,0,0,0,0,0,222,301,0,0,0,0,0,0,0,0
56,"05_I_37_27","WG_I_Yerrakalva 2_Devulapalli","Amumonilanka",0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0
57,"05_I_37_28","WG_I_Yerrakalva 2_Devulapalli","Nallajerla",0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0
58,"05_I_37_29","WG_I_Yerrakalva 2_Devulapalli","Marellamudi",0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
59,"05_I_37_30","WG_I_Yerrakalva 2_Devulapalli","Ananthapalli",0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0
60,"05_I_37_31","WG_I_Yerrakalva 2_Devulapalli","Cheepurugudem",0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0
61,"05_I_37_32","WG_I_Yerrakalva 2_Devulapalli","Gundepalli",0,0,0,0,0,0,0,0,0,0,25,45,0,0,0,0,0,0,0,0,0
62,"05_I_37_33","WG_I_Yerrakalva 2_Devulapalli","Chodavaram",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
63,"05_I_37_34","WG_I_Yerrakalva 2_Devulapalli","Prakasaraopalem",0,0,0,0,0,0,0,0,0,0,24,75,0,0,0,0,0,0,0,0,0
64,"05_I_37_35","WG_I_Yerrakalva 2_Devulapalli","Telikacherla",0,0,0,0,0,0,0,0,0,0,75,88,0,0,0,0,0,0,0,0,0
65,"05_E_29_09","WG_E_Kondrukota (Polavaram)","Cheeduru",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,"05_E_29_10","WG_E_Kondrukota (Polavaram)","Chegondapalli",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
67,"05_E_29_11","WG_E_Kondrukota (Polavaram)","Kondrukota",5,0,0,0,0,0,0,10,14,25,0,0,0,0,0,0,0,0,0,0,0
68,"05_E_29_12","WG_E_Kondrukota (Polavaram)","Koruturu",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
69,"05_E_29_13","WG_E_Kondrukota (Polavaram)","Pydipaka",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
70,"05_E_29_14","WG_E_Kondrukota (Polavaram)","Ravigudem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"05_E_29_15","WG_E_Kondrukota (Polavaram)","Singanapalli",3,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0
72,"05_E_29_16","WG_E_Kondrukota (Polavaram)","Sirivaka",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
73,"05_E_29_17","WG_E_Kondrukota (Polavaram)","Sivagiri",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
74,"05_E_29_18","WG_E_Kondrukota (Polavaram)","Tekuru",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
75,"05_E_29_19","WG_E_Kondrukota (Polavaram)","Tutugunta",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
76,"05_I_33","WG_I_Chityala_Tallapudi","Bandapuram",0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0
77,"05_I_34","WG_I_Chityala_Tallapudi","Duddukuru",0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
78,"05_I_35","WG_I_Chityala_Tallapudi","Bhimolu",0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
79,"05_I_36","WG_I_Chityala_Tallapudi","Cherukumilli",0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0
