,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
48,WG_I_Jagannapeta,Deep TW,20000,,40,70,7142.8571428572,,180,185,7142.8571428572,,120,120,20000,,30,40,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
49,WG_I_Jagannapeta,Filter Points,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
50,WG_I_Bhimadole_Bhimadole,DW,0,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3571.4285714286,,90,60,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
51,WG_I_Bhimadole_Bhimadole,DW+PS/DCB,7714.2857142857,,30,90,4285.7142857143,,120,240,7142.8571428572,,120,240,3571.4285714286,,90,50,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
52,WG_I_Bhimadole_Bhimadole,BWs,12571.4285714286,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,5000,,40,60,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
53,WG_I_Bhimadole_Bhimadole,STW,15428.5714285714,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,10000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
54,WG_I_Bhimadole_Bhimadole,MTW,21428.5714285714,,30,90,10285.7142857143,,120,240,7142.8571428572,,120,240,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
55,WG_I_Bhimadole_Bhimadole,Deep TW,28571.4285714286,,30,90,10285.7142857143,,120,240,14285.7142857143,,120,240,20000,,40,90,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
56,WG_I_Bhimadole_Bhimadole,Filter Points,14285.7142857143,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
57,WG_I_Gunderu_Pedavegi,DW,0,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,1428.5714285714,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
