 ,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
45,05_I_37_16,WG_I_Yerrakalva 2_Devulapalli,Nimmalagudem,0,0,0,0,40,21,25,192,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
46,05_I_37_17,WG_I_Yerrakalva 2_Devulapalli,KamavarapuKota  ,126.32,0,0,0,55.87,88.26,674.9,626.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
47,05_I_37_18,WG_I_Yerrakalva 2_Devulapalli,Kondagudem,0,0,0,0,23.88,11.33,38.06,74.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
48,05_I_37_19,WG_I_Yerrakalva 2_Devulapalli,Ramannapalem,11.74,0,0,0,31.99,14.17,46.96,153.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
49,05_I_37_20,WG_I_Yerrakalva 2_Devulapalli,Ravikampadu,209.31,110.93,48.58,0,0,0,87.45,210.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
50,05_I_37_21,WG_I_Yerrakalva 2_Devulapalli,Uppalapadu,58.7,0,0,0,32.39,39.68,40.89,209.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
51,05_I_37_22,WG_I_Yerrakalva 2_Devulapalli,Yadavalli ,21.46,0,0,0,59.91,55.06,94.33,140.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
52,05_I_37_23,WG_I_Yerrakalva 2_Devulapalli,Veerampalem,300,10,15,170,166,10,15,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
53,05_I_37_24,WG_I_Yerrakalva 2_Devulapalli,Kunavaram,100,7,10,20,63,9,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
54,05_I_37_25,WG_I_Yerrakalva 2_Devulapalli,Kommugudem,106,10,100,300,140,20,206,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
55,05_I_37_26,WG_I_Yerrakalva 2_Devulapalli,Dubacherla,0,0,0,0,792,412,257,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
56,05_I_37_27,WG_I_Yerrakalva 2_Devulapalli,Amumonilanka,0,0,0,0,201,137,95,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
57,05_I_37_28,WG_I_Yerrakalva 2_Devulapalli,Nallajerla,0,0,0,0,602,296,755,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
58,05_I_37_29,WG_I_Yerrakalva 2_Devulapalli,Marellamudi,0,0,0,0,362,238,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
59,05_I_37_30,WG_I_Yerrakalva 2_Devulapalli,Ananthapalli,0,0,0,0,798,495,105,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
60,05_I_37_31,WG_I_Yerrakalva 2_Devulapalli,Cheepurugudem,0,0,0,0,477,275,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
61,05_I_37_32,WG_I_Yerrakalva 2_Devulapalli,Gundepalli,0,0,0,0,4162,396,80,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
62,05_I_37_33,WG_I_Yerrakalva 2_Devulapalli,Chodavaram,0,0,0,0,388,208,55,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
63,05_I_37_34,WG_I_Yerrakalva 2_Devulapalli,Prakasaraopalem,0,0,0,0,561,289,76,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
64,05_I_37_35,WG_I_Yerrakalva 2_Devulapalli,Telikacherla,0,0,0,0,475,259,198,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
65,05_E_29_09,WG_E_Kondrukota (Polavaram),Cheeduru,40,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,20,,,,,0,0,0,0
66,05_E_29_10,WG_E_Kondrukota (Polavaram),Chegondapalli,0,0,0,0,87.05,27.13,77.33,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
67,05_E_29_11,WG_E_Kondrukota (Polavaram),Kondrukota,0,0,0,0,108.5,35.22,101.21,46.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
68,05_E_29_12,WG_E_Kondrukota (Polavaram),Koruturu,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
69,05_E_29_13,WG_E_Kondrukota (Polavaram),Pydipaka,0,0,0,0,17.89,8.9,20.65,22.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
70,05_E_29_14,WG_E_Kondrukota (Polavaram),Ravigudem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
71,05_E_29_15,WG_E_Kondrukota (Polavaram),Singanapalli,40,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,30,,,,,0,0,0,0
72,05_E_29_16,WG_E_Kondrukota (Polavaram),Sirivaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
73,05_E_29_17,WG_E_Kondrukota (Polavaram),Sivagiri,40,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,0,30,,,,,0,0,0,0
74,05_E_29_18,WG_E_Kondrukota (Polavaram),Tekuru,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
75,05_E_29_19,WG_E_Kondrukota (Polavaram),Tutugunta,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,35,0,0,,,,,0,0,0,0
76,05_I_33,WG_I_Chityala_Tallapudi,Bandapuram,0,0,0,0,209,36,13,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,,,,,0,0,0,0
77,05_I_34,WG_I_Chityala_Tallapudi,Duddukuru,0,0,0,0,131,68,85,212,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,30,0,0,10,,,,,0,0,0,0
78,05_I_35,WG_I_Chityala_Tallapudi,Bhimolu,0,0,0,0,11,2,25,112,0,0,0,8,0,0,0,0,620,4,0,57,0,0,0,0,50,0,0,20,,,,,0,0,0,0
79,05_I_36,WG_I_Chityala_Tallapudi,Cherukumilli,0,0,0,0,268,65,230,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,,,,,0,0,0,0
80,05_I_37,WG_I_Chityala_Tallapudi,Chityala,0,0,0,0,80,20,150,405,0,0,0,0,0,0,0,0,15,0,0,150,0,0,0,0,20,0,0,5,,,,,0,0,0,0
81,05_I_38,WG_I_Chityala_Tallapudi,Gangolu,0,0,0,0,25,10,160,90,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,109,40,117,0,,,,,0,0,0,0
82,05_I_39,WG_I_Chityala_Tallapudi,Gopalapuram,0,0,0,0,8,0,20,1420,0,0,0,0,0,0,0,0,154,0,0,70,0,0,0,0,30,0,0,20,,,,,0,0,0,0
83,05_I_40,WG_I_Chityala_Tallapudi,Guddigudem,0,0,0,0,50,0,72,88,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,,,,,0,0,0,0
84,05_I_41,WG_I_Chityala_Tallapudi,Karagapadu,0,0,0,0,40,0,61,54,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,50,0,70,,,,,0,0,0,0
85,05_I_42,WG_I_Chityala_Tallapudi,Karicherlagudem,0,0,0,0,19,0,95,255,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,20,0,0,10,,,,,0,0,0,0
86,05_I_43,WG_I_Chityala_Tallapudi,Komatikunta ,0,0,0,0,10,0,17,306,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,10,,,,,0,0,0,0
87,05_I_44,WG_I_Chityala_Tallapudi,Kovvurupadu,0,0,0,0,36,0,28,46,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,100,0,0,80,,,,,0,0,0,0
88,05_I_45,WG_I_Chityala_Tallapudi,Nandigudem ,0,0,0,0,190,0,90,115,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,25,0,0,10,,,,,0,0,0,0
89,05_I_46,WG_I_Chityala_Tallapudi,Saggonda,0,0,0,0,50,0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,,,,,0,0,0,0
90,05_I_47,WG_I_Chityala_Tallapudi,Sagipadu,0,0,0,0,50,10,114,145,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,90,0,85,0,,,,,0,0,0,0
91,05_I_48,WG_I_Chityala_Tallapudi,Vadalakunta ,0,0,0,0,0,0,42,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,,,,,0,0,0,0
92,05_I_49,WG_I_Chityala_Tallapudi,Vellachintalagudem,0,0,0,0,5,0,60,700,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,20,0,0,10,,,,,0,0,0,0
93,05_I_50,WG_I_Chityala_Tallapudi,Venkatayapalem,0,0,0,0,170,80,88,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,10,,,,,0,0,0,0
94,05_I_51,WG_I_Chityala_Tallapudi,Jaganadhapuram,0,0,0,0,209,0,143,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,,,,,0,0,0,0
95,05_I_52,WG_I_Chityala_Tallapudi,Annadevarapeta,0,0,0,0,219,32,77,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,8,32,32,,,,,0,0,0,0
