ecrop_village_code,iwm_location_id,iwm_location_uuid
5643,23824,f347e4d8-23d4-46ca-868b-9844fdaee0ad
5717,23831,4a524537-4357-4e06-9c6a-c52b5962315d
5590,23853,caba9dc5-0826-4ca0-b7b6-aee231952cc0
5586,23726,6825a579-a674-4165-8d85-d071277844b1
5639,23739,bbc1662f-986c-4600-91f9-c26cac05e476
5609,23758,f3166c30-51d7-4d63-909d-df43e78a15ca
5646,23761,b1d3224b-4206-4624-ab3b-6e89f325382a
5628,23765,a9a90b86-87d4-48dc-b0f5-339ae8884844
5635,23801,5a94a27b-f24d-4c02-9fd0-89708bd0ac3c
5687,23817,260ef639-4c73-495d-bb4d-bf317243b418
5627,23820,079b05ab-4250-45f6-87e7-e2aedb0ca0bd
5663,19410,5b404788-f282-4ef3-902f-e1eb297fbaa0
5618,23864,bd4ccfa0-9db0-4d30-bada-3413e780ad61
5714,19521,d71e5e90-34dc-4d7d-a6f9-d69de874918d
9029,23774,7b5e68b8-9f97-418d-ad79-5877d16200a5
9062,23784,023036d4-f250-4901-ae16-f35c3ea5ea9a
9036,23786,c4a74a8c-d263-49b4-b945-a3b7f9155d50
9014,16957,3e81a6b2-8616-4ee1-819b-ad2b0a7c9f28
8993,23834,82d06981-e19e-4ff3-a5d5-32ae6f85746b
8996,20684,ebb51fcb-cb89-430e-857d-c866eb1c6d1b
9001,23878,82596cf6-b654-4e18-88cd-898117b4f0c9
9055,23904,2aa730a2-e62a-40c4-868e-e741da8df024
9027,23897,d4fb1356-260b-48b4-aa1c-30edec49f035
6504,23900,1081fa4d-57ab-4bc3-82a1-bfd3df38d7b3
6499,24008,c8d8661f-66fe-47cb-aabf-196e4545b61e
6521,23880,82b24b3b-3626-4d74-beec-e5fc2da09bcf
6489,23895,7bc2f448-a350-4f74-8ac7-ece3b653701b
6507,23929,ab56b328-2d53-4553-8315-fbc3615ae3c4
6533,23957,e20a74bb-38bc-4804-91b3-f9a05704c247
6506,23960,68bb634b-b4fe-488e-8368-6c47c249d934
6537,23989,9d5ec830-8fe9-421e-9d73-1f7243f8ebb9
6482,24003,7ff48e96-4fb1-4087-bfd2-54a6ec8839db
6538,24039,c4a163bb-3958-4faa-be16-fa69716ff50d
6485,23907,a6e4ca9c-d177-4026-be0f-7fb16df59ec5
5686,23908,995c7caf-ee42-4c3a-882f-b25d2810b6ed
5642,23913,0ccf6e13-760c-4e89-80a9-269412722476
6541,23992,27036646-b975-4746-b81c-1c0c94c1fb99
6490,24026,92169f9d-a684-49f4-a600-3c85e14b0c70
5657,23892,067e7dab-181c-42fd-bbd0-74e45fa70f39
5650,23910,8b099622-6648-4c0e-aa63-8f18806bd30e
5601,23917,30bc2293-05b0-48ee-b8e2-360e28cad713
5603,23943,d5eddaec-1c40-4ff7-b59e-1329bd41228c
6523,23816,2c925022-c8bb-40c2-909f-9bbcc321c4ee
5626,23946,e79b462c-6d52-4f2d-8f3d-e708685aa949
6492,23974,840d16c7-df57-4d8f-8e55-390a3be42209
5640,23931,218d91f6-32cb-40fd-9670-cf10fb6fb30a
9003,21727,3cc635ff-25de-4ba6-a75a-7f23681dd900
9049,23810,dfeb6fda-44d7-4ccd-ab93-e7601f69578b
9023,23811,f5a0cb3c-fedd-4cff-bb85-c73a7c9838c5
9006,23843,5ca7f230-51fd-452b-a6a1-62b6302e1bdd
9032,15953,ef3ab305-cde8-42db-9428-475176bdbea4
8987,23866,f22499d2-f9c5-47eb-9eee-878b0bf72df4
9047,18816,4c556353-a7b6-47ca-9465-3e3677a97e92
9037,23887,a7036b93-5cf5-42e3-bf23-923f25bc3184
8990,23903,92b853f0-fd0d-4a04-8e0f-3a4787432ca9
9016,23936,7e84788f-b1fd-44f2-a21e-3fe112d53469
