,,7,"Command area",,0.3,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
55,"Ctr_Papa_K Kota","Deep TW",,,,,,,,,,,,,20250,,50,90,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
56,"Ctr_Papa_K Kota","Filter Points",,,,,,,,,,,,,2250,,50,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
57,"Ctr-Papa-PTM","DW",,,,,,,,,,,,,1215,,50,90,180,,180,180,1125,,180,180,,,,,,,,,1125,,,
58,"Ctr-Papa-PTM","DW+PS/DCB",,,,,,,,,,,,,1350,,50,90,1350,,180,180,2250,,180,180,,,,,,,,,2250,,,
59,"Ctr-Papa-PTM","BWs",,,,,,,,,,,,,2250,,50,90,2700,,180,180,2250,,180,180,,,,,,,,,2250,,,
60,"Ctr-Papa-PTM","STW",,,,,,,,,,,,,6930,,50,90,1620,,180,180,2250,,180,180,,,,,,,,,2250,,,
61,"Ctr-Papa-PTM","MTW",,,,,,,,,,,,,14175,,50,90,3240,,180,180,2250,,180,180,,,,,,,,,2250,,,
62,"Ctr-Papa-PTM","Deep TW",,,,,,,,,,,,,20250,,50,90,3240,,180,180,4500,,180,180,,,,,,,,,4500,,,
63,"Ctr-Papa-PTM","Filter Points",,,,,,,,,,,,,2250,,50,90,1620,,180,180,2250,,180,180,,,,,,,,,2250,,,
64,"Ctr_Papa_Gummasamudram","DW",,,,,,,,,,,,,1215,,50,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
65,"Ctr_Papa_Gummasamudram","DW+PS/DCB",,,,,,,,,,,,,1350,,50,90,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
66,"Ctr_Papa_Gummasamudram","BWs",,,,,,,,,,,,,2475,,50,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
67,"Ctr_Papa_Gummasamudram","STW",,,,,,,,,,,,,6930,,50,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
68,"Ctr_Papa_Gummasamudram","MTW",,,,,,,,,,,,,14175,,50,90,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
69,"Ctr_Papa_Gummasamudram","Deep TW",,,,,,,,,,,,,20250,,50,90,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
70,"Ctr_Papa_Gummasamudram","Filter Points",,,,,,,,,,,,,2250,,50,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
71,"Ctr-Papa-Molakalacheruvu","DW",,,,,,,,,,,,,1215,,60,90,180,,180,180,1125,,180,180,,,,,,,,,1125,,,
72,"Ctr-Papa-Molakalacheruvu","DW+PS/DCB",,,,,,,,,,,,,1350,,60,90,1350,,180,180,2250,,180,180,,,,,,,,,2250,,,
73,"Ctr-Papa-Molakalacheruvu","BWs",,,,,,,,,,,,,2250,,60,90,2700,,180,180,2250,,180,180,,,,,,,,,2250,,,
74,"Ctr-Papa-Molakalacheruvu","STW",,,,,,,,,,,,,6930,,60,90,1620,,180,180,2250,,180,180,,,,,,,,,2250,,,
75,"Ctr-Papa-Molakalacheruvu","MTW",,,,,,,,,,,,,14175,,60,90,3240,,180,180,2250,,180,180,,,,,,,,,2250,,,
76,"Ctr-Papa-Molakalacheruvu","Deep TW",,,,,,,,,,,,,20250,,60,90,3240,,180,180,4500,,180,180,,,,,,,,,4500,,,
77,"Ctr-Papa-Molakalacheruvu","Filter Points",,,,,,,,,,,,,2250,,60,90,1620,,180,180,2250,,180,180,,,,,,,,,2250,,,
78,"Ctr-Papa-Sompalle-Sompalle","DW",,,,,,,,,,,,,1215,,60,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
79,"Ctr-Papa-Sompalle-Sompalle","DW+PS/DCB",,,,,,,,,,,,,1125,,60,90,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
80,"Ctr-Papa-Sompalle-Sompalle","BWs",,,,,,,,,,,,,2025,,60,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
81,"Ctr-Papa-Sompalle-Sompalle","STW",,,,,,,,,,,,,6930,,60,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
82,"Ctr-Papa-Sompalle-Sompalle","MTW",,,,,,,,,,,,,14175,,60,90,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
83,"Ctr-Papa-Sompalle-Sompalle","Deep TW",,,,,,,,,,,,,20250,,60,90,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
84,"Ctr-Papa-Sompalle-Sompalle","Filter Points",,,,,,,,,,,,,2250,,60,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
85,"Ctr-Papa-Peddaeru east- Bandrevu","DW",,,,,,,,,,,,,1215,,60,120,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
