Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
80,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,17,Kandluru,,641,641,35255
81,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,6,Anjuru,2242,0,2242,123310
82,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,5,Guntipedu,,683,683,37565
83,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,,Forest,,,0,0
84,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,41,Bonupalle,1417,,1417,77935
85,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,39,Sri Krishnapuram,336,,336,18480
86,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,40,Kanchanapalli,574,,574,31570
87,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,38,Chittatur,2753,,2753,151415
88,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,37,Dongalamadugu,,274,274,15070
89,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,36,Sivanadhapalem,720,0,720,39600
90,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,,Forest,,,0,0
91,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,,Forest,,,0,0
92,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,2,Timmabhupalapuram,618,,618,33990
93,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,4,Kothapalem,801,,801,44055
94,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,14,Tangellapuram,,94,94,5170
95,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,28,Vallur,,1099,1099,60445
96,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,32,Vagathur,,738,738,40590
97,10-C-76-45,Ctr_Kalangi_Nirpakota,17,Nirpakota,3839,,3839,211145
98,10-C-76-45,Ctr_Kalangi_Nirpakota,16,Gajulapalluru,1883,,1883,103565
99,10-C-76-45,Ctr_Kalangi_Nirpakota,19,Kanchanaputturu,3057,,3057,168135
100,10-C-76-45,Ctr_Kalangi_Nirpakota,20,Padamara vanathuru,1360,,1360,74800
101,10-C-76-45,Ctr_Kalangi_Nirpakota,18,Kukkambakam,1331,,1331,73205
102,10-C-76-45,Ctr_Kalangi_Nirpakota,24,Talarivettu,1386,,1386,76230
103,10-C-76-45,Ctr_Kalangi_Nirpakota,23,K.V.Puram,42,,42,2310
104,10-C-76-45,Ctr_Kalangi_Nirpakota,22,Kallivettu,2475,,2475,136125
105,10-C-76-45,Ctr_Kalangi_Nirpakota,1,Chellemambapuram,,381,381,20955
106,10-C-76-45,Ctr_Kalangi_Nirpakota,,Nelavoy,717,,717,39435
107,10-C-76-45,Ctr_Kalangi_Nirpakota,13,V.palem,6449,,6449,354695
108,10-C-76-45,Ctr_Kalangi_Nirpakota,12,Kambakam,1836,,1836,100980
109,10-C-76-45,Ctr_Kalangi_Nirpakota,14,Kadur,1749,,1749,96195
110,10-C-76-45,Ctr_Kalangi_Nirpakota,15,Nellatur,758,,758,41690
111,10-C-76-45,Ctr_Kalangi_Nirpakota,7,Gudalavaripalem,,591,591,32505
112,10-C-76-45,Ctr_Kalangi_Nirpakota,8,Kolathur,,1275,1275,70125
113,10-C-76-45,Ctr_Kalangi_Nirpakota,29,Thonduru,,1677,1677,92235
114,10-C-76-45,Ctr_Kalangi_Nirpakota,30,Siddama Agraharam,,358,358,19690
115,10-C-76-45,Ctr_Kalangi_Nirpakota,17,Vittaiah Palem,319,,319,17545
116,10-C-76-45,Ctr_Kalangi_Nirpakota,9,Maruduvada,884,,884,48620
117,10-C-76-45,Ctr_Kalangi_Nirpakota,2,Amburu,677,,677,37235
118,10-C-76-45,Ctr_Kalangi_Nirpakota,1,Ayyavaripalem,641,,641,35255
119,10-C-76-45,Ctr_Kalangi_Nirpakota,3,Santavelur,2926,,2926,160930
120,10-C-76-45,Ctr_Kalangi_Nirpakota,5,Satambedu,455,,455,25025
121,10-C-76-45,Ctr_Kalangi_Nirpakota,6,Isukapalem,,11,11,605
122,10-C-76-45,Ctr_Kalangi_Nirpakota,4,Kuvvakolli,1318,,1318,72490
123,10-C-76-45,Ctr_Kalangi_Nirpakota,26,Racherla,996,,996,54780
124,10-C-76-45,Ctr_Kalangi_Nirpakota,24,Yanadivettu,430,,430,23650
125,10-C-76-45,Ctr_Kalangi_Nirpakota,23,Padirikuppam,754,,754,41470
126,10-C-76-45,Ctr_Kalangi_Nirpakota,22,Panduru,2578,,2578,141790
127,10-C-76-45,Ctr_Kalangi_Nirpakota,20,Kovurpadu,247,,247,13585
128,10-C-76-45,Ctr_Kalangi_Nirpakota,21,Thowdambattu,1950,,1950,107250
129,10-C-76-45,Ctr_Kalangi_Nirpakota,25,Chinnapandur,579,,579,31845
130,10-C-76-45,Ctr_Kalangi_Nirpakota,19,Aruduru,1768,,1768,97240
131,10-C-76-45,Ctr_Kalangi_Nirpakota,10,Chavali Lingamanaidupalli,4427,,4427,243485
132,10-C-76-45,Ctr_Kalangi_Nirpakota,11,Kurinjalem,,573,573,31515
133,10-C-76-45,Ctr_Kalangi_Nirpakota,,Forest,,,0,0
134,10-C-76-45,Ctr_Kalangi_Nirpakota,11,388 Arur,,1061,1061,58355
135,10-C-76-45,Ctr_Kalangi_Nirpakota,9,Appaiahpalem,,207,207,11385
136,10-C-76-45,Ctr_Kalangi_Nirpakota,14,Pedda Etipakam,,1852,1852,101860
137,10-C-76-45,Ctr_Kalangi_Nirpakota,15,Chinna Etipakam,,813,813,44715
138,10-C-76-45,Ctr_Kalangi_Nirpakota,1,P.V.Puram,,1688,1688,92840
139,10-C-76-45,Ctr_Kalangi_Nirpakota,2,Rajagopalapuram,2585,,2585,142175
140,10-C-76-45,Ctr_Kalangi_Nirpakota,22,Kannavaram,,3080,3080,169400
141,10-C-76-45,Ctr_Kalangi_Nirpakota,,Forest,,,0,0
142,10-C-76-45,Ctr_Kalangi_Nirpakota,2,Birakuppam,,1836,1836,100980
143,10-C-76-45,Ctr_Kalangi_Nirpakota,1,Tripuranthakapuram kota,,2564,2564,141020
144,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,11,Ramapuram,,1784,1784,98120
145,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,6,Rajanagaram,,669,669,36795
146,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,7,Appambattu,,725,725,39875
147,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,5,Ramagiri,,1833,1833,100815
148,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,3,Kadivedu,2504,,2504,137720
149,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,4,SS Puram,,3263,3263,179465
150,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,5,Velluru,,1410,1410,77550
151,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,6,Krishnapuram,,1077,1077,59235
152,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,7,Kalangeri,,830,830,45650
153,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,8,Nagalapuam,,11166,11166,614130
154,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,9,Vembakkam,,2830,2830,155650
155,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,10,Baitakodiyambedu,,2929,2929,161095
156,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,11,Karani,,2526,2526,138930
157,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,12,Surutupalli,,1091,1091,60005
158,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,16,Kothamarikuppam,3230,,3230,177650
159,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,17,NR Agraharam,,977,977,53735
160,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,18,Dalavayi Agraharam,,2245,2245,123475
161,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,19,Satyavedu,11474,,11474,631070
162,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,20,Venkatarajulakandriga,,766,766,42130
163,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,21,Madanambedu,,4045,4045,222475
164,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,23,Peradam,,609,609,33495
165,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,24,Sirunambuduru,,1570,1570,86350
166,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,26,Madanamjeri,576,,576,31680
167,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,28,Ambakam,,993,993,54615
168,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,27,Thaondukuli,,264,264,14520
169,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,29,Pudukuppam,,1523,1523,83765
170,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,30,Chenneri,,803,803,44165
171,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,31,Dasukupam,,3663,3663,201465
172,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,3,Vanellur,,884,884,48620
173,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,4,Rallakuppam,389,,389,21395
174,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,13,Kolladam,,705,705,38775
175,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,6,Chervi,1634,,1634,89870
176,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,7,Gollavaripalem,,283,283,15565
177,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,5,Madavapalem,,5,5,275
178,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,12,Irugulam,,1999,1999,109945
179,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,10,Mallavaripalem,1277,,1277,70235
180,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,8,Chengambakam,,275,275,15125
181,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,28,Chilamathuru,2286,,2286,125730
182,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,16,Karepakam,2862,,2862,157410
183,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,18,Chedullapakam,3229,,3229,177595
184,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,27,Mopuram palle,,476,476,26180
185,10-C-78-46,Ctr-Arani-Nagalapuram-Nagalapuram,51,Kadir vedu,1509,,1509,82995
186,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,2,Kandukur,,4414,4414,242770
187,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,1,Pattemvandla palle,,5231,5231,287705
188,10-C-69-1,CTR_C_69_PAPAGHNI_KANDUKURU,12,T.Sadum,,4165,4165,229075
