,,,,,,,, Command,,,,Non command,,,,Poor command,,,,
SR.NO, GW Watershed name,Geo Specific Yield name,Specific Yield value as %,Rainfall infiltration Factor as %,Transmissivity as %,Storage Coefficient as %,Total area sq.km,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,
58,Ctr-Papa-Sompalle-Sompalle,Grantite,3,10,,,110.86,0,0,0,0,74.22,36.64,14.18,110.86,0,0,0,0,
59,Ctr-pa-Peddapanjani,Grantite,3,10,,,228.67,0,0,0,0,205.99,22.68,26.15,228.67,0,0,0,0,
60,ctr-pa-Ramasamudram,Grantite,3,10,,,136.04,0,0,0,0,127.55,8.49,5.52,136.04,0,0,0,0,
61,Ctr-pa-Thotlachruvu vanka,Grantite,3,10,,,124.46,0,0,0,0,98.27,26.19,15.11,124.46,0,0,0,0,
62,Ctr-ponniar-Bisanatham,Grantite,3,10,,,10.82,0,0,0,0,7.02,3.8,4.04,10.82,0,0,0,0,
63,Ctr-Swarna_Inagaluru_Inagaluru,Grantite,3,10,,,38.83,0,0,0,0,38.83,0,19.59,38.83,0,0,0,0,
64,Ctr-Swarna_Kuppambadur,Grantite,3,10,,,370.31,0,0,0,0,331.79,38.52,120,370.31,0,0,0,0,
65,Ctr-Swarna-Avvachari Kona-Mamanduru,Grantite,3,10,,,58.8,0,0,0,0,43.8,15,29.98,58.8,0,0,0,0,
66,Ctr-Swarna-Bheema-Kotala,Grantite,3,10,,,153.32,0,0,0,0,152.54,0.78,123.88,153.32,0,0,0,0,
67,Ctr-Swarna-Gadanki-Gadanki,Grantite,3,10,,,70.36,0,0,0,0,67.06,3.3,58.53,70.36,0,0,0,0,
68,Ctr-Swarna-Kalyani_Tiruchanuru,Grantite,3,10,,,393.69,0,0,0,0,391.74,1.95,209.48,393.69,0,0,0,0,
69,Ctr-Swarna-Nagapatla-Nagapatla,Grantite,3,10,,,72.22,0,0,0,0,48.78,23.44,44.82,72.22,0,0,0,0,
70,Ctr-Swarna-Panapakam-Panapakam,Grantite,3,10,,,99.32,0,0,0,0,96.79,2.53,78.69,99.32,0,0,0,0,
71,Ctr-Swarna-Poli-Poli,Gneisses,3,11,,,89.32,44.66,0.45,13.72,45.11,43.31,0.9,11.44,44.21,0,0,0,0,
72,Ctr-Swarna-Rayalcheruvu-Durgasamudram,Grantite,3,10,,,279.14,0,0,0,0,251.98,27.16,132.14,279.14,0,0,0,0,
73,Ctr-Swarna-Sri Kalahasti-Thottambedu,Gneisses,3,11,,,79.83,35.53,0,0.14,35.53,40.53,3.77,0.14,44.3,0,0,0,0,
74,Ctr-Swarna-Thondamanadu-Yerpedu,Grantite,3,10,,,115.02,0,0,0,0,107.94,7.08,0,115.02,0,0,0,0,
75,Ctr-Swarna-Valagalamanda-Muchuvolu,Grantite,3,10,,,333.76,0,0,0,0,260.92,72.84,78.51,333.76,0,0,0,0,
