,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
74,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Venkatapuram,,,,,,,,,,,,
75,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmabhupalapuram,,,,,,,,,,,,
76,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanapalli,,,,,,,,,,,,
77,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Tangellapuram,,,,,,,,,,,,
78,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmanaidugunta,,,,,,,,,,,,
79,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vagathur,,,,,,,,,,,,
80,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kandluru,,,,,,,,,,,,
81,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Guntipedu,,0,,,,,,,,,,
82,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bonupalle,,,,,,,,,,,,
83,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchanapalli,,,,,,,,,,,,
84,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Dongalamadugu,,,,,,,,,,,,
85,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,,,,,,,,,
86,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmabhupalapuram,,,,,,,,,,,,
87,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Tangellapuram,,,,,,,,,,,,
88,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vagathur,,,,,,,,,,,,
89,10-C-76-45,Ctr_Kalangi_Nirpakota,Nirpakota,0,0,0,0,,,,,,,,
90,10-C-76-45,Ctr_Kalangi_Nirpakota,Gajulapalluru,,0,,,,,,,,,,
91,10-C-76-45,Ctr_Kalangi_Nirpakota,Kanchanaputturu,,0,,,,,,,,,,
92,10-C-76-45,Ctr_Kalangi_Nirpakota,Padamara vanathuru,,0,,,,,,,,,,
93,10-C-76-45,Ctr_Kalangi_Nirpakota,Kukkambakam,,0,,,,,,,,,,
94,10-C-76-45,Ctr_Kalangi_Nirpakota,Talarivettu,,0,,,,,,,,,,
95,10-C-76-45,Ctr_Kalangi_Nirpakota,K.V.Puram,,0,,,,,,,,,,
96,10-C-76-45,Ctr_Kalangi_Nirpakota,Isukapalem,,0,,,,,,,,,,
97,10-C-76-45,Ctr_Kalangi_Nirpakota,Chellemambapuram,,,,,,,,,,,,
98,10-C-76-45,Ctr_Kalangi_Nirpakota,Racherla,,,,,,,,,,,,
99,10-C-76-45,Ctr_Kalangi_Nirpakota,V.palem,,,,,,,,,,,,
100,10-C-76-45,Ctr_Kalangi_Nirpakota,Padirikuppam,,,,,,,,,,,,
101,10-C-76-45,Ctr_Kalangi_Nirpakota,Kadur,,,,,,,,,,,,
102,10-C-76-45,Ctr_Kalangi_Nirpakota,Kovurpadu,,,,,,,,,,,,
103,10-C-76-45,Ctr_Kalangi_Nirpakota,Gudalavaripalem,,,,,,,,,,,,
104,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinnapandur,,,,,,,,,,,,
105,10-C-76-45,Ctr_Kalangi_Nirpakota,Thonduru,,,,,,,,,,,,
106,10-C-76-45,Ctr_Kalangi_Nirpakota,Chavali Lingamanaidupalli,,,,,,,,,,,,
107,10-C-76-45,Ctr_Kalangi_Nirpakota,Vittaiah Palem,,,,,,,,,,,,
108,10-C-76-45,Ctr_Kalangi_Nirpakota,Rajagopalapuram,,,,,,,,,,,,
109,10-C-76-45,Ctr_Kalangi_Nirpakota,Amburu,,,,,,,,,,,,
110,10-C-76-45,Ctr_Kalangi_Nirpakota,Forest,,,,,,,,,,,,
111,10-C-76-45,Ctr_Kalangi_Nirpakota,Santavelur,,,,,,,,,,,,
112,10-C-76-45,Ctr_Kalangi_Nirpakota,Tripuranthakapuram kota,,,,,,,,,,,,
113,10-C-76-45,Ctr_Kalangi_Nirpakota,Isukapalem,,,,,,,,,,,,
114,10-C-76-45,Ctr_Kalangi_Nirpakota,Racherla,,0,,,,,,,,,,
115,10-C-76-45,Ctr_Kalangi_Nirpakota,Racherla,,,,,,,,,,,,
116,10-C-76-45,Ctr_Kalangi_Nirpakota,Padirikuppam,,,,,,,,,,,,
117,10-C-76-45,Ctr_Kalangi_Nirpakota,Padirikuppam,,,,,,,,,,,,
118,10-C-76-45,Ctr_Kalangi_Nirpakota,Kovurpadu,,,,,,,,,,,,
119,10-C-76-45,Ctr_Kalangi_Nirpakota,Kovurpadu,,,,,,,,,,,,
120,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinnapandur,,,,,,,,,,,,
121,10-C-76-45,Ctr_Kalangi_Nirpakota,Padirikuppam,,,,,,,,,,,,
122,10-C-76-45,Ctr_Kalangi_Nirpakota,Kovurpadu,,,,,,,,,,,,
123,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinnapandur,,,,,,,,,,,,
124,10-C-76-45,Ctr_Kalangi_Nirpakota,Chavali Lingamanaidupalli,,,,,,,,,,,,
