S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
53,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Peddapalavedu,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,
54,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Vijayagopalapuram,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,
55,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Kananambedu,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,
56,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adavaram,,0,,,,0,,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,
57,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Katrapalli,,0,,,,0,,,,,1,0.1,0,0,2,0.2,3,0.3,10,1,1,10,1,0.5,6,0.6,3,0.3,10,1
58,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Thimmasamudram,0,0,,,3,0.3,,,,,2,0.2,0,0,0,0,,0,,0,,,,,,,,,,
59,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Suramala,,0,,,,0,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
60,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chellamambapuram,,0,,,,0,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
61,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kalathuru,,0,,,,0,,,,,,0,,0,4,0.4,,0,,0,,,,,,,,,,
62,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,KVB puram,,0,,,,0,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
63,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Perindesam,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
64,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,MA Rajulakandriga,,,,,,,,,,,2,0.2,,0,0,0,8,0.8,4,0.4,,,,,,,,,,
65,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Subramanyapuram,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
66,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adaram,,,,,,,,,,,,0,,0,5,0.5,1,0.1,3,0.3,,,,,,,,,,
67,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Ragigunta,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
68,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Rangaiah gunta,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
69,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchera chenganna kandriga,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
70,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pathapalem,,,,,,,,,,,,0,,0,1,0.1,,0,,0,,,,,,,,,,
71,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kovanur,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
72,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Gnanamamba puram @Pavanivarikandriga,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,,,,,,
