sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
83,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,,,
84,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bonupalle,9,81,,,,
85,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sri Krishnapuram,2,58,,,,
86,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchanapalli,4,96,,,,
87,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chittatur,8,161,,,,
88,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Dongalamadugu,,,3,116,,
89,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sivanadhapalem,4,28,,,,
90,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,,,
91,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,,,,,
92,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmabhupalapuram,1,33,,,,
93,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kothapalem,4,49,,,,
94,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Tangellapuram,,,1,10,,
95,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vallur,,,2,26,,
96,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vagathur,,,1,3,,
97,10-C-76-45,Ctr_Kalangi_Nirpakota,Nirpakota,6,81,,,,
98,10-C-76-45,Ctr_Kalangi_Nirpakota,Gajulapalluru,10,127,,,,
99,10-C-76-45,Ctr_Kalangi_Nirpakota,Kanchanaputturu,7,61,,,,
100,10-C-76-45,Ctr_Kalangi_Nirpakota,Padamara vanathuru,,,,,,
101,10-C-76-45,Ctr_Kalangi_Nirpakota,Kukkambakam,5,33,,,,
102,10-C-76-45,Ctr_Kalangi_Nirpakota,Talarivettu,1,9,,,,
103,10-C-76-45,Ctr_Kalangi_Nirpakota,K.V.Puram,2,5,,,,
104,10-C-76-45,Ctr_Kalangi_Nirpakota,Kallivettu,3,32,,,,
105,10-C-76-45,Ctr_Kalangi_Nirpakota,Chellemambapuram,,,1,6,,
106,10-C-76-45,Ctr_Kalangi_Nirpakota,Nelavoy,5,43,,,,
107,10-C-76-45,Ctr_Kalangi_Nirpakota,V.palem,4,125,,,,
108,10-C-76-45,Ctr_Kalangi_Nirpakota,Kambakam,10,83,,,,
109,10-C-76-45,Ctr_Kalangi_Nirpakota,Kadur,7,90,,,,
110,10-C-76-45,Ctr_Kalangi_Nirpakota,Nellatur,13,125,,,,
111,10-C-76-45,Ctr_Kalangi_Nirpakota,Gudalavaripalem,,,4,8,,
112,10-C-76-45,Ctr_Kalangi_Nirpakota,Kolathur,,,3,63,,
113,10-C-76-45,Ctr_Kalangi_Nirpakota,Thonduru,,,12,149,,
114,10-C-76-45,Ctr_Kalangi_Nirpakota,Siddama Agraharam,,,3,114,,
115,10-C-76-45,Ctr_Kalangi_Nirpakota,Vittaiah Palem,13,94,,,,
116,10-C-76-45,Ctr_Kalangi_Nirpakota,Maruduvada,5,153,,,,
117,10-C-76-45,Ctr_Kalangi_Nirpakota,Amburu,7,132,,,,
118,10-C-76-45,Ctr_Kalangi_Nirpakota,Ayyavaripalem,3,39,,,,
119,10-C-76-45,Ctr_Kalangi_Nirpakota,Santavelur,8,247,,,,
120,10-C-76-45,Ctr_Kalangi_Nirpakota,Satambedu,3,66,,,,
121,10-C-76-45,Ctr_Kalangi_Nirpakota,Isukapalem,,,1,161,,
122,10-C-76-45,Ctr_Kalangi_Nirpakota,Kuvvakolli,4,80,,,,
123,10-C-76-45,Ctr_Kalangi_Nirpakota,Racherla,4,24,,,,
124,10-C-76-45,Ctr_Kalangi_Nirpakota,Yanadivettu,2,3,,,,
125,10-C-76-45,Ctr_Kalangi_Nirpakota,Padirikuppam,2,67,,,,
126,10-C-76-45,Ctr_Kalangi_Nirpakota,Panduru,2,61,,,,
127,10-C-76-45,Ctr_Kalangi_Nirpakota,Kovurpadu,6,130,,,,
128,10-C-76-45,Ctr_Kalangi_Nirpakota,Thowdambattu,5,20,,,,
129,10-C-76-45,Ctr_Kalangi_Nirpakota,Chinnapandur,2,36,,,,
130,10-C-76-45,Ctr_Kalangi_Nirpakota,Aruduru,2,71,,,,
131,10-C-76-45,Ctr_Kalangi_Nirpakota,Chavali Lingamanaidupalli,2,141,,,,
132,10-C-76-45,Ctr_Kalangi_Nirpakota,Kurinjalem,,,1,24,,
133,10-C-76-45,Ctr_Kalangi_Nirpakota,Forest,4,8,,,,
