GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Ctr-ponniar-Bisanatham,CTR_PONNIAR__BISANATHAM_ADAVIBODUGURU-MB,Athinatham,Athinatham
Ctr-Arani-Sivagiri Vanka-Nindra,CTR_ARANI__SIVAGIRIVANKA_NINDRA-MB,Athuru,Athur
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,Atmakuru,Atmakur-4
Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,Atturu,Athuru
Ctr-Swarna-Kalyani_Tiruchanuru,CTR_SWARNA__KALYANI_TIRUCHANURU-MB,Avilala,AVILALA
Ctr-pa-Chinnaeru,CTR_PALAR__CHINNAERU_NADIMURU-MB,Avulanatham,Avulanatham
Ctr-Ch-Peddavagu West-Somala,CTR_CH__PEDDAVAGUWEST_SOMALA-MB,Avulapalli,Avulapalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Avulathimmenapalli,Avulathimmanapalle
Ctr-Ch-Sorakayalapeta-Vagalla,CTR_CH__SORAKAYALAPETA_VAGALLA-MB,Avuvaripalle,Avuvaripalle
Ctr-Swarna-Panapakam-Panapakam,CTR_SWARNA__PANAPAKAM_PANAPAKAM-MB,Ayitepalli,Ithepalle
ctr-pa-Gargeyavanka-Irala,CTR_PALAR__GARGEYAVANKA_IRALA-MB,Ayyala Krishna Reddy Palle,Ayyala Krishna Reddipalle
Ctr-pa-Kaundinya p1,CTR_PALAR__KOUNDINYA P1_BAIPAGARIPALLE-MB,Ayyamreddipalli,Ayyamreddi Palle
Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,Ayyannagaripalle,Ayyannagaripalle
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,Ayyavandlapalli,Ayyavandlapalle
Ctr_Kalangi_Nirpakota,CTR_KALANGI__RALLAERU_NIRPAKOTA-MB,Ayyavaripalem,Ayyavaripalem-1
Ctr-Ch-Marripadu-Tarikonda,CTR_CH_MARRIPADUVANKA_TARIKONDA-MB,Ayyavaripalli,Ayyavaripalle-6
Ctr-pa-Duggamma eru,CTR_PALAR__DUGGAMMAERU_V.KOTA-MB,B.C.Palli,Boya Chinnaganna Palle
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,B.E.Kandirga,B.C.Khandriga
Ctr_Papa_Gummasamudram,CTR_PAPA_GUMMASAMUDRAM-MB,B.Kothakota,B.Kothakota
Ctr_Papa_Gummasamudram,CTR_PAPA_GUMMASAMUDRAM-MB,Badikayalapalle,Badikayalapalle
