S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
39,Ctr-Swarna-Gadanki-Gadanki,CTR_SWARNA__GADANKI_GADANKI-MB,14.49,8.53,14.87,8.33,,,,,1,,1020.8,904.1,116.7,1065.8,900.8,165
40,Ctr-Swarna-Panapakam-Panapakam,CTR_SWARNA__PANAPAKAM_PANAPAKAM-MB,15.52,11.7,15.8,12.01,,,,,1,,1020.8,904.1,116.7,1065.8,900.8,165
41,Ctr-Swarna_Kuppambadur,CTR_SWARNA__KUPPAMBADURU_KUPPAMBADURU-MB,17.09,12.57,16.5,13.63,,,,,1,,1185.3,1077.8,107.5,1587.8,1404.8,183
42,Ctr-Swarna-Kalyani_Tiruchanuru,CTR_SWARNA__KALYANI_TIRUCHANURU-MB,15.78,13.34,16.38,14.04,,,,,1,,1087.9,989.5,98.4,851.6,778,73.6
43,Ctr-Swarna-Avvachari Kona-Mamanduru,CTR_SWARNA__AVVACHARIKONA_MAMANDURU-MB,16.56,12.28,16.27,13.09,,,,,1,,1120.2,1017,103.2,1318.6,1114.6,204
44,Ctr-Swarna-Rayalcheruvu-Durgasamudram,CTR_SWARNA__RAYALACHERUVU_DURGASAMUDRAM-MB,16.62,12.89,17.08,13.84,,,,,1,,1050.5,966,84.5,1357.4,1220.8,136.6
45,Ctr-Swarna-Thondamanadu-Yerpedu,CTR_SWARNA__THONDAMANADU_YERPEDU-MB,15.41,10.24,14.19,11.18,,,,,1,,1275.8,1175.2,100.6,1381.4,1210.8,170.6
46,Ctr-Swarna-Valagalamanda-Muchuvolu,CTR_SWARNA__VALAGALAMANDA_MUCHUVOLU-MB,10.33,2.93,8.08,3.7,,,,,1,,1279.5,1174.1,105.4,1107.3,1028.5,78.8
47,Ctr-Swarna_Inagaluru_Inagaluru,CTR_SWARNA__INAGALLURU_INAGALLLURU-MB,10.33,2.93,8.08,3.7,,,,,1,,1279.5,1174.1,105.4,1107.3,1028.5,78.8
48,Ctr-Arani-Sivagiri Vanka-Nindra,CTR_ARANI__SIVAGIRIVANKA_NINDRA-MB,5.61,1.38,4.6,1.49,,,,,1,,1015.2,929.3,85.9,1299.8,1030.6,269.2
49,Ctr-Arani-Arani-Narayana vanam,CTR_ARANI__NAGALAPURAM_NAGALAPURAM-MB,7.71,2.04,6.74,2.62,,,,,1,,1166.3,1058.2,108.1,1498.2,1216.4,281.8
50,Ctr-Kor-Nagari,CTR_KORATLIAR__NAGARI_NAGARI-MB,4.89,0.93,3.34,0.6,,,,,1,,1107,1019,88,1458.2,1121.4,336.8
51,Ctr_Kor_Vijayapuram,CTR_KORATLIAR__VIJAYAPURAM_VIJAYAPURAM-MB,4.89,0.93,3.34,0.6,,,,,0.98,,1107,1019,88,1458.2,1121.4,336.8
52,Ctr-Kor-Annuru,CTR_KORATLIAR__ANNURU_ANNURU-MB,14.8,1.02,15.18,2.25,,,,,1,,1070.6,975.2,95.4,1016,916,100
53,Ctr-Kor-S R Puram,CTR_KORATLIAR__S.R.PURAM_S.R.PURAM-MB,24.05,10.12,24.04,9.07,,,,,1,,1062.6,964.7,97.9,954,865,89
54,Ctr-Kor-Palasamudram,CTR_KORATLIAR__PALASAMUDRAM_PALASAMUDRAM-MB,24.05,10.12,24.04,9.07,,,,,1,,1039.6,951.3,88.3,956.4,878,78.4
55,ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,24.6,15.31,25.29,15.51,,,,,1,,907.4,801.5,105.9,885.8,816.2,69.6
56,ctr-pa-Mangalampetavanka-puthalapattu,CTR_PALAR__M.C.VANKA_PUTHALAPATTU-MB,22.86,10.83,21.76,13.07,,,,,1,,919.8,811.4,108.4,690,624.2,65.8
57,ctr-pa-Gargeyavanka-Irala,CTR_PALAR__GARGEYAVANKA_IRALA-MB,24.13,12.31,28.08,14.76,,,,,1,,862.7,774.5,88.2,759.8,667.8,92
58,ctr-pa-Godduvanka-Thavanampalli,CTR_PALAR__GODDUVANKA_THAVANAMPALLE-MB,26,13.09,35.81,16.45,,,,,1,,886,782.7,103.3,928.2,839.2,89
59,ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,15.52,8.86,17.04,11.19,,,,,1,,941.8,771.7,170.1,850.4,759.8,90.6
