,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
93,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kothapalem,,,,0
94,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Tangellapuram,,,,0
95,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vallur,,,,0
96,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Vagathur,,,,0
97,10-C-76-45,Ctr_Kalangi_Nirpakota,Nirpakota,1,,,1
98,10-C-76-45,Ctr_Kalangi_Nirpakota,Gajulapalluru,1,,,1
99,10-C-76-45,Ctr_Kalangi_Nirpakota,Kanchanaputturu,1,,,1
100,10-C-76-45,Ctr_Kalangi_Nirpakota,Padamara vanathuru,1,,,1
101,10-C-76-45,Ctr_Kalangi_Nirpakota,Kukkambakam,1,,,1
102,10-C-76-45,Ctr_Kalangi_Nirpakota,Talarivettu,1,,,1
103,10-C-76-45,Ctr_Kalangi_Nirpakota,K.V.Puram,0,,,0
104,10-C-76-45,Ctr_Kalangi_Nirpakota,Kallivettu,1,,,1
105,10-C-76-45,Ctr_Kalangi_Nirpakota,Chellemambapuram,,1,,1
106,10-C-76-45,Ctr_Kalangi_Nirpakota,Nelavoy,1,,,1
107,10-C-76-45,Ctr_Kalangi_Nirpakota,V.palem,1,,,1
108,10-C-76-45,Ctr_Kalangi_Nirpakota,Kambakam,2,,,2
109,10-C-76-45,Ctr_Kalangi_Nirpakota,Kadur,1,,,1
110,10-C-76-45,Ctr_Kalangi_Nirpakota,Nellatur,1,,,1
111,10-C-76-45,Ctr_Kalangi_Nirpakota,Gudalavaripalem,,1,,1
112,10-C-76-45,Ctr_Kalangi_Nirpakota,Kolathur,,1,,1
113,10-C-76-45,Ctr_Kalangi_Nirpakota,Thonduru,,1,,1
114,10-C-76-45,Ctr_Kalangi_Nirpakota,Siddama Agraharam,,1,,1
