"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,,,,,,,,,,,,,,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total",,,,,,,,,,,,,,
34,"09_C_62_9","NLR_C_62_BOGOLE","Damavaram",2055,0,,,,2055,,518,2055,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",14,"Dagadarti",9126140120109,12,"Damavaram"
35,"09_C_62_9","NLR_C_62_BOGOLE","Anantavaram",826,0,,,,826,,,826,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",14,"Dagadarti",9126140130110,13,"Anantavaram"
36,"09_C_62_9","NLR_C_62_BOGOLE","Ulavapalla",842,0,,,,842,,148,842,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",14,"Dagadarti",9126140140111,14,"Ulavapalla"
37,"09_C_62_9","NLR_C_62_BOGOLE","Kottapallikowregunta",1890,0,,,,1890,,1040,1890,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",14,"Dagadarti",9126140150112,15,"Kottapallikowregunta"
38,"09_C_62_9","NLR_C_62_BOGOLE","Velicherla",237,237,,,237,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150010101,1,"Velicherla"
39,"09_C_62_9","NLR_C_62_BOGOLE","Singapeta",3153,3153,,,3153,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150020102,2,"Singapeta"
40,"09_C_62_9","NLR_C_62_BOGOLE","Allurupeta",2283,2283,,,2283,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150030103,3,"Allurupeta"
41,"09_C_62_9","NLR_C_62_BOGOLE","Iskapalli",2534,2534,,,2534,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150040104,4,"Iskapalli"
42,"09_C_62_9","NLR_C_62_BOGOLE","Gogulapalli",2197,2197,,,2197,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150050105,5,"Gogulapalli"
43,"09_C_62_9","NLR_C_62_BOGOLE","Allur ",3031,3031,,,3031,0,,,,0,,,,,,"Penna",,"Chippaleru","09_C_62_9","NLR_C_62_BOGOLE",9,"Nellore",15,"Allur ",9126150060103,6,"Allur "
