Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,
193,09_C_72_11,NLR_C_72_GANDLAVEEDU,16,Bhyravaram,0,3020,3020,166100,,
194,09_C_72_11,NLR_C_72_GANDLAVEEDU,20,Nandavaram,0,4218,4218,231990,,
195,09_C_72_11,NLR_C_72_GANDLAVEEDU,21,Dharmarao Cheruvupalli,,2513,2513,138215,,
196,09_C_72_11,NLR_C_72_GANDLAVEEDU,1,Gandlaveedu,0,948,948,52140,,
197,09_C_72_11,NLR_C_72_GANDLAVEEDU,2,Bottikarlapadu,0,506,506,27830,,
198,09_C_72_11,NLR_C_72_GANDLAVEEDU,3,Padakandla,0,1996,1996,109780,,
199,09_C_72_11,NLR_C_72_GANDLAVEEDU,4,Araveedu,0,1397,1397,76835,,
200,09_C_72_11,NLR_C_72_GANDLAVEEDU,5,Karatampadu,,2799,2799,153945,,
201,09_C_72_11,NLR_C_72_GANDLAVEEDU,6,Boilachiruvella,0,1568,1568,86240,,
202,09_C_72_11,NLR_C_72_GANDLAVEEDU,10,Chiruvellakandriga,0,321,321,17655,,
203,09_C_72_11,NLR_C_72_GANDLAVEEDU,11,Narampeta,0,391,391,21505,,
204,09_C_72_11,NLR_C_72_GANDLAVEEDU,12,Mahimalur,,5823,5823,320265,,
205,09_C_72_11,NLR_C_72_GANDLAVEEDU,13,Nagulapadu,0,1577,1577,86735,,
206,09_C_72_11,NLR_C_72_GANDLAVEEDU,14,Nuvvurupadu,,1506,1506,82830,,
207,09_C_72_11,NLR_C_72_GANDLAVEEDU,15,Jangalapalli,,393,393,21615,,
208,09_C_72_11,NLR_C_72_GANDLAVEEDU,16,Depuru,,1317,1317,72435,,
209,09_C_72_11,NLR_C_72_GANDLAVEEDU,19,Battepadu,4369,,4369,240295,,
210,09_C_72_11,NLR_C_72_GANDLAVEEDU,18,Minagallu,1978,,1978,108790,,
212,09_C_72_16,NLR_C_72_KALUVOYA,1,Kotitheertham,2422,,2422,133210,,
213,09_C_72_16,NLR_C_72_KALUVOYA,0,Veligonda hills,,,0,0,,
214,09_C_72_16,NLR_C_72_KALUVOYA,1,Kullur,5593,,5593,307615,,
215,09_C_72_16,NLR_C_72_KALUVOYA,2,Brahmanapalle,1394,,1394,76670,,
216,09_C_72_16,NLR_C_72_KALUVOYA,3,Baddevolu,1678,,1678,92290,,
217,09_C_72_16,NLR_C_72_KALUVOYA,4,Kaluvai,10437,,10437,574035,,
218,09_C_72_16,NLR_C_72_KALUVOYA,5,Iskapalle,351,,351,19305,,
219,09_C_72_16,NLR_C_72_KALUVOYA,6,Nukanapalle,663,,663,36465,,
220,09_C_72_16,NLR_C_72_KALUVOYA,7,Telugurayapuram,1388,,1388,76340,,
221,09_C_72_16,NLR_C_72_KALUVOYA,8,Topuguntaagraharam,,2635,2635,144925,,
222,09_C_72_16,NLR_C_72_KALUVOYA,10,Madannagaripalle,,1706,1706,93830,,
223,09_C_72_16,NLR_C_72_KALUVOYA,11,Chintalapalem,,1350,1350,74250,,
224,09_C_72_16,NLR_C_72_KALUVOYA,12,Uyyalapalle,,1106,1106,60830,,
225,09_C_72_16,NLR_C_72_KALUVOYA,13,Koturupalle,,337,337,18535,,
226,09_C_72_16,NLR_C_72_KALUVOYA,14,Yerraballe,,681,681,37455,,
227,09_C_72_16,NLR_C_72_KALUVOYA,1,Tegacherla,,1832,1832,100760,,
229,09_C_72_14,NLR_C_72_KODAVALUR,1,Dundigum,,1367,1367,75185,,
230,09_C_72_14,NLR_C_72_KODAVALUR,2,Marellapadu,,299,299,16445,,
231,09_C_72_14,NLR_C_72_KODAVALUR,5,Katrayapadu,,1338,1338,73590,,
232,09_C_72_14,NLR_C_72_KODAVALUR,6,Lingalapadu,,587,587,32285,,
233,09_C_72_14,NLR_C_72_KODAVALUR,7,Rangasamudram,,411,411,22605,,
234,09_C_72_14,NLR_C_72_KODAVALUR,8,Itampadu,,524,524,28820,,
235,09_C_72_14,NLR_C_72_KODAVALUR,9,Chennuru,4156,,4156,228580,,
236,09_C_72_14,NLR_C_72_KODAVALUR,10,Velupodu,,1528,1528,84040,,
237,09_C_72_14,NLR_C_72_KODAVALUR,16,Dagadarti,5524,,5524,303820,,
238,09_C_72_14,NLR_C_72_KODAVALUR,17,Turimerla,2581,,2581,141955,,
239,09_C_72_14,NLR_C_72_KODAVALUR,19,Yelamanchipadu,806,,806,44330,,
240,09_C_72_14,NLR_C_72_KODAVALUR,20,Pedaputtedu,4275,,4275,235125,,
241,09_C_72_14,NLR_C_72_KODAVALUR,21,Chawataputtedu,942,,942,51810,,
242,09_C_72_14,NLR_C_72_KODAVALUR,22,Uchaguntapalem,689,,689,37895,,
243,09_C_72_14,NLR_C_72_KODAVALUR,9,North Amuluru,,1671,1671,91905,,
244,09_C_72_14,NLR_C_72_KODAVALUR,10,North Mopuru,4151,,4151,228305,,
245,09_C_72_14,NLR_C_72_KODAVALUR,11,Indupuru,2524,,2524,138820,,
246,09_C_72_14,NLR_C_72_KODAVALUR,12,Purini,3001,,3001,165055,,
247,09_C_72_14,NLR_C_72_KODAVALUR,13,Beeramgunta,1898,,1898,104390,,
248,09_C_72_14,NLR_C_72_KODAVALUR,14,Kalambotlavarikhandra,30,,30,1650,,
249,09_C_72_14,NLR_C_72_KODAVALUR,15,Anantabatlavarikandriga,30,,30,1650,,
250,09_C_72_14,NLR_C_72_KODAVALUR,6,Varini,10153,,10153,558415,,
251,09_C_72_14,NLR_C_72_KODAVALUR,1,Talamanchi,5500,,5500,302500,,
252,09_C_72_14,NLR_C_72_KODAVALUR,2,Damegunta,1394,,1394,76670,,
253,09_C_72_14,NLR_C_72_KODAVALUR,3,Basavaipalem,884,,884,48620,,
254,09_C_72_14,NLR_C_72_KODAVALUR,4,Venkannapuram,588,,588,32340,,
255,09_C_72_14,NLR_C_72_KODAVALUR,5,Gundalammapalem,1303,,1303,71665,,
256,09_C_72_14,NLR_C_72_KODAVALUR,6,Naidupalem,1177,,1177,64735,,
257,09_C_72_14,NLR_C_72_KODAVALUR,7,Bodduvaripalem,4536,,4536,249480,,
258,09_C_72_14,NLR_C_72_KODAVALUR,8,Gotlapalem,0,,0,0,,
259,09_C_72_14,NLR_C_72_KODAVALUR,9,Kothavangallu,4068,,4068,223740,,
260,09_C_72_14,NLR_C_72_KODAVALUR,10,Gandavaram,5522,,5522,303710,,
261,09_C_72_14,NLR_C_72_KODAVALUR,11,Kodavalur,4528,,4528,249040,,
263,09_C_72_13,NLR_C_72_KOVUR,14,Kunalammapadu,,155,155,8525,,
264,09_C_72_13,NLR_C_72_KOVUR,21,Hasanapuram,,1457,1457,80135,,
265,09_C_72_13,NLR_C_72_KOVUR,22,Zuvvalaguntapalle,,627,627,34485,,
266,09_C_72_13,NLR_C_72_KOVUR,23,Srikolanu,,1964,1964,108020,,
267,09_C_72_13,NLR_C_72_KOVUR,18,Thiruveedipadu,,544,544,29920,,
268,09_C_72_13,NLR_C_72_KOVUR,1,Parlapalli,2702,,2702,148610,,
