,,,,Command Area,,Non command Area,,Poor quality area,,
Sr.no,Watershed code,GW watershed name,village name,Residential,,Residential,,Residential,,
121,09_C_72_12,NLR_C_72_A.S.PETA,Pandipadu,,,7,1,,,8
122,09_C_72_12,NLR_C_72_A.S.PETA,Peddaabbipuram,,,10,2,,,12
123,09_C_72_12,NLR_C_72_A.S.PETA,Rajavolu,,,30,1,,,31
124,09_C_72_12,NLR_C_72_A.S.PETA,Ponugodu,,,12,1,,,13
125,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudrampeta,11,1,,,,,12
126,09_C_72_12,NLR_C_72_A.S.PETA,Kakarlapadu,,,10,1,,,11
127,09_C_72_12,NLR_C_72_A.S.PETA,Zammavaram,,,14,1,,,15
128,09_C_72_12,NLR_C_72_A.S.PETA,Kavali yadavalli,26,1,,,,,27
129,09_C_72_12,NLR_C_72_A.S.PETA,Velpulagunta,,,4,1,,,5
130,09_C_72_12,NLR_C_72_A.S.PETA,Akbarabad,,,8,1,,,9
131,09_C_72_12,NLR_C_72_A.S.PETA,Chiramana,,,31,2,,,33
132,09_C_72_12,NLR_C_72_A.S.PETA,Chandalurupadu,,,10,1,,,11
133,09_C_72_12,NLR_C_72_A.S.PETA,Anumasamudram,,,38,1,,,39
134,09_C_72_12,NLR_C_72_A.S.PETA,Kuppurupadu,,,9,1,,,10
135,09_C_72_12,NLR_C_72_A.S.PETA,Kondameedikonduru,,,10,1,,,11
136,09_C_72_12,NLR_C_72_A.S.PETA,Peramana,,,24,1,,,25
137,09_C_72_12,NLR_C_72_A.S.PETA,Neelayapalem,,,4,1,,,5
138,09_C_72_12,NLR_C_72_A.S.PETA,Kolagatla,3,1,,,,,4
139,09_C_72_12,NLR_C_72_A.S.PETA,Total,46,4,784,58,0,0,892
140,09_c_72_15,NLR_C_72_ANANTASAGARAM,Yerrakonda hills,,,,0,,,0
141,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,0,,,0
142,09_c_72_15,NLR_C_72_ANANTASAGARAM,Naginenigunta,,,18,2,,,20
143,09_c_72_15,NLR_C_72_ANANTASAGARAM,Singannapalle,,,15,1,,,16
144,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatinaidupalle,,,42,2,,,44
145,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chunchuluru,,,29,1,,,30
146,09_c_72_15,NLR_C_72_ANANTASAGARAM,Pallavolu,,,35,1,,,36
147,09_c_72_15,NLR_C_72_ANANTASAGARAM,Ponguru,,,25,1,,,26
148,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bandarupalli,,,9,2,,,11
149,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kanupurupalli,,,4,1,,,5
150,09_c_72_15,NLR_C_72_ANANTASAGARAM,Velikonda hills,,,,,,,0
151,09_c_72_15,NLR_C_72_ANANTASAGARAM,Chapuralllapalle,,,8,1,,,9
152,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bommavaram,,,30,4,,,34
153,09_c_72_15,NLR_C_72_ANANTASAGARAM,Tholijapuram,,,,,,,0
154,09_c_72_15,NLR_C_72_ANANTASAGARAM,Gowravaram,,,16,1,,,17
155,09_c_72_15,NLR_C_72_ANANTASAGARAM,Amanichiruvella,10,2,,,,,12
156,09_c_72_15,NLR_C_72_ANANTASAGARAM,Inagalur,14,1,,,,,15
157,09_c_72_15,NLR_C_72_ANANTASAGARAM,Anantasagaram,75,5,,,,,80
158,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kamereddipadu,17,1,,,,,18
159,09_c_72_15,NLR_C_72_ANANTASAGARAM,Mangupalle,46,4,,,,,50
160,09_c_72_15,NLR_C_72_ANANTASAGARAM,Patalapalle,16,2,,,,,18
161,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatikambhampadu,23,2,,,,,25
162,09_c_72_15,NLR_C_72_ANANTASAGARAM,Somasila,7,1,,,,,8
163,09_c_72_15,NLR_C_72_ANANTASAGARAM,Uppalapadu,9,1,,,,,10
164,09_c_72_15,NLR_C_72_ANANTASAGARAM,Varikuntapadu,,,3,1,,,4
165,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bedusupalli,16,1,,,,,17
166,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-1,50,4,,,,,54
167,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-II,2,1,,,,,3
168,09_c_72_15,NLR_C_72_ANANTASAGARAM,Revuru,,,28,3,,,31
169,09_C_72_17,NLR_C_72_CHEJARLA,Yanamadala,,,9,1,,,10
170,09_C_72_17,NLR_C_72_CHEJARLA,Chejarla,48,3,,,,,51
171,09_C_72_17,NLR_C_72_CHEJARLA,Timmayapalem,4,1,,,,,5
172,09_C_72_17,NLR_C_72_CHEJARLA,Kalayapalem,3,1,,,,,4
173,09_C_72_17,NLR_C_72_CHEJARLA,Nagulavellaturu,5,3,,,,,8
174,09_C_72_17,NLR_C_72_CHEJARLA,Billupadu,9,1,,,,,10
175,09_C_72_17,NLR_C_72_CHEJARLA,Kakivoya,21,3,,,,,24
176,09_C_72_17,NLR_C_72_CHEJARLA,Topugunta,,,6,1,,,7
177,09_C_72_17,NLR_C_72_CHEJARLA,Cheepinapi,,,14,1,,,15
178,09_C_72_17,NLR_C_72_CHEJARLA,Chintalatmakur,,,18,1,,,19
179,09_C_72_17,NLR_C_72_CHEJARLA,Pallakonda,,,11,1,,,12
