sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
170,09_C_72_17,NLR_C_72_CHEJARLA,Yanamadala,,,1,4,,
171,09_C_72_17,NLR_C_72_CHEJARLA,Chejarla,0,0,,,,
172,09_C_72_17,NLR_C_72_CHEJARLA,Timmayapalem,1,120,,,,
173,09_C_72_17,NLR_C_72_CHEJARLA,Kalayapalem,1,30,,,,
174,09_C_72_17,NLR_C_72_CHEJARLA,Nagulavellaturu,1,60,,,,
175,09_C_72_17,NLR_C_72_CHEJARLA,Billupadu,1,20,,,,
176,09_C_72_17,NLR_C_72_CHEJARLA,Kakivoya,,,0,0,,
177,09_C_72_17,NLR_C_72_CHEJARLA,Topugunta,,,,,,
178,09_C_72_17,NLR_C_72_CHEJARLA,Cheepinapi,,,0,30,,
179,09_C_72_17,NLR_C_72_CHEJARLA,Chintalatmakur,,,1,5,,
180,09_C_72_17,NLR_C_72_CHEJARLA,Pallakonda,,,1,20,,
181,09_C_72_17,NLR_C_72_CHEJARLA,Kesamanenipalle,,,1,10,,
182,09_C_72_17,NLR_C_72_CHEJARLA,Chinagopavaram,1,20,1,20,,
183,09_C_72_17,NLR_C_72_CHEJARLA,Kanupurupalle,1,60,1,60,,
184,09_C_72_17,NLR_C_72_CHEJARLA,Total,6,310,6,149,0,0
185,09_C_72_11,NLR_C_72_GANDLAVEEDU,Gundemadakala,,,1,90,,
186,09_C_72_11,NLR_C_72_GANDLAVEEDU,Shankavaram,,,,,,
187,09_C_72_11,NLR_C_72_GANDLAVEEDU,Nallakonda,,,1,20,,
188,09_C_72_11,NLR_C_72_GANDLAVEEDU,Kistipuram A,,,1,10,,
189,09_C_72_11,NLR_C_72_GANDLAVEEDU,Duttalur,,,1,90,,
190,09_C_72_11,NLR_C_72_GANDLAVEEDU,Brahmeswaram,,,1,19,,
191,09_C_72_11,NLR_C_72_GANDLAVEEDU,Yerukollu,,,1,40,,
192,09_C_72_11,NLR_C_72_GANDLAVEEDU,Rachavaripalle,,,1,5,,
193,09_C_72_11,NLR_C_72_GANDLAVEEDU,Bhyravaram,,,1,40,,
194,09_C_72_11,NLR_C_72_GANDLAVEEDU,Nandavaram,,,,,,
195,09_C_72_11,NLR_C_72_GANDLAVEEDU,Dharmarao Cheruvupalli,,,1,100,,
196,09_C_72_11,NLR_C_72_GANDLAVEEDU,Gandlaveedu,,,1,30,,
197,09_C_72_11,NLR_C_72_GANDLAVEEDU,Bottikarlapadu,,,1,10,,
198,09_C_72_11,NLR_C_72_GANDLAVEEDU,Padakandla,,,1,4,,
199,09_C_72_11,NLR_C_72_GANDLAVEEDU,Araveedu,,,1,50,,
200,09_C_72_11,NLR_C_72_GANDLAVEEDU,Karatampadu,,,1,80,,
201,09_C_72_11,NLR_C_72_GANDLAVEEDU,Boilachiruvella,,,1,40,,
202,09_C_72_11,NLR_C_72_GANDLAVEEDU,Chiruvellakandriga,,,1,10,,
203,09_C_72_11,NLR_C_72_GANDLAVEEDU,Narampeta,,,1,4,,
204,09_C_72_11,NLR_C_72_GANDLAVEEDU,Mahimalur,,,1,300,,
205,09_C_72_11,NLR_C_72_GANDLAVEEDU,Nagulapadu,,,1,240,,
206,09_C_72_11,NLR_C_72_GANDLAVEEDU,Nuvvurupadu,,,1,100,,
207,09_C_72_11,NLR_C_72_GANDLAVEEDU,Jangalapalli,,,1,40,,
208,09_C_72_11,NLR_C_72_GANDLAVEEDU,Depuru,,,1,60,,
209,09_C_72_11,NLR_C_72_GANDLAVEEDU,Battepadu,1,520,,,,
210,09_C_72_11,NLR_C_72_GANDLAVEEDU,Minagallu,1,40,,,,
211,09_C_72_11,NLR_C_72_GANDLAVEEDU,Total,2,560,22,1382,0,0
212,09_C_72_16,NLR_C_72_KALUVOYA,Kotitheertham,1,720,,,,
213,09_C_72_16,NLR_C_72_KALUVOYA,Veligonda hills,,,,,,
214,09_C_72_16,NLR_C_72_KALUVOYA,Kullur,1,60,,,,
215,09_C_72_16,NLR_C_72_KALUVOYA,Brahmanapalle,1,4,,,,
216,09_C_72_16,NLR_C_72_KALUVOYA,Baddevolu,1,20,,,,
217,09_C_72_16,NLR_C_72_KALUVOYA,Kaluvai,1,400,,,,
218,09_C_72_16,NLR_C_72_KALUVOYA,Iskapalle,1,60,,,,
219,09_C_72_16,NLR_C_72_KALUVOYA,Nukanapalle,1,100,,,,
220,09_C_72_16,NLR_C_72_KALUVOYA,Telugurayapuram,1,110,,,,
221,09_C_72_16,NLR_C_72_KALUVOYA,Topuguntaagraharam,,,,,,
222,09_C_72_16,NLR_C_72_KALUVOYA,Madannagaripalle,,,1,20,,
223,09_C_72_16,NLR_C_72_KALUVOYA,Chintalapalem,,,1,10,,
224,09_C_72_16,NLR_C_72_KALUVOYA,Uyyalapalle,,,1,10,,
225,09_C_72_16,NLR_C_72_KALUVOYA,Koturupalle,,,1,14,,
226,09_C_72_16,NLR_C_72_KALUVOYA,Yerraballe,,,1,10,,
227,09_C_72_16,NLR_C_72_KALUVOYA,Tegacherla,,,1,32,,
228,09_C_72_16,NLR_C_72_KALUVOYA,Total,8,1474,6,96,0,0
229,09_C_72_14,NLR_C_72_KODAVALUR,Dundigum,,,1,70,,
230,09_C_72_14,NLR_C_72_KODAVALUR,Marellapadu,,,1,10,,
231,09_C_72_14,NLR_C_72_KODAVALUR,Katrayapadu,,,1,80,,
232,09_C_72_14,NLR_C_72_KODAVALUR,Lingalapadu,,,1,29,,
233,09_C_72_14,NLR_C_72_KODAVALUR,Rangasamudram,,,1,60,,
234,09_C_72_14,NLR_C_72_KODAVALUR,Itampadu,,,1,35,,
235,09_C_72_14,NLR_C_72_KODAVALUR,Chennuru,1,170,,,,
236,09_C_72_14,NLR_C_72_KODAVALUR,Velupodu,,,1,60,,
237,09_C_72_14,NLR_C_72_KODAVALUR,Dagadarti,1,190,,,,
238,09_C_72_14,NLR_C_72_KODAVALUR,Turimerla,1,90,,,,
239,09_C_72_14,NLR_C_72_KODAVALUR,Yelamanchipadu,1,20,,,,
240,09_C_72_14,NLR_C_72_KODAVALUR,Pedaputtedu,2,180,,,,
241,09_C_72_14,NLR_C_72_KODAVALUR,Chawataputtedu,1,30,,,,
242,09_C_72_14,NLR_C_72_KODAVALUR,Uchaguntapalem,1,30,,,,
243,09_C_72_14,NLR_C_72_KODAVALUR,North Amuluru,,,,,,
244,09_C_72_14,NLR_C_72_KODAVALUR,North Mopuru,,,,,,
245,09_C_72_14,NLR_C_72_KODAVALUR,Indupuru,1,100,,,,
246,09_C_72_14,NLR_C_72_KODAVALUR,Purini,1,170,,,,
247,09_C_72_14,NLR_C_72_KODAVALUR,Beeramgunta,,,,,,
248,09_C_72_14,NLR_C_72_KODAVALUR,Kalambotlavarikhandra,,,,,,
249,09_C_72_14,NLR_C_72_KODAVALUR,Anantabatlavarikandriga,,,,,,
250,09_C_72_14,NLR_C_72_KODAVALUR,Varini,1,210,,,,
251,09_C_72_14,NLR_C_72_KODAVALUR,Talamanchi,,,,,,
252,09_C_72_14,NLR_C_72_KODAVALUR,Damegunta,,,,,,
253,09_C_72_14,NLR_C_72_KODAVALUR,Basavaipalem,,,,,,
254,09_C_72_14,NLR_C_72_KODAVALUR,Venkannapuram,,,,,,
255,09_C_72_14,NLR_C_72_KODAVALUR,Gundalammapalem,,,,,,
256,09_C_72_14,NLR_C_72_KODAVALUR,Naidupalem,1,50,,,,
257,09_C_72_14,NLR_C_72_KODAVALUR,Bodduvaripalem,,,,,,
258,09_C_72_14,NLR_C_72_KODAVALUR,Gotlapalem,,,,,,
259,09_C_72_14,NLR_C_72_KODAVALUR,Kothavangallu,,,,,,
260,09_C_72_14,NLR_C_72_KODAVALUR,Gandavaram,,,,,,
261,09_C_72_14,NLR_C_72_KODAVALUR,Kodavalur,1,20,,,,
262,09_C_72_14,NLR_C_72_KODAVALUR,Total,13,1260,7,343,0,0
263,09_C_72_13,NLR_C_72_KOVUR,Kunalammapadu,,,,,,
264,09_C_72_13,NLR_C_72_KOVUR,Hasanapuram,,,1,65,,
265,09_C_72_13,NLR_C_72_KOVUR,Zuvvalaguntapalle,,,1,9,,
266,09_C_72_13,NLR_C_72_KOVUR,Srikolanu,,,1,116,1,3
267,09_C_72_13,NLR_C_72_KOVUR,Thiruveedipadu,,,,,,
268,09_C_72_13,NLR_C_72_KOVUR,Parlapalli,1,90,,,,
269,09_C_72_13,NLR_C_72_KOVUR,Chowkicherla,1,67,,,,
270,09_C_72_13,NLR_C_72_KOVUR,Dampuru,1,201,,,,
271,09_C_72_13,NLR_C_72_KOVUR,Vavilla,0,0,,,,
272,09_C_72_13,NLR_C_72_KOVUR,Dandigunta,,,,,,
273,09_C_72_13,NLR_C_72_KOVUR,Utukur,0,10,,,,
274,09_C_72_13,NLR_C_72_KOVUR,Alaganipadu,1,100,,,,
275,09_C_72_13,NLR_C_72_KOVUR,Vidavalur,1,220,,,,
276,09_C_72_13,NLR_C_72_KOVUR,Mudivarti,,,,,,
277,09_C_72_13,NLR_C_72_KOVUR,Allurpadu,0,0,,,,
278,09_C_72_13,NLR_C_72_KOVUR,Ramannapalem,1,160,,,,
279,09_C_72_13,NLR_C_72_KOVUR,North rajupalem,,,,,,
280,09_C_72_13,NLR_C_72_KOVUR,Yellayapalem,1,454,,,,
281,09_C_72_13,NLR_C_72_KOVUR,Maneguntapadu,1,100,,,,
282,09_C_72_13,NLR_C_72_KOVUR,Munulapudi,0,0,,,,
283,09_C_72_13,NLR_C_72_KOVUR,Vavveru,1,30,,,,
284,09_C_72_13,NLR_C_72_KOVUR,Nagamambapuram,1,200,,,,
285,09_C_72_13,NLR_C_72_KOVUR,Rebala,1,180,,,,
286,09_C_72_13,NLR_C_72_KOVUR,Iskapalem,1,290,,,,
287,09_C_72_13,NLR_C_72_KOVUR,Chellayapalem,0,0,,,,
288,09_C_72_13,NLR_C_72_KOVUR,Kavetipalem,2,490,,,,
289,09_C_72_13,NLR_C_72_KOVUR,Panchedu,0,,,,,
290,09_C_72_13,NLR_C_72_KOVUR,Minagallu,1,320,,,,
291,09_C_72_13,NLR_C_72_KOVUR,Jonnawada,0,,,,,
292,09_C_72_13,NLR_C_72_KOVUR,Penuballe,1,10,,,,
