,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
157,09_c_72_15,NLR_C_72_ANANTASAGARAM,Anantasagaram,,,,0
158,09_c_72_15,NLR_C_72_ANANTASAGARAM,Kamereddipadu,,,,0
159,09_c_72_15,NLR_C_72_ANANTASAGARAM,Mangupalle,,,,0
160,09_c_72_15,NLR_C_72_ANANTASAGARAM,Patalapalle,,,,0
161,09_c_72_15,NLR_C_72_ANANTASAGARAM,Padamatikambhampadu,,,,0
162,09_c_72_15,NLR_C_72_ANANTASAGARAM,Somasila,,,,0
163,09_c_72_15,NLR_C_72_ANANTASAGARAM,Uppalapadu,,,,0
164,09_c_72_15,NLR_C_72_ANANTASAGARAM,Varikuntapadu,,,,0
165,09_c_72_15,NLR_C_72_ANANTASAGARAM,Bedusupalli,,,,0
166,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-1,,,,0
167,09_c_72_15,NLR_C_72_ANANTASAGARAM,Devarayapalli-II,,,,0
168,09_c_72_15,NLR_C_72_ANANTASAGARAM,Revuru,,,,0
169,09_C_72_17,NLR_C_72_CHEJARLA,Yanamadala,,,,0
170,09_C_72_17,NLR_C_72_CHEJARLA,Chejarla,,,,0
171,09_C_72_17,NLR_C_72_CHEJARLA,Timmayapalem,,,,0
172,09_C_72_17,NLR_C_72_CHEJARLA,Kalayapalem,,,,0
173,09_C_72_17,NLR_C_72_CHEJARLA,Nagulavellaturu,,,,0
174,09_C_72_17,NLR_C_72_CHEJARLA,Billupadu,,,,0
175,09_C_72_17,NLR_C_72_CHEJARLA,Kakivoya,,,,0
176,09_C_72_17,NLR_C_72_CHEJARLA,Topugunta,,,,0
177,09_C_72_17,NLR_C_72_CHEJARLA,Cheepinapi,,,,0
178,09_C_72_17,NLR_C_72_CHEJARLA,Chintalatmakur,,,,0
179,09_C_72_17,NLR_C_72_CHEJARLA,Pallakonda,,,,0
180,09_C_72_17,NLR_C_72_CHEJARLA,Kesamanenipalle,,,,0
181,09_C_72_17,NLR_C_72_CHEJARLA,Chinagopavaram,,,,0
182,09_C_72_17,NLR_C_72_CHEJARLA,Kanupurupalle,,,,0
183,09_C_72_16,NLR_C_72_KALUVOYA,Kotitheertham,,,,0
184,09_C_72_16,NLR_C_72_KALUVOYA,Veligonda hills,,,,0
185,09_C_72_16,NLR_C_72_KALUVOYA,Kullur,,,,0
186,09_C_72_16,NLR_C_72_KALUVOYA,Brahmanapalle,,,,0
187,09_C_72_16,NLR_C_72_KALUVOYA,Baddevolu,2,,,2
188,09_C_72_16,NLR_C_72_KALUVOYA,Kaluvai,,,,0
189,09_C_72_16,NLR_C_72_KALUVOYA,Iskapalle,,,,0
190,09_C_72_16,NLR_C_72_KALUVOYA,Nukanapalle,,,,0
191,09_C_72_16,NLR_C_72_KALUVOYA,Telugurayapuram,,,,0
192,09_C_72_16,NLR_C_72_KALUVOYA,Topuguntaagraharam,,,,0
193,09_C_72_16,NLR_C_72_KALUVOYA,Madannagaripalle,,,,0
194,09_C_72_16,NLR_C_72_KALUVOYA,Chintalapalem,,,,0
195,09_C_72_16,NLR_C_72_KALUVOYA,Uyyalapalle,,,,0
