Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,,,,,,,,,,,,,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Water shed code,Watershed name,DIS code,district,mandal code,mandal,janmaboomi code,village code,,,,,,
32,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sambaiahpalem,335,0,0,0,0,335,0,0,335,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150260118,,Sambaiahpalem
33,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Basavaiahpalem,98,0,0,0,0,98,0,0,98,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,15,Thottambedu,10135150250116,,Basavaiahpalem
34,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Forest,14,0,0,14,,14,0,0,14,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,,Narayanavanam,,,Forest
35,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Chukkalanidigallu,102,0,0,0,0,102,0,0,102,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,14,Sri Kalahasti,10135140520134,,Chukkalanidigallu
36,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Ramapuram,235,0,0,0,0,235,0,14,235,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,14,Sri Kalahasti,10135140670147,,Ramapuram
37,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sahasralingeswarapuram,21,0,0,0,0,21,0,0,21,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,14,Sri Kalahasti,10135140660145,,Sahasralingeswarapuram
38,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Sri Kalahasthi,137,0,0,0,0,137,,0,137,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,0,Sri Kalahasti,10135140480199,,Sri Kalahasthi
39,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Vedam,209,0,0,0,0,209,0,0,209,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,14,Sri Kalahasti,10135140640145,,Vedam
40,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,Modugulapalem,412,0,0,0,0,412,0,0,412,,,,,,,Swarnamukhi,Sri Kalahasti,,10-C-74-42,Ctr-Swarna-Sri Kalahasti-Thottambedu,10,Chittoor,13,Yerpedu,10135130230122,,Modugulapalem
41,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Tangellapalem,644,644,,0,644,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,15,Thottambedu,10136150320121,,Tangellapalem
