,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1342,"10-C-81-66","Ctr-pa-Kaundinya p1","M.N.Reddipalli",91,91,893,43,0,91,,1209,,18,9,,,,2,29,,,,,,,,0
1343,"10-C-81-66","Ctr-pa-Kaundinya p1","Mulathimmepalli",157,157,387,74,0,157,,932,,10,16,,,,1,27,,,,,,,,0
1344,"10-C-81-66","Ctr-pa-Kaundinya p1","Erlabanda",131,131,0,0,0,131,,393,,17,29,,,,1,47,,,,,,,,0
1345,"10-C-81-66","Ctr-pa-Kaundinya p1","Chappidipalli",841,841,2804,395,0,841,,5722,,11,67,,,,8,86,,,,,,,,0
1346,"10-C-81-66","Ctr-pa-Kaundinya p1","Nellipatla",1037,1037,3927,587,0,1037,,7625,,10,107,,,,23,140,,,,,,,,0
1347,"10-C-81-67","Ctr-pa-Kaigaleru","Baireddipalle",961,961,7225,78,0,961,,10186,,28,144,,,,6,178,,,,,,,,0
1348,"10-C-81-67","Ctr-pa-Kaigaleru","P.C.Gunta",727,727,2297,0,0,727,,4478,,21,91,,,,9,121,,,,,,,,0
1349,"10-C-81-67","Ctr-pa-Kaigaleru","Kammanapalli",674,674,2319,0,0,674,,4341,,32,90,,,,6,128,,,,,,,,0
1350,"10-C-81-67","Ctr-pa-Kaigaleru","Settipalli",465,465,1180,0,0,465,,2575,,15,66,,,,6,87,,,,,,,,0
1351,"10-C-81-67","Ctr-pa-Kaigaleru","Lakkanapalli",566,566,3220,367,0,566,,5285,,21,80,,,,7,108,,,,,,,,0
1352,"10-C-81-67","Ctr-pa-Kaigaleru","G.C.Palli",686,686,2349,463,0,686,,4870,,48,60,,,,8,116,,,,,,,,0
1353,"10-C-81-67","Ctr-pa-Kaigaleru","Alapalli",807,807,1900,487,0,807,,4808,,33,29,,,,10,72,,,,,,,,0
1354,"10-C-81-67","Ctr-pa-Kaigaleru","Kambampalli",614,614,1904,324,0,614,,4070,,18,108,,,,8,134,,,,,,,,0
1355,"10-C-81-67","Ctr-pa-Kaigaleru","Thirtam",1699,1699,5208,0,0,1699,,10305,,54,110,,,,10,174,,,,,,,,0
1356,"10-C-81-67","Ctr-pa-Kaigaleru","Kaigal",835,835,824,405,0,835,,3734,,5,29,,,,2,36,,,,,,,,0
1357,"10-C-81-67","Ctr-pa-Kaigaleru","Ganginayunipalli",480,480,2108,0,0,480,,3548,,21,62,,,,4,87,,,,,,,,0
1358,"10-C-81-67","Ctr-pa-Kaigaleru","Dontirallapalle",230,230,1,0,0,230,,691,,3,5,,,,1,9,,,,,,,,0
1359,"10-C-81-67","Ctr-pa-Kaigaleru","Thothireddypalle",142,142,152,0,0,142,,578,,3,16,,,,4,23,,,,,,,,0
1360,"10-C-81-67","Ctr-pa-Kaigaleru","R.K.Dinne",71,71,304,0,0,71,,517,,2,13,,,,3,18,,,,,,,,0
1361,"10-C-81-67","Ctr-pa-Kaigaleru","G.T.Palli",1312,1312,4736,1051,0,1312,,9723,,40,98,,,,6,144,,,,,,,,0
1362,"10-C-81-67","Ctr-pa-Kaigaleru","K.Natham",225,225,830,0,0,225,,1505,,17,33,,,,3,53,,,,,,,,0
