,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1,"10-C-74-41","Ctr-Swarna-Poli-Poli","Anantapadmanabhapuram",0,0,0,,,,0,0,0,2,3,,,,0,5,,,,,,,,0
2,"10-C-74-41","Ctr-Swarna-Poli-Poli","Appalayagunta",0,0,0,,,,0,0,0,1,2,,,,1,4,,,,,,,,0
3,"10-C-74-41","Ctr-Swarna-Poli-Poli","Bahudur venkatapuram",0,0,0,,,,0,0,0,7,13,,,,1,21,,,,,,,,0
4,"10-C-74-41","Ctr-Swarna-Poli-Poli","Bhimavaram",0,0,0,,,,0,0,0,7,14,,,,2,23,,,,,,,,0
5,"10-C-74-41","Ctr-Swarna-Poli-Poli","Poli",0,0,0,,,,0,0,0,6,11,,,,2,19,,,,,,,,0
6,"10-C-74-41","Ctr-Swarna-Poli-Poli","Vampalle",0,0,0,,,,0,0,0,7,13,,,,1,21,,,,,,,,0
7,"10-C-74-41","Ctr-Swarna-Poli-Poli","Chemuru",0,0,0,,,,0,0,0,45,85,,,,3,133,,,,,,,,0
8,"10-C-74-41","Ctr-Swarna-Poli-Poli","Chiyyavaram",0,0,0,,,,0,0,0,66,96,,,,1,163,,,,,,,,0
9,"10-C-74-41","Ctr-Swarna-Poli-Poli","Kondachenukandriga",0,0,0,,,,0,0,0,1,2,,,,0,3,,,,,,,,0
10,"10-C-74-41","Ctr-Swarna-Poli-Poli","Dainedu",0,11,19,,,,2,32,0,0,0,,,,0,0,,,,,,,,0
11,"10-C-74-41","Ctr-Swarna-Poli-Poli","Pillamedu",0,13,26,,,,1,40,0,0,0,,,,0,0,,,,,,,,0
12,"10-C-74-41","Ctr-Swarna-Poli-Poli","Mamidigunta",0,11,19,,,,4,34,0,0,0,,,,0,0,,,,,,,,0
13,"10-C-74-41","Ctr-Swarna-Poli-Poli","Kasaram",0,37,56,,,,1,94,0,0,0,,,,0,0,,,,,,,,0
14,"10-C-74-41","Ctr-Swarna-Poli-Poli","Rambatlapalli",0,7,14,,,,1,22,0,0,0,,,,0,0,,,,,,,,0
15,"10-C-74-41","Ctr-Swarna-Poli-Poli","Gottipudi",0,9,17,,,,1,27,0,0,0,,,,0,0,,,,,,,,0
16,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Peddakanaparthi",,33,131,,,,5,169,,0,0,,,,0,0,,,,,,,,0
17,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Thottambedu",,0,0,,,,0,0,,54,3,,,,6,63,,,,,,,,0
18,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","CRN kandriga",,0,0,,,,0,0,,4,4,,,,4,12,,,,,,,,0
19,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Edulagunta",,2,5,,,,1,8,,0,0,,,,0,0,,,,,,,,0
20,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Poyya",,31,52,,,,5,88,,0,0,,,,0,0,,,,,,,,0
21,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Karlapudi",,3,4,,,,1,8,,0,0,,,,0,0,,,,,,,,0
22,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Tatiparti",,6,4,,,,5,15,,0,0,,,,0,0,,,,,,,,0
23,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Gurukulapalem",,19,38,,,,1,58,,0,0,,,,0,0,,,,,,,,0
24,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Gummadigaunta",,0,0,,,,0,0,,10,3,,,,1,14,,,,,,,,0
25,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Chinnasingamala",,6,3,,,,1,10,,0,0,,,,0,0,,,,,,,,0
26,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Pudi",,0,0,,,,0,0,,0,60,,,,35,95,,,,,,,,0
27,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","I laganuru",,11,26,,,,2,39,,0,0,,,,0,0,,,,,,,,0
28,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Konathaneri",,0,0,,,,0,0,,45,52,,,,1,98,,,,,,,,0
29,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Pennela Padu",,0,0,,,,0,0,,10,20,,,,10,40,,,,,,,,0
30,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Konnali",,12,45,,,,1,58,,0,0,,,,0,0,,,,,,,,0
31,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Peddakannali",,70,30,,,,40,140,,0,0,,,,0,0,,,,,,,,0
32,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Sambaiahpalem",,0,0,,,,0,0,,8,3,,,,1,12,,,,,,,,0
33,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Basavaiahpalem",,0,0,,,,0,0,,10,3,,,,1,14,,,,,,,,0
34,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Forest",,0,0,,,,,0,,0,0,,,,0,0,,,,,,,,0
35,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Chukkalanidigallu",,0,0,,,,0,0,,32,3,,,,1,36,,,,,,,,0
36,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Ramapuram",,0,0,,,,0,0,,32,2,,,,4,38,,,,,,,,0
37,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Sahasralingeswarapuram",,0,0,,,,0,0,,1,1,,,,0,2,,,,,,,,0
38,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Sri Kalahasthi",,0,0,,,,0,0,,42,10,,,,1,53,,,,,,,,0
39,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Vedam",,0,0,,,,0,0,,50,18,,,,2,70,,,,,,,,0
40,"10-C-74-42","Ctr-Swarna-Sri Kalahasti-Thottambedu","Modugulapalem",,0,0,,,,0,0,,41,35,,,,1,77,,,,,,,,0
41,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Tangellapalem",,40,8,,,,4,52,,,,,,,,0,,,,,,,,0
42,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Gowdamala",,30,10,,,,4,44,,,,,,,,0,,,,,,,,0
43,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Routhusuramala",,10,0,,,,5,15,,,,,,,,0,,,,,,,,0
44,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Forest",,,,,,,,0,,,,,,,,0,,,,,,,,0
45,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Parlapalli",,10,18,,,,3,31,,,,,,,,0,,,,,,,,0
46,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Pallemala",,40,21,,,,3,64,,,,,,,,0,,,,,,,,0
47,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Katuru",,35,29,,,,9,73,,,,,,,,0,,,,,,,,0
48,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Bhavani sankarapuram",,5,10,,,,3,18,,,,,,,,0,,,,,,,,0
49,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Alathuru",,50,100,,,,8,158,,,,,,,,0,,,,,,,,0
50,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Taripedu",,0,0,,,,1,1,,,,,,,,0,,,,,,,,0
51,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Chinnagunta",,0,40,,,,5,45,,,,,,,,0,,,,,,,,0
52,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Putteri",,5,7,,,,2,14,,,,,,,,0,,,,,,,,0
53,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Peddapalavedu",,10,30,,,,5,45,,,,,,,,0,,,,,,,,0
54,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Vijayagopalapuram",,75,10,,,,2,87,,,,,,,,0,,,,,,,,0
55,"10-C-76-43","Ctr-Kalangi-Katuru-Katuru","Kananambedu",,10,50,,,,2,62,,,,,,,,0,,,,,,,,0
56,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Adavaram",,,,,,,,0,,102,120,,,,2,224,,,,,,,,0
57,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Katrapalli",,,,,,,,0,,35,49,,,,4,88,,,,,,,,0
58,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Thimmasamudram",,,,,,,,0,,77,64,,,,4,145,,,,,,,,0
59,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Suramala",,,,,,,,0,,4,22,,,,4,30,,,,,,,,0
60,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Chellamambapuram",,,,,,,,0,,2,8,,,,7,17,,,,,,,,0
61,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Kalathuru",,,,,,,,0,,60,80,,,,5,145,,,,,,,,0
62,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","KVB puram",,,,,,,,0,,0,50,,,,3,53,,,,,,,,0
63,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Perindesam",,,,,,,,0,,39,19,,,,4,62,,,,,,,,0
64,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","MA Rajulakandriga",,,,,,,,0,,50,50,,,,4,104,,,,,,,,0
65,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Subramanyapuram",,,,,,,,0,,12,13,,,,1,26,,,,,,,,0
66,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Adaram",,,,,,,,0,,30,17,,,,3,50,,,,,,,,0
67,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Ragigunta",,,,,,,,0,,53,25,,,,2,80,,,,,,,,0
68,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Rangaiah gunta",,,,,,,,0,,15,10,,,,1,26,,,,,,,,0
69,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Kanchera chenganna kandriga",,,,,,,,0,,9,2,,,,1,12,,,,,,,,0
70,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Pathapalem",,,,,,,,0,,26,41,,,,0,67,,,,,,,,0
71,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Kovanur",,65,30,,,,7,102,,,,,,,,0,,,,,,,,0
72,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Gnanamamba puram @Pavanivarikandriga",,39,33,,,,2,74,,,,,,,,0,,,,,,,,0
73,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Bramhanacheruvu",,,,,,,,0,,6,15,,,,1,22,,,,,,,,0
74,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Venkatapuram",,,,,,,,0,,14,24,,,,2,40,,,,,,,,0
75,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Angericheruvu",,,,,,,,0,,12,8,,,,3,23,,,,,,,,0
76,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Bramhanapalli",,,,,,,,0,,8,40,,,,2,50,,,,,,,,0
77,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Bakkapotukunta",,,,,,,,0,,5,13,,,,1,19,,,,,,,,0
78,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Timmanaidugunta",,,,,,,,0,,4,10,,,,1,15,,,,,,,,0
79,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Pudi (a) Chennakesava-puram",,,,,,,,0,,37,20,,,,2,59,,,,,,,,0
80,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Kandluru",,,,,,,,0,,11,17,,,,3,31,,,,,,,,0
81,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Anjuru",,26,14,,,,2,42,,,,,,,,0,,,,,,,,0
82,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Guntipedu",,,,,,,,0,,5,5,,,,3,13,,,,,,,,0
83,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Forest",,,,,,,,0,,,,,,,,0,,,,,,,,0
84,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Bonupalle",,52,9,,,,4,65,,,,,,,,0,,,,,,,,0
85,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Sri Krishnapuram",,21,0,,,,3,24,,,,,,,,0,,,,,,,,0
86,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Kanchanapalli",,5,3,,,,1,9,,,,,,,,0,,,,,,,,0
87,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Chittatur",,153,47,,,,6,206,,,,,,,,0,,,,,,,,0
88,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Dongalamadugu",,,,,,,,0,,15,5,,,,1,21,,,,,,,,0
89,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Sivanadhapalem",,21,9,,,,1,31,,,,,,,,0,,,,,,,,0
90,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Forest",,,,,,,,0,,,,,,,,0,,,,,,,,0
91,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Forest",,,,,,,,0,,,,,,,,0,,,,,,,,0
92,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Timmabhupalapuram",,12,15,,,,2,29,,,,,,,,0,,,,,,,,0
93,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Kothapalem",,35,15,,,,2,52,,,,,,,,0,,,,,,,,0
94,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Tangellapuram",,,,,,,,0,,7,20,,,,1,28,,,,,,,,0
95,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Vallur",,,,,,,,0,,14,12,,,,2,28,,,,,,,,0
96,"10-C-76-44","Ctr-Kalangi-KVB Puram-KVB Puram","Vagathur",,,,,,,,0,,13,41,,,,2,56,,,,,,,,0
97,"10-C-76-45","Ctr_Kalangi_Nirpakota","Nirpakota",,113,50,,,,2,165,,,,,,,,0,,,,,,,,0
98,"10-C-76-45","Ctr_Kalangi_Nirpakota","Gajulapalluru",,57.5,15,,,,4,76.5,,,,,,,,0,,,,,,,,0
99,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kanchanaputturu",,123.75,50,,,,4,177.75,,,,,,,,0,,,,,,,,0
100,"10-C-76-45","Ctr_Kalangi_Nirpakota","Padamara vanathuru",,36,36,,,,2,74,,,,,,,,0,,,,,,,,0
101,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kukkambakam",,38.75,16,,,,10,64.75,,,,,,,,0,,,,,,,,0
102,"10-C-76-45","Ctr_Kalangi_Nirpakota","Talarivettu",,15,20,,,,4,39,,,,,,,,0,,,,,,,,0
103,"10-C-76-45","Ctr_Kalangi_Nirpakota","K.V.Puram",,0,1,,,,30,31,,,,,,,,0,,,,,,,,0
104,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kallivettu",,27.5,57,,,,4,88.5,,,,,,,,0,,,,,,,,0
105,"10-C-76-45","Ctr_Kalangi_Nirpakota","Chellemambapuram",,,,,,,,0,,0,15,,,,1,16,,,,,,,,0
106,"10-C-76-45","Ctr_Kalangi_Nirpakota","Nelavoy",,30,29,,,,2,61,,,,,,,,0,,,,,,,,0
107,"10-C-76-45","Ctr_Kalangi_Nirpakota","V.palem",,51.25,39,,,,2,92.25,,,,,,,,0,,,,,,,,0
108,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kambakam",,41.25,1,,,,4,46.25,,,,,,,,0,,,,,,,,0
109,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kadur",,26,29,,,,3,58,,,,,,,,0,,,,,,,,0
110,"10-C-76-45","Ctr_Kalangi_Nirpakota","Nellatur",,28.75,30,,,,5,63.75,,,,,,,,0,,,,,,,,0
111,"10-C-76-45","Ctr_Kalangi_Nirpakota","Gudalavaripalem",,,,,,,,0,,0,20,,,,2,22,,,,,,,,0
112,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kolathur",,,,,,,,0,,5,65,,,,4,74,,,,,,,,0
113,"10-C-76-45","Ctr_Kalangi_Nirpakota","Thonduru",,,,,,,,0,,188,3,,,,3,194,,,,,,,,0
114,"10-C-76-45","Ctr_Kalangi_Nirpakota","Siddama Agraharam",,,,,,,,0,,38,1,,,,1,40,,,,,,,,0
115,"10-C-76-45","Ctr_Kalangi_Nirpakota","Vittaiah Palem",,0,7,,,,1,8,,,,,,,,0,,,,,,,,0
116,"10-C-76-45","Ctr_Kalangi_Nirpakota","Maruduvada",,12.5,3,,,,4,19.5,,,,,,,,0,,,,,,,,0
117,"10-C-76-45","Ctr_Kalangi_Nirpakota","Amburu",,22.5,4,,,,2,28.5,,,,,,,,0,,,,,,,,0
118,"10-C-76-45","Ctr_Kalangi_Nirpakota","Ayyavaripalem",,11,28,,,,1,40,,,,,,,,0,,,,,,,,0
119,"10-C-76-45","Ctr_Kalangi_Nirpakota","Santavelur",,17.5,55,,,,6,78.5,,,,,,,,0,,,,,,,,0
120,"10-C-76-45","Ctr_Kalangi_Nirpakota","Satambedu",,0,4,,,,1,5,,,,,,,,0,,,,,,,,0
121,"10-C-76-45","Ctr_Kalangi_Nirpakota","Isukapalem",,,,,,,,0,,2.5,61,,,,0,63.5,,,,,,,,0
122,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kuvvakolli",,36.25,31,,,,2,69.25,,,,,,,,0,,,,,,,,0
123,"10-C-76-45","Ctr_Kalangi_Nirpakota","Racherla",,16.25,3,,,,3,22.25,,,,,,,,0,,,,,,,,0
124,"10-C-76-45","Ctr_Kalangi_Nirpakota","Yanadivettu",,0,3,,,,1,4,,,,,,,,0,,,,,,,,0
125,"10-C-76-45","Ctr_Kalangi_Nirpakota","Padirikuppam",,5,3,,,,2,10,,,,,,,,0,,,,,,,,0
126,"10-C-76-45","Ctr_Kalangi_Nirpakota","Panduru",,81.25,2,,,,4,87.25,,,,,,,,0,,,,,,,,0
127,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kovurpadu",,8,2,,,,1,11,,,,,,,,0,,,,,,,,0
128,"10-C-76-45","Ctr_Kalangi_Nirpakota","Thowdambattu",,92.5,6,,,,2,100.5,,,,,,,,0,,,,,,,,0
129,"10-C-76-45","Ctr_Kalangi_Nirpakota","Chinnapandur",,13.75,4,,,,2,19.75,,,,,,,,0,,,,,,,,0
130,"10-C-76-45","Ctr_Kalangi_Nirpakota","Aruduru",,69,15,,,,4,88,,,,,,,,0,,,,,,,,0
131,"10-C-76-45","Ctr_Kalangi_Nirpakota","Chavali Lingamanaidupalli",,19,79,,,,2,100,,,,,,,,0,,,,,,,,0
132,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kurinjalem",,,,,,,,0,,23.75,3,,,,2,28.75,,,,,,,,0
133,"10-C-76-45","Ctr_Kalangi_Nirpakota","Forest",,,,,,,,0,,,,,,,,0,,,,,,,,0
134,"10-C-76-45","Ctr_Kalangi_Nirpakota","388 Arur",,,,,,,,0,,113.75,2,,,,3,118.75,,,,,,,,0
135,"10-C-76-45","Ctr_Kalangi_Nirpakota","Appaiahpalem",,,,,,,,0,,17.5,1,,,,2,20.5,,,,,,,,0
136,"10-C-76-45","Ctr_Kalangi_Nirpakota","Pedda Etipakam",,,,,,,,0,,57.5,1,,,,4,62.5,,,,,,,,0
137,"10-C-76-45","Ctr_Kalangi_Nirpakota","Chinna Etipakam",,,,,,,,0,,94,1,,,,4,99,,,,,,,,0
138,"10-C-76-45","Ctr_Kalangi_Nirpakota","P.V.Puram",,,,,,,,0,,99,1,,,,2,102,,,,,,,,0
139,"10-C-76-45","Ctr_Kalangi_Nirpakota","Rajagopalapuram",,120,1,,,,5,126,,,,,,,,0,,,,,,,,0
140,"10-C-76-45","Ctr_Kalangi_Nirpakota","Kannavaram",,,,,,,,0,,146,83,,,,8,237,,,,,,,,0
141,"10-C-76-45","Ctr_Kalangi_Nirpakota","Forest",,,,,,,,0,,,,,,,,0,,,,,,,,0
142,"10-C-76-45","Ctr_Kalangi_Nirpakota","Birakuppam",,,,,,,,0,,95,30,,,,2,127,,,,,,,,0
143,"10-C-76-45","Ctr_Kalangi_Nirpakota","Tripuranthakapuram kota",,,,,,,,0,,55,1,,,,6,62,,,,,,,,0
144,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Ramapuram",,,,,,,,0,,9,45,,,,1,55,,,,,,,,0
145,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Rajanagaram",,,,,,,,0,,13,54,,,,1,68,,,,,,,,0
146,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Appambattu",,21,12,,,,5,38,,,,,,,,0,,,,,,,,0
147,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Ramagiri",,,,,,,,0,,8,114,,,,6,128,,,,,,,,0
148,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Kadivedu",,,,,,,,0,,8,39,,,,2,49,,,,,,,,0
149,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","SS Puram",,,,,,,,0,,13.5,63,,,,1,77.5,,,,,,,,0
150,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Velluru",,,,,,,,0,,9,32,,,,0,41,,,,,,,,0
151,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Krishnapuram",,,,,,,,0,,31.5,179,,,,1,211.5,,,,,,,,0
152,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Kalangeri",,,,,,,,0,,47,69,,,,4,120,,,,,,,,0
153,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Nagalapuam",,,,,,,,0,,11.5,123,,,,2,136.5,,,,,,,,0
154,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Vembakkam",,,,,,,,0,,79,140,,,,0,219,,,,,,,,0
155,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Baitakodiyambedu",,,,,,,,0,,37.5,28,,,,1,66.5,,,,,,,,0
156,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Karani",,32.5,5,,,,5,42.5,,,,,,,,0,,,,,,,,0
157,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Surutupalli",,,,,,,,0,,8.5,1,,,,2,11.5,,,,,,,,0
158,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Kothamarikuppam",,,,,,,,0,,16.5,3,,,,4,23.5,,,,,,,,0
159,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","NR Agraharam",,21.5,15,,,,4,40.5,,,,,,,,0,,,,,,,,0
160,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Dalavayi Agraharam",,,,,,,,0,,14.5,1,,,,5,20.5,,,,,,,,0
161,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Satyavedu",,,,,,,,0,,47.5,31,,,,8,86.5,,,,,,,,0
162,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Venkatarajulakandriga",,,,,,,,0,,16.5,10,,,,2,28.5,,,,,,,,0
163,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Madanambedu",,,,,,,,0,,12,2,,,,5,19,,,,,,,,0
164,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Peradam",,4,2,,,,1,7,,,,,,,,0,,,,,,,,0
165,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Sirunambuduru",,,,,,,,0,,24,4,,,,2,30,,,,,,,,0
166,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Madanamjeri",,,,,,,,0,,3.5,1,,,,3,7.5,,,,,,,,0
167,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Ambakam",,,,,,,,0,,20,6,,,,7,33,,,,,,,,0
168,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Thaondukuli",,,,,,,,0,,14.5,5,,,,4,23.5,,,,,,,,0
169,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Pudukuppam",,,,,,,,0,,13.5,4,,,,1,18.5,,,,,,,,0
170,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Chenneri",,,,,,,,0,,40.5,6,,,,8,54.5,,,,,,,,0
171,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Dasukupam",,10,1,,,,3,14,,,,,,,,0,,,,,,,,0
172,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Vanellur",,,,,,,,0,,24,1,,,,2,27,,,,,,,,0
173,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Rallakuppam",,44,2,,,,8,54,,,,,,,,0,,,,,,,,0
174,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Kolladam",,,,,,,,0,,5,1,,,,1,7,,,,,,,,0
175,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Chervi",,,,,,,,0,,0,2,,,,1,3,,,,,,,,0
176,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Gollavaripalem",,,,,,,,0,,66.5,4,,,,3,73.5,,,,,,,,0
177,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Madavapalem",,78.5,6,,,,4,88.5,,,,,,,,0,,,,,,,,0
178,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Irugulam",,,,,,,,0,,13.5,1,,,,1,15.5,,,,,,,,0
179,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Mallavaripalem",,19,2,,,,5,26,,,,,,,,0,,,,,,,,0
180,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Chengambakam",,24.5,5,,,,4,33.5,,,,,,,,0,,,,,,,,0
181,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Chilamathuru",,20.5,16,,,,6,42.5,,,,,,,,0,,,,,,,,0
182,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Karepakam",,,,,,,,0,,8,1,,,,1,10,,,,,,,,0
183,"10-C-78-46","Ctr-Arani-Nagalapuram-Nagalapuram","Chedullapakam",,80,1,,,,5,86,,,,,,,,0,,,,,,,,0
184,"10-C-69-1","CTR_C_69_PAPAGHNI_KANDUKURU","Kandukur",3021,3021,4414,0,461,2560,,13477,,6,93,0,0,0,0,99,,,,,,,,0
185,"10-C-69-1","CTR_C_69_PAPAGHNI_KANDUKURU","Pattemvandla palle",2358,2358,5231,24,28,2330,,12329,,27,215,0,0,0,17,259,,,,,,,,0
186,"10-C-69-1","CTR_C_69_PAPAGHNI_KANDUKURU","T.Sadum",2064,2064,4165,68,0,2064,,10425,,14,128,0,0,0,7,149,,,,,,,,0
187,"10-C-69-1","CTR_C_69_PAPAGHNI_KANDUKURU","Anantapuram",138,138,224,0,0,138,,638,,2,15,0,0,0,1,18,,,,,,,,0
188,"10-C-69-1","CTR_C_69_PAPAGHNI_KANDUKURU","Chinna Pongupalli",130,130,260,0,1,129,,650,,2,27,0,0,0,1,30,,,,,,,,0
