,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
71,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kovanur,8,12,1390,1276,0,0,0,0,,,,,0,19,128,1204,0,0,0,0,,,,,,,,,,,,,,,,
72,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Gnanamamba puram @Pavanivarikandriga,18,10,627,638,0,0,0,0,,,,,0,13,100,359,0,0,0,0,,,,,,,,,,,,,,,,
73,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanacheruvu,0,0,0,0,0,0,556,577,,,,,0,0,0,0,0,13,54,410,,,,,,,,,,,,,,,,
74,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Venkatapuram,0,0,0,0,3,0,732,560,,,,,0,0,0,0,0,19,68,521,,,,,,,,,,,,,,,,
75,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Angericheruvu,0,0,0,0,2,0,1106,713,,,,,0,0,0,0,0,22,288,922,,,,,,,,,,,,,,,,
76,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanapalli,0,0,0,0,10,0,779,590,,,,,0,0,0,0,0,48,87,737,,,,,,,,,,,,,,,,
77,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bakkapotukunta,0,0,0,0,1,0,577,429,,,,,0,0,0,0,0,9,28,454,,,,,,,,,,,,,,,,
78,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmanaidugunta,0,0,0,0,0,0,872,501,,,,,0,0,0,0,0,4,30,460,,,,,,,,,,,,,,,,
79,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pudi (a) Chennakesava-puram,0,0,0,0,0,8,503,434,,,,,0,0,0,0,0,13,11,384,,,,,,,,,,,,,,,,
80,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kandluru,0,0,0,0,4,0,793,691,,,,,0,0,0,0,0,40,47,365,,,,,,,,,,,,,,,,
81,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Anjuru,16,0,1609,1016,0,0,0,0,,,,,0,140,123,320,0,0,0,0,,,,,,0,,,,,,,,,,
82,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Guntipedu,0,0,0,0,8,0,1129,795,,,,,0,0,0,0,0,40,8,390,,,,,,,,,,,,,,,,
83,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
84,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bonupalle,32,20,185,64,0,0,0,0,,,,,12,77,59,57,0,0,0,0,,,,,,,,,,,,,,,,
85,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sri Krishnapuram,11,32,60,47,0,0,0,0,,,,,0,21,78,44,0,0,0,0,,,,,,,,,,,,,,,,
86,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchanapalli,0,28,23,27,0,0,0,0,,,,,0,102,0,47,0,0,0,0,,,,,,,,,,,,,,,,
87,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chittatur,9,108,514,202,0,0,0,0,,,,,4,191,376,225,0,0,0,0,,,,,,,,,,,,,,,,
