GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
PKM-C-MN-ULAVAPADU,PKM_C-61-ULAVAPADU-MB,Chakicherla,Chaki Cherla
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Chakirala,Chakirala
PKM_C_GKM_Addanki,PKM_C-57-ADDANKI-MB,Chakrayapalem,Chakraya Palem
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Chalivendra,Chalivendra
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Challagirigala,Challagirigala
PKM_C_Musi_Donakonda,PKM_C-59-DONAKONDA-MB,Chandaluru,Chandaluru
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Chandaluru,Chandalur
PKM-C-GKM-RUDRASAMUDRAM,PKM_C-57-RUDRASAMUDRAM-MB,Chandavaram,Chandavaram-1
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Chandrapadu,Chandrapadu
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Chandrapadu,Chandrapadu
PKM-C-GKM-KAVALAKUNTLA,PKM_C-57-KAVALAKUNTLA-MB,Chapalamadugu,Chapala Madugu
PKM-C-PL-JARUGUMALLI,PKM_C-60-JARUGUMILLI-MB,Chathukapadu,Chatukupadu
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Chatlamitta,Chatla Mitta
PKM_C_SAGILERU_GIDDALURU,PKM_C-70-GIDDALUR-MB,Chattireddypalli,Chatti Reddy Palle
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Cheemakurthy,Chimakurthi-1
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Cheemakurthy,Chimakurthi-1
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Chejerla,Chejerla-1
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Chejerla,Chejerla-1
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Chekurapadu,Chekura Padu
PKM-C-G&M-CHEEMAKUTHY,PKM_C-58-CHIMAKURTHY-MB,Chekurapadu,Chekura Padu
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Chennakesavapuram,Chennakesavapuram
PKM-C-GKM-MARRIVEMULA,PKM_C-57-MARRIVEMULA-MB,Chennapalem,Chennapalem
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Chennapanayudipalli,Chennapanayuni Palle
PKM_C_GKM_Markapuram(NC),PKM_C-57-MARKAPURAM-MB,Chennareddypalli,Chenna Reddi Palle
Pkm_C_PL_Ponnalulu,PKM_C-60-PONNALULU-MB,Chennipadu,Chennipadu
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Chennubotlapalem,Chennubhotla Palem
PKM_C_Romperu_Ballikurava,PKM_C-56-BALLIKURVA-MB,Chennupalli,Chennupalle-1
PKM_C_Romperu_Ballikurava,PKM_C-56-BALLIKURVA-MB,Chennupalli,Chennupalle-1
PKM_C_Romperu_Parchuru,PKM_C-56-PARCHURU-MB,Cherukuru,Cherukuru-1
Pkm_C_PL_Ponnalulu,PKM_C-60-PONNALULU-MB,Cherukuru,Cherukuru
PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,Cheruvukommupalem,Cheruvu Komma Palem
PKM-C-GKM-ONGOLE,PKM_C-58-ONGOLE-MB,Cheruvukommupalem,Cheruvu Kommu Palem
PKM_C_GKM_Korisapadu,PKM_C-57-KORISAPADU-MB,Chervanuppalapadu,Cheervanuppala Padu
PKM-C-MN-ULAVAPADU,PKM_C-61-ULAVAPADU-MB,Chevuru,Chevuru
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Chilakacherla(RF),Chilaka Cherla Gudem
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Chilakapadu,Chilakapadu
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,Chilakapadu,Chilakapadu
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Chilakapadu,Chilakapadu-1
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,Chilamkuru,Chilamkuru
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Chilankuru,Chilamkur
PKM-C-MN-L.Samudram,PKM_C-61-L.SAMUDRAM-MB,Chimalapenta,Cheemalapenta
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,Chimata,Chimata
PKM_C_GKM_Addanki,PKM_C-57-ADDANKI-MB,China Kothapalli,Chinakotha Palle
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,China Uyyalavada,China Uyyalawada
PKM-C-MUSI-CHILAKAPADU,PKM_C-59-CHILAKAPADU-MB,China Uyyalavada,China Uyyalawada
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Chinaalavalapadu,Chinaalavala Padu
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Chinadornala,China Dornala
PKM-C-PL-KANIGIRI,PKM_C-60-KANIGIRI-MB,Chinaeerlapadu,China Irlapadu
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Chinaganjam,Chinaganjam-1
PKM_C_PL_H.M.Padu,PKM_C-60-H.M.PADU-MB,Chinagollapalli,Chinagolla Palle
PKM_C_PL_H.M.Padu,PKM_C-60-H.M.PADU-MB,Chinamanagundam,Chinamanagundam
PKM_C_Musi_Podili,PKM_C-59-PODILI-MB,Chinarikatla,Chinarikatla-1
PKM_C_GKM_B.PETA,PKM_C-57-B.PETA-MB,Chinna Cumbum,China Cumbum
PKM-C-MN-GUDLURU,PKM_C-61-GUDLUR-MB,Chinna latrapi,Chinala Trapi
PKM-C-MN-GUDLURU,PKM_C-61-GUDLUR-MB,Chinna Pavani,Chinapavani
Pkm_C-Gkm_Racherla,PKM_C-57-RACHERLA-MB,Chinnaganipalli,Chinnagani Palle
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,Chinnakandlagunta,Chinakandla Gunta
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Chinnamanthanala(RF),China Manthanala
PKM-C-GKM-KONAPALLI,PKM_C-57-KONAPALLI-MB,Chinnaobenenipall,China Obeneni Palle
PKM-D-KRISHNA-PEDDARUTLA,PKM_D-44-PEDDARUTLA-MB,Chinnarutla,China Arutla
PKM_C_GKM_Mundlamuru,PKM_C-57-MUNDLAMURU-MB,Chinnaullagallu,Chinnavullagallu
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,Chinnavenkannapalem(50%),China Venkana Palem
PKM_C_Musi_Podili,PKM_C-59-PODILI-MB,Chintagumpalli,Chintagum Palle
PKM-C-PL-P.C.PALLI,PKM_C-60-PC PALLY-MB,Chintagumpalli,Chinthagum Palle-1
PKM-C-MUSI-K.K.MITLA,PKM_C-59-KKMITLA-MB,Chintagunta,Chinta Gunta
PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,Chintakunta,Chintakunta-1
PKM_C_MN_C.S.Puram,PKM_C-61-C.S.PURAM-MB,Chintalapalem,Chintala Palem
PKM_C_Sagileru_Komarolu,PKM_C-70-KOMAROLU-MB,Chintalapalli,Chinthala Palle
PKM_C_GKM_Mundlamuru,PKM_C-57-MUNDLAMURU-MB,Chintalapudi,Chintalapudi-1
PKM_C_Romperu_J.Panguluru,PKM_C-56-J.PANGALURU-MB,Chinthagumpalli,Chinthagum Palle
PKM-C-GKM-DORNALA,PKM_C-57-DORNALA-MB,Chinthala(RF),Chinthala
PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,Chinthalapalem,Chinthala Palem
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Chinthalapalem,Chinthalapalem
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Chinthalapudi,Chinthapudi
PKM_C_Romperu_Chirala,PKM_C-56-CHEERALA-MB,CHIRALA ,Chirala (Rural)
PKM-C-PL-BALLIPALLI,PKM_C-60-BALLIPALLI-MB,Chirladinne,Chirla Dinne
PKM-C-PL-JARUGUMALLI,PKM_C-60-JARUGUMILLI-MB,Chirukurapadu,Chirrikura Padu
PKM-C-PL-BALLIPALLI,PKM_C-60-BALLIPALLI-MB,Chodavaram,Chodavaram-2
PKM_C_Musi_Kondepi,PKM_C-59-KONDEPI-MB,Chodavaram,Chodavaram-1
Pkm_C-Gkm_Racherla,PKM_C-57-RACHERLA-MB,Chollaveedu,Chollaveedu
PKM-C-GKM-PULLALACHERUVU,PKM_C-57-PULLACHERUVU-MB,Chotapacherla,Chowtapa Charla
PKM-C-MN-KANDUKUR,PKM_C-61-KANDUKURU-MB,Chowtapalem,Chouta Palem
PKM-C-GKM-PULLALACHERUVU,PKM_C-57-PULLACHERUVU-MB,Chowtapalli,Chowtapalle
PKM-C-MN-KANDUKUR,PKM_C-61-KANDUKURU-MB,Chundi,Chundi
PKM-C-GKM-CUMBUM,PKM_C-57-CUMBUM-MB,Cumbum,Cumbum-1
PKM-C-GKM-PEDDARAVEEDU,PKM_C-57-PEDDARAVEEDU-MB,Cumbumpadu,Cumbampadu
PKM-C-GKM-Y.PALEM,PKM_C-57-YERRAGONDAPALEM-MB,Daddanala(RF),Daddanala
PKM_C_GKM_B.PETA,PKM_C-57-B.PETA-MB,Daddawada,Daddawada
PKM_C_MN_Pamuru,PKM_C-61-PAMURU-MB,Dadireddypalli,Dadireddi Pallle
PKM-c-Romperu-Karamchedu,PKM_C-56-KARAMCHEDU-MB,Daggupadu,Daggubadu
PKM_C_GKM_Darsi,PKM_C-57-DARSI-MB,Darsi,Darsi-1
