"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
91,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Marlapadu",0,0,,,,
92,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Konijedu",0,0,,,,
93,"08_C_58_47","PKM_C_G&M_Kothapatnam","Aluru",0.01,0.01,0,0,0,0
94,"08_C_58_47","PKM_C_G&M_Kothapatnam","Padarthi",1,10,0,0,0,0
95,"08_C_58_47","PKM_C_G&M_Kothapatnam","Kothapatnam ",1,25,0,0,0,0
96,"08_C_58_47","PKM_C_G&M_Kothapatnam","Rajupalem",0,0,0,0,0,0
97,"08_C_58_47","PKM_C_G&M_Kothapatnam","P.kandrika",0,0,0,0,0,0
98,"08_C_58_47","PKM_C_G&M_Kothapatnam","Ethamukkala",0,0,0,0,0,0
99,"08_C_58_47","PKM_C_G&M_Kothapatnam","Madanuru",0,0,0,0,0,0
100,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vemavaram",0,0,0,0,,
101,"08_C_56_17","PKM_C_Romperu_Ballikurava","Konidena",,,2,15,,
102,"08_C_56_17","PKM_C_Romperu_Ballikurava","Ballikurava ",0,0,0,0,,
103,"08_C_56_17","PKM_C_Romperu_Ballikurava","Chennupalli",1,6,0,0,,
104,"08_C_56_17","PKM_C_Romperu_Ballikurava","Muktheswaram",0,0,0,0,,
105,"08_C_56_17","PKM_C_Romperu_Ballikurava","Guntupalli",1,15,0,0,,
106,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vallapalli",0,0,0,0,,
107,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Garlapadu",,,,,,
108,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gadiyapudi",,,,,,
109,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mallavaram",,,,,,
110,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Venkateswarapuram",,,,,,
111,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavaram ",,,,,,
112,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nelaturu",,,,,,
113,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddipadu ",,,,,,
114,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lingamguntla",,,,,,
115,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ilapavuluru",1,8,,,,
116,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rangasaipuram",,,,,,
117,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pallamalli",2,15,,,,
118,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nekunambad",1,6,,,,
119,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chandrapadu",1,7,,,,
120,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","T.Gudipadu",,,,,,
121,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Bandlamudi",,,,,,
122,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P. Naidupalem",,,,,,
123,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Cheemakurthy",1,7,,,,
124,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","K.Agraharam",,,,,,
125,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yerragudipadu",,,,,,
126,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Manchikalapadu",,,,,,
127,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lakshmipuram",,,,,,
128,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rudravaram",,,,,,
129,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Guravareddipalem",,,,,,
130,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Minampadu",1,8,,,,
131,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Endluru",1,6,,,,
132,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pernamitta",1,8,,,,
133,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","S.N.Padu (Gangavaram)",2,50,,,,
134,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Throvagunta",,,,,,
135,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Devarampadu",,,,,,
136,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Gudimendlapadu",,,,,,
137,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Mukthinuthalapadu",,,,,,
138,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Vellampalli",,,,,,
139,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Kolachinakota",,,,,,
140,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Seetharampuram",,,,,,
141,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nandipadu",,,,,,
142,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Inamanamellur",,,,,,
143,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Doddavarappadu",,,,,,
144,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Peddakothapalli",,,,,,
145,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Yedugundlapadu",,,,,,
146,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","P.Gudipadu",,,1,8,,
147,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Karavadi ",,,,,,
148,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ulichi",,,,,,
149,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chejerla",,,,,,
150,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddiralapadu",,,,,,
151,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chekurapadu",,,,,,
152,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Devarapalem",,,30,,,
153,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Nippatlapadu",,,22,,,
154,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Budavada",,,92,,,
155,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","R.L.Puram",,,71,,,
156,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mylavaram",,,51,,,
157,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pulikonda",,,120,,,
158,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ravipadu",,,130,,,
159,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Busarlapalli",,,120,,,
160,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","G.Lakshmipuram",,,95,,,
161,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ramachandrapuram",,,27,,,
162,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Pidathalapudi",,,18,,,
163,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Gonuguntla",,,35,,,
164,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Tripurasundaripuram",,,,,,
165,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","China Uyyalavada",,,,,,
166,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Gummalampadu",,6,20,,,
