,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
94,08_C_58_47,PKM_C_G&M_Kothapatnam,Padarthi,70,3,0,0,0,0,73
95,08_C_58_47,PKM_C_G&M_Kothapatnam,Kothapatnam ,69,7,0,0,0,0,76
96,08_C_58_47,PKM_C_G&M_Kothapatnam,Rajupalem,20,2,0,0,0,0,22
97,08_C_58_47,PKM_C_G&M_Kothapatnam,P.kandrika,2,0,0,0,0,0,2
98,08_C_58_47,PKM_C_G&M_Kothapatnam,Ethamukkala,29,1,0,0,0,0,30
99,08_C_58_47,PKM_C_G&M_Kothapatnam,Madanuru,30,7,0,0,0,0,37
100,08_C_56_17,PKM_C_Romperu_Ballikurava,Vemavaram,32,2,,,,,34
101,08_C_56_17,PKM_C_Romperu_Ballikurava,Konidena,,,100,2,,,102
102,08_C_56_17,PKM_C_Romperu_Ballikurava,Ballikurava ,32,3,,,,,35
103,08_C_56_17,PKM_C_Romperu_Ballikurava,Chennupalli,25,2,,,,,27
104,08_C_56_17,PKM_C_Romperu_Ballikurava,Muktheswaram,45,2,,,,,47
105,08_C_56_17,PKM_C_Romperu_Ballikurava,Guntupalli,55,2,,,,,57
106,08_C_56_17,PKM_C_Romperu_Ballikurava,Vallapalli,40,3,,,,,43
107,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Garlapadu,3,,,,,1,4
108,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gadiyapudi,7,1,,,,,8
109,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mallavaram,15,1,,,,,16
110,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Venkateswarapuram,,,,,,1,1
111,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Doddavaram ,28,1,,,,,29
112,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nelaturu,5,1,,,,,6
113,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Maddipadu ,5,1,,,,,6
114,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lingamguntla,20,1,,,,,21
115,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Ilapavuluru,25,0,,,,,25
116,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rangasaipuram,18,1,,,,,19
117,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pallamalli,40,1,,,,,41
118,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nekunambad,15,0,,,,,15
119,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chandrapadu,35,2,,,,,37
120,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,T.Gudipadu,20,2,,,,,22
121,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Bandlamudi,18,1,,,,,19
122,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,P. Naidupalem,25,1,,,,,26
123,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Cheemakurthy,169,1,,,,,170
124,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,K.Agraharam,10,1,,,,,11
125,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Yerragudipadu,12,1,,,,,13
126,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Manchikalapadu,26,1,,,,,27
127,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lakshmipuram,9,0,,,,,9
128,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rudravaram,0,0,,,,,0
129,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Guravareddipalem,0,0,,,,,0
130,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Minampadu,0,0,,,,,0
131,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Endluru,0,0,,,,,0
132,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pernamitta,89,1,,,,,90
133,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,S.N.Padu (Gangavaram),45,0,,,,,45
134,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Throvagunta,20,3,,,,,23
135,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Devarampadu,18,1,,,,,19
136,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gudimendlapadu,5,0,,,,,5
137,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mukthinuthalapadu,1,1,,,,,2
138,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Vellampalli,,,8,1,,,9
139,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Kolachinakota,,,16,1,,,17
140,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Seetharampuram,,,2,1,,,3
141,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nandipadu,,,4,1,,,5
142,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Inamanamellur,,,5,3,,,8
143,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Doddavarappadu,,,5,1,,,6
144,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Peddakothapalli,0,0,10,,,,10
145,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Yedugundlapadu,0,0,,,,,0
146,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,P.Gudipadu,0,,,15,,,15
147,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Karavadi ,0,0,,15,,,15
148,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Ulichi,0,0,,10,,,10
149,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chejerla,0,0,,12,,,12
150,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Maddiralapadu,,,,15,,,15
151,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chekurapadu,0,,,10,,,10
152,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Devarapalem,0,,,,,,0
153,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Nippatlapadu,0,,,,,,0
154,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Budavada,,,,,,,0
155,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,R.L.Puram,,,,,,,0
156,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mylavaram,,,,,,,0
157,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Pulikonda,,,,,,,0
158,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ravipadu,,,,,,,0
159,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Busarlapalli,,,,,,,0
160,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,G.Lakshmipuram,,,,,,,0
161,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ramachandrapuram,,,,,,,0
162,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Pidathalapudi,,,,,,,0
163,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Gonuguntla,,,,,,,0
164,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Tripurasundaripuram,0,,,,,,0
165,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,China Uyyalavada,0,,,,,,0
166,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Gummalampadu,,,,,,,0
167,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Enikapadu,,,,,,,0
168,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,B.Machavaram(Madduluru),,,,,,,0
169,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mattipadu(Vemulapadu),,,,,,,0
170,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Chilakapadu,,,,,,,0
171,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,P.Takkellapadu,,,,,,,0
172,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Konaganivaripalem,,,,,,,0
173,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,S.N.Puram,0,,,,,,0
174,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Boddikurapadu,0,,,,,,0
175,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Surayapalem,0,,,,,,0
176,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Karumanchi,,,,,,,0
