"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
73,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","China Uyyalavada",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Gummalampadu",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Enikapadu",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","B.Machavaram(Madduluru)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mattipadu(Vemulapadu)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Chilakapadu",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","P.Takkellapadu",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Konaganivaripalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","S.N.Puram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Boddikurapadu",1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Surayapalem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Karumanchi",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Nidamaluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Ponduru",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Turpu Naidupalem",5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","G.kattubadi",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Mallavarappadu",1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Kanduluru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Marlapadu",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"08-C-59-14(43)","PKM-C-MUSI-CHILAKAPADU","Konijedu",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"08_C_58_47","PKM_C_G&M_Kothapatnam","Aluru",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"08_C_58_47","PKM_C_G&M_Kothapatnam","Padarthi",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,"08_C_58_47","PKM_C_G&M_Kothapatnam","Kothapatnam ",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"08_C_58_47","PKM_C_G&M_Kothapatnam","Rajupalem",1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"08_C_58_47","PKM_C_G&M_Kothapatnam","P.kandrika",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"08_C_58_47","PKM_C_G&M_Kothapatnam","Ethamukkala",2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,"08_C_58_47","PKM_C_G&M_Kothapatnam","Madanuru",1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"08_C_56_17","PKM_C_Romperu_Ballikurava","Vemavaram",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"08_C_56_17","PKM_C_Romperu_Ballikurava","Konidena",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
