,,,,CA,NCA,PQA,,,,,
,,,,Industrial,Industrial,Industrial,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,,,,
91,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Marlapadu,,,,0,,,,
92,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Konijedu,,,,0,,,,
93,08_C_58_47,PKM_C_G&M_Kothapatnam,Aluru,0,0,0,0,,,,
94,08_C_58_47,PKM_C_G&M_Kothapatnam,Padarthi,0,0,0,0,,,,
95,08_C_58_47,PKM_C_G&M_Kothapatnam,Kothapatnam ,0,0,0,0,,,,
96,08_C_58_47,PKM_C_G&M_Kothapatnam,Rajupalem,0,0,0,0,,,,
97,08_C_58_47,PKM_C_G&M_Kothapatnam,P.kandrika,0,0,0,0,,,,
98,08_C_58_47,PKM_C_G&M_Kothapatnam,Ethamukkala,0,0,0,0,,,,
99,08_C_58_47,PKM_C_G&M_Kothapatnam,Madanuru,0,0,0,0,,,,
100,08_C_56_17,PKM_C_Romperu_Ballikurava,Vemavaram,,,,0,,,,
101,08_C_56_17,PKM_C_Romperu_Ballikurava,Konidena,,,,0,,,,
102,08_C_56_17,PKM_C_Romperu_Ballikurava,Ballikurava ,,,,0,,,,
103,08_C_56_17,PKM_C_Romperu_Ballikurava,Chennupalli,,,,0,,,,
104,08_C_56_17,PKM_C_Romperu_Ballikurava,Muktheswaram,,,,0,,,,
105,08_C_56_17,PKM_C_Romperu_Ballikurava,Guntupalli,,,,0,,,,
106,08_C_56_17,PKM_C_Romperu_Ballikurava,Vallapalli,,,,0,,,,
107,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Garlapadu,,,,0,,,,
108,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gadiyapudi,,,,0,,,,
109,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mallavaram,,,,0,,,,
110,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Venkateswarapuram,,,,0,,,,
111,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Doddavaram ,,,,0,,,,
112,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nelaturu,,,,0,,,,
113,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Maddipadu ,,,,0,,,,
114,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lingamguntla,,,,0,,,,
115,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Ilapavuluru,,,,0,,,,
116,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rangasaipuram,,,,0,,,,
117,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pallamalli,,,,0,,,,
118,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nekunambad,,,,0,,,,
119,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chandrapadu,,,,0,,,,
120,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,T.Gudipadu,,,,0,,,,
121,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Bandlamudi,,,,0,,,,
122,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,P. Naidupalem,,,,0,,,,
123,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Cheemakurthy,,,,0,,,,
124,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,K.Agraharam,,,,0,,,,
125,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Yerragudipadu,,,,0,,,,
126,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Manchikalapadu,,,,0,,,,
127,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Lakshmipuram,,,,0,,,,
128,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Rudravaram,,,,0,,,,
129,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Guravareddipalem,,,,0,,,,
130,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Minampadu,,,,0,,,,
131,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Endluru,,,,0,,,,
132,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Pernamitta,,,,0,,,,
133,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,S.N.Padu (Gangavaram),,,,0,,,,
134,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Throvagunta,,,,0,,,,
135,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Devarampadu,,,,0,,,,
136,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Gudimendlapadu,,,,0,,,,
137,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Mukthinuthalapadu,,,,0,,,,
138,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Vellampalli,,,,0,,,,
139,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Kolachinakota,,,,0,,,,
140,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Seetharampuram,,,,0,,,,
141,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Nandipadu,,,,0,,,,
142,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Inamanamellur,,,,0,,,,
143,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Doddavarappadu,,,,0,,,,
144,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Peddakothapalli,,,,0,,,,
145,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Yedugundlapadu,,,,0,,,,
146,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,P.Gudipadu,,,,0,,,,
147,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Karavadi ,,,,0,,,,
148,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Ulichi,,,,0,,,,
149,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chejerla,,,,0,,,,
150,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Maddiralapadu,,,,0,,,,
151,08-c-58-29,PKM-C-G&M-CHEEMAKUTHY,Chekurapadu,,0,,0,,,,
152,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Devarapalem,,,,0,,,,
153,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Nippatlapadu,,,,0,,,,
154,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Budavada,,,,0,,,,
155,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,R.L.Puram,,,,0,,,,
156,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mylavaram,,,,0,,,,
157,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Pulikonda,,,,0,,,,
158,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ravipadu,,,,0,,,,
159,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Busarlapalli,,,,0,,,,
160,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,G.Lakshmipuram,,,,0,,,,
161,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ramachandrapuram,,,,0,,,,
162,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Pidathalapudi,,,,0,,,,
163,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Gonuguntla,,,,0,,,,
164,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Tripurasundaripuram,,,,0,,,,
165,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,China Uyyalavada,,,,0,,,,
166,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Gummalampadu,,,,0,,,,
167,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Enikapadu,,,,0,,,,
168,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,B.Machavaram(Madduluru),,,,0,,,,
169,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mattipadu(Vemulapadu),,,,0,,,,
170,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Chilakapadu,,,,0,,,,
171,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,P.Takkellapadu,,,,0,,,,
172,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Konaganivaripalem,,,,0,,,,
173,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,S.N.Puram,,,,0,,,,
174,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Boddikurapadu,,,,0,,,,
175,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Surayapalem,,,,0,,,,
176,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Karumanchi,,,,0,,,,
177,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Nidamaluru,,,,0,,,,
178,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Ponduru,,,,0,,,,
179,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Turpu Naidupalem,,,,0,,,,
180,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,G.kattubadi,,,,0,,,,
181,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Mallavarappadu,,,,0,,,,
182,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Kanduluru,,,,0,,,,
183,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Marlapadu,50,,,50,,,,
184,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,Konijedu,80,,,80,,,,
185,08-C-56-22,PKM-c-Romperu-Karamchedu,Kunkalamarru,0,0,0,0,,,,
186,08-C-56-22,PKM-c-Romperu-Karamchedu,Karamchedu,0,0,0,0,,,,
187,08-C-56-22,PKM-c-Romperu-Karamchedu,Audipudi,0,0,0,0,,,,
188,08-C-56-22,PKM-c-Romperu-Karamchedu,Daggupadu,0,0,0,0,,,,
189,08-C-56-22,PKM-c-Romperu-Karamchedu,Kesavarappadu,0,0,0,0,,,,
190,08-C-56-22,PKM-c-Romperu-Karamchedu,Swarna,0,0,0,0,,,,
191,08-C-56-22,PKM-c-Romperu-Karamchedu,Kodavalivaripalem,0,0,0,0,,,,
