Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,
161,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,23,Ramachandrapuram,1271,,1271,69905,,,
162,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,24,Pidathalapudi,851,,851,46805,,,
163,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,16,Gonuguntla,6841,,6841,376255,,,
164,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,35,Tripurasundaripuram,,972,972,53460,,,
165,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,38,China Uyyalavada,,454,454,24970,,,
166,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,10,Gummalampadu,2061,,2061,113355,,,
167,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,11,Enikapadu,2119,,2119,116545,,,
168,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,12,B.Machavaram(Madduluru),3861,,3861,212355,,,
169,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,13,Mattipadu(Vemulapadu),,2642,2642,145310,,,
170,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,14,Chilakapadu,2202,,2202,121110,,,
171,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,15,P.Takkellapadu,1247,,1247,68585,,,
172,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,8,Konaganivaripalem,566,,566,31130,,,
173,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,11,S.N.Puram,0,,0,0,,,
174,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,12,Boddikurapadu,7028,,7028,386540,,,
175,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,13,Surayapalem,0,,0,0,,,
176,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,5,Karumanchi,,4031,4031,221705,,,
177,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,16,Nidamaluru,,3847,3847,211585,,,
178,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,17,Ponduru,3746,,3746,206030,,,
179,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,6,Turpu Naidupalem,1913,,1913,105215,,,
180,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,7,G.kattubadi,,0,0,0,,,
181,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,8,Mallavarappadu,1823,,1823,100265,,,
182,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,13,Kanduluru,3227,,3227,177485,,,
183,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,14,Marlapadu,2808,,2808,154440,,,
184,08-C-59-14(43),PKM-C-MUSI-CHILAKAPADU,15,Konijedu,4005,,4005,220275,,,
185,08-C-56-22,PKM-c-Romperu-Karamchedu,1,Kunkalamarru,4719,0,4719,259545,,,
186,08-C-56-22,PKM-c-Romperu-Karamchedu,2,Karamchedu,11667,0,11667,641685,,,
187,08-C-56-22,PKM-c-Romperu-Karamchedu,3,Audipudi,4597,0,4597,252835,,,
188,08-C-56-22,PKM-c-Romperu-Karamchedu,4,Daggupadu,5387,0,5387,296285,,,
189,08-C-56-22,PKM-c-Romperu-Karamchedu,5,Kesavarappadu,814,0,814,44770,,,
190,08-C-56-22,PKM-c-Romperu-Karamchedu,6,Swarna,8260,0,8260,454300,,,
191,08-C-56-22,PKM-c-Romperu-Karamchedu,7,Kodavalivaripalem,3472,0,3472,190960,,,
192,08_C_57_3,PKM_C_GKM_Tripuranthakam,1,Duvvali,,959,959,52745,,,
193,08_C_57_3,PKM_C_GKM_Tripuranthakam,2,Madhavanipalle,,0,0,0,,,
194,08_C_57_3,PKM_C_GKM_Tripuranthakam,3,Ramasamudram,,2725,2725,149875,,,
195,08_C_57_3,PKM_C_GKM_Tripuranthakam,4,Mittapalem,,1747,1747,96085,,,
196,08_C_57_3,PKM_C_GKM_Tripuranthakam,8,Kankanalapalli,7279,,7279,400345,,,
197,08_C_57_3,PKM_C_GKM_Tripuranthakam,9,Tripurantakam ,10392,,10392,571560,,,
198,08_C_57_3,PKM_C_GKM_Tripuranthakam,10,Rajupalem,3225,,3225,177375,,,
199,08_C_57_3,PKM_C_GKM_Tripuranthakam,11,Lellapalli,,1623,1623,89265,,,
200,08_C_57_3,PKM_C_GKM_Tripuranthakam,12,Viswanathapuram,2972,,2972,163460,,,
201,08_C_57_3,PKM_C_GKM_Tripuranthakam,17,S.Narasingapuram,2134,,2134,117370,,,
202,08_C_57_3,PKM_C_GKM_Tripuranthakam,18,Miriyampalli,1271,,1271,69905,,,
203,08_C_57_3,PKM_C_GKM_Tripuranthakam,,RF,,,0,0,,,
204,08_C_57_4,PKM_C_GKM_Tripuranthakam,16,Gollapalli,2619,,2619,144045,,,
205,08_C_57_5,PKM_C_GKM_Tripuranthakam,15,Dupadu,8271,,8271,454905,,,
206,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,2,Garapenta(RF),0,789,789,43395,,,
207,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,3,Uppaladinne(RF),0,0,0,0,,,
208,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,7,Chowtapalli,0,0,0,0,,,
209,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,8,Pullalacheruvu,0,8861,8861,487355,,,
210,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,16,Manepalli,2139,0,2139,117645,,,
211,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,17,Ayyagaripalli,727,0,727,39985,,,
212,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,18,Chotapacherla,774,0,774,42570,,,
213,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,19,I.T.Varam,5820,0,5820,320100,,,
214,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,5,Ganapavaram,7022,0,7022,386210,,,
215,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,6,Medapi,6589,0,6589,362395,,,
216,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,7,Annasamudram,3799,0,3799,208945,,,
217,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,,R.F,,,0,0,,,
218,08-C-57-03,PKM-C-GKM-PULLALACHERUVU,,R.F,,,0,0,,,
219,08_C_58_24,PKM_C_Romperu_Vetapalem ,1,Vetapalem ,38671,,38671,2126905,,,
220,08_C_58_24,PKM_C_Romperu_Vetapalem ,2,Pandillapalli,7243,,7243,398365,,,
221,08_C_58_24,PKM_C_Romperu_Vetapalem ,3,Pullaripalem,2791,,2791,153505,,,
222,08_C_58_24,PKM_C_Romperu_Vetapalem ,4,Nayunipalli,6019,,6019,331045,,,
223,08_C_58_24,PKM_C_Romperu_Vetapalem ,5,Kothapeta,16931,,16931,931205,,,
224,08_C_57_04,PKM_C_GKM_Kurichedu,7,P.Veerayapalem,3285,0,3285,180675,,,
225,08_C_57_04,PKM_C_GKM_Kurichedu,8,Bayyavaram,775,0,775,42625,,,
226,08_C_57_04,PKM_C_GKM_Kurichedu,11,Kurichedu,7174,0,7174,394570,,,
227,08_C_57_04,PKM_C_GKM_Kurichedu,9,Namassivayapuram,0,1821,1821,100155,,,
228,08_C_57_04,PKM_C_GKM_Kurichedu,10,Mallayapalem,0,0,0,0,,,
229,08_C_57_04,PKM_C_GKM_Kurichedu,12,Peerambotlapalem,0,469,469,25795,,,
230,08_C_57_04,PKM_C_GKM_Kurichedu,18,Peddavaram,0,1119,1119,61545,,,
231,08_C_57_04,PKM_C_GKM_Kurichedu,19,Dekanakonda,0,2218,2218,121990,,,
232,08_C_56_25,PKM_C_ROMPERU_INKOLLU,1,Santaravuru ,3920,,3920,215600,,,
233,08_C_56_25,PKM_C_ROMPERU_INKOLLU,1,Nagandla,4126,,4126,226930,,,
234,08_C_56_25,PKM_C_ROMPERU_INKOLLU,2,Idupulapadu,5638,,5638,310090,,,
235,08_C_56_25,PKM_C_ROMPERU_INKOLLU,3,Pusapadu,5815,,5815,319825,,,
