,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,3.401360544,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
55,PKM-C-MUSI-CHILAKAPADU,Deep TW,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
56,PKM-C-MUSI-CHILAKAPADU,Filter Points,8571.428571,,40,90,0,,120,240,0,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
57,PKM-c-Romperu-Karamchedu,DW,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,,,,,1428.571429,,120,240
58,PKM-c-Romperu-Karamchedu,DW+PS/DCB,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,,,,,2857.142857,,120,240
59,PKM-c-Romperu-Karamchedu,BWs,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
60,PKM-c-Romperu-Karamchedu,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
61,PKM-c-Romperu-Karamchedu,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
62,PKM-c-Romperu-Karamchedu,Deep TW,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
63,PKM-c-Romperu-Karamchedu,Filter Points,7142.857143,,40,90,5142.857143,,120,240,7142.857143,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
64,PKM_C_GKM_Tripuranthakam,DW,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,,,,,1428.571429,,120,240
