S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m )
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,0,0,,,,,,,,,8,0
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,0,0,,,,,,,,,2,0
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,0,0,,,,,,,,,2,1
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,0,0,,,,,,,,,6,2
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,0,0,,,,,,,,,2,0
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,0,0,,,,,,,,,5,21
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,0,0,,,,,,,,,6,10
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,0,0,,,,,,,,,0,0
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,0,0,,,,,,,,,8,0
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,0,0,,,,,,,,,8,0
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,0,0,,,,,,,,,10,3
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,0,0,,,,,,,,,6,0
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,0,0,,,,,,,,,10,4
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,0,0,,,,,,,,,0,0
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,0,0,,,,,,,,,2,0
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,0,0,,,,,,,,,2,3
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,0,0,,,,,,,,,4,0
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,0,0,,,,,,,,,26,0
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,0,0,,,,,,,,,6,0
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,0,0,,,,,,,,,1,0
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,0,0,,,,,,,,,0,0
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,0,0,,,,,,,,,24,8
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,0,0,,,,,,,,,15,0
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,0,0,,,,,,,,,11,0
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,0,0,,,,,,,,,5,7
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,0,0,,,,,,,,,5,0
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,0,0,,,,,,,,,6,0
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,0,0,,,,,,,,,11,0
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,0,0,,,,,,,,,5,0
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,0,0,,,,,,,,,0,0
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,0,0,,,,,,,,,2,0
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,0,0,,,,,,,,,22,2
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALUGOLU,0,0,,,,,,,,,9,0
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MADHUPADA,0,0,,,,,,,,,6,0
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SATHIVADA,0,0,,,,,,,,,5,2
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BOPPADAM,0,0,,,,,,,,,8,0
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDATHARIMI,0,0,,,,,,,,,6,0
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MALYADA,0,0,,,,,,,,,11,0
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VOMMI,0,0,,,,,,,,,16,0
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NANDIGAMA ALTHIPALAM,0,0,,,,,,,,,5,0
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THAMMAPURAM,0,0,,,,,,,,,8,0
