Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,418.85001,0,,,,418.85001,0,0,418.85001,0,,,
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,42.087344,0,,,,42.087344,0,0,42.087344,0,,,
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,571.821318,0,,,,571.821318,0,0,571.821318,0,,,
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,256,0,,,,256,0,0,256,0,,,
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,1648,0,,,,1648,0,0,1648,0,,,
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,278.019282,0,,,,278.019282,0,0,278.019282,0,,,
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,543.493298,0,,,,543.493298,0,0,543.493298,0,,,
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,172.800922,0,,,,172.800922,0,0,172.800922,0,,,
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,229.861648,0,,,,229.861648,0,0,229.861648,0,,,
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,89.840292,0,,,,89.840292,0,0,89.840292,0,,,
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,382.023584,0,,,,382.023584,0,0,382.023584,0,,,
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,541.469868,0,,,,541.469868,0,0,541.469868,0,,,
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,715.889534,0,,,,715.889534,0,0,715.889534,0,,,
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,515.569964,0,,,,515.569964,0,0,515.569964,0,,,
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,537.018322,0,,,,537.018322,0,0,537.018322,0,,,
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,572.226004,0,,,,572.226004,0,0,572.226004,0,,,
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,782.258038,0,,,,782.258038,0,0,782.258038,0,,,
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,324.153486,0,,,,324.153486,0,0,324.153486,0,,,
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,424.110928,0,,,,424.110928,0,0,424.110928,0,,,
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,220,0,,,,220,0,0,220,0,,,
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,234,0,,,,234,0,0,234,0,,,
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,512,0,,,,512,0,0,512,0,,,
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,197,0,,,,197,0,0,197,0,,,
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,333,0,0,0,,333,,,333,0,,,
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,369,0,0,0,,369,,,369,0,,,
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALUGOLU,763,0,,,,763,,,763,0,,,
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MADHUPADA,1673,0,,,,1673,,,1673,0,,,
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SATHIVADA,161,0,,,,161,,,161,0,,,
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BOPPADAM,758,0,,,,758,,,758,0,,,
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDATHARIMI,405,0,,,,405,,,405,0,,,
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MALYADA,240,0,,,,240,,,240,0,,,
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VOMMI,473,0,,,,473,,,473,0,,,
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NANDIGAMA ALTHIPALAM,459,0,,,,459,,,459,0,,,
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THAMMAPURAM,177,0,,,,177,,,177,0,,,
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMELLA,251,0,,70,,251,,,251,0,,,
119,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAMAVARAM,230,230,0,0,230,0,,,,0,,,
120,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALLADAPALEM,143,143,0,0,143,0,,,,0,,,
121,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANDIVALASA,308,308,0,0,308,0,,,,0,,,
122,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMETTA,389,389,0,0,389,0,,,,0,,,
123,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GAITULA CHODAVARAM,242,242,0,0,242,0,,,,0,,,
124,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PORAM,480,480,0,0,480,0,,,,0,,,
125,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHODAMMA AGRAHARAM,125,125,0,0,125,0,,,,0,,,
126,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOVVADA AGRAHARAM,180,180,0,0,180,0,,,,0,,,
127,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUMPAM,369,369,0,0,369,0,,,,0,,,
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOVINDAPURAM,327,327,0,0,327,0,,,,0,,,
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,LANKALAPALLIPALEM,417,417,0,0,417,0,,,,0,,,
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHOWDUVADA,199,199,0,0,199,0,,,,0,,,
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONAYYAPALEM,414,414,0,0,414,0,,,,0,,,
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINTAPALLE,195,195,0,0,195,0,,,,0,,,
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KRISHNAPURAM,414,414,0,0,414,0,,,,0,,,
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHARANIKAM,114,114,0,0,114,0,,,,0,,,
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ROLUCHAPPIDI,269,269,0,0,269,0,,,,0,,,
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIVADA,81,81,0,0,81,0,,,,0,,,
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THOTTADAM,542,542,0,0,542,0,,,,0,,,
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VEMPADAM,202,202,0,0,202,0,,,,0,,,
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PALANKI,623,623,0,0,623,0,,,,0,,,
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOLLAYAVALASA,195,195,0,0,195,0,,,,0,,,
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NARAYANAPURAM,395,395,0,0,395,0,,,,0,,,
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PADAMAYAVALASA,987,987,0,0,987,0,,,,0,,,
143,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ARASADA,291,291,0,0,291,0,,,,0,,,
144,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENGAPURAM,921,921,0,0,921,0,,,,0,,,
145,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VELAGAVALASA(N)ADDUNAND,479,479,0,0,479,0,,,,0,,,
146,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,GOPALARAYUDUPETA,896,665.6,230.4,384,896,0,,,,0,,,
147,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAJUPETA,1035,858.6,176.4,294,1035,0,,,,0,,,
148,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SEETHAYYAPETA,129,127.8,1.2,2,129,0,,,,0,,,
149,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATARAYUDUPETA,236,236,0,,236,0,,,,0,,,
150,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATABHYRIPURAM,166,166,0,,166,0,,,,0,,,
151,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KOYYANAPETA,304,284,20,0,304,0,,,,0,,,
152,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHANDRAYYAPETA,392,345,47,0,392,0,,,,0,,,
153,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KONDAREJERU,119,106,13,0,119,0,,,,0,,,
154,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KASIPATNAM,1610,926,684,92,1610,0,,,,0,,,
155,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAPAYYAVALASA,698,285,413,62,698,0,,,,0,,,
156,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MULAKKAYAVALASA,58,50,8,0,58,0,,,,0,,,
157,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MUKAVALASA,435,368,67,0,435,0,,,,0,,,
158,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAYAKAPADU,200,179,21,0,200,0,,,,0,,,
159,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHAPPABUTCHAMPETA,284,284,0,0,284,0,,,,0,,,
160,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKAMPETA,317,260,57,0,317,0,,,,0,,,
161,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KANNAMPETA,486,422,64,58,486,0,,,,0,,,
162,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,THAMARAKHANDI,320,256,64,0,320,0,,,,0,,,
163,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAGGANDHORAVALASA,659.233494,528.233494,131,131.118264,659.233494,0,,,,0,,,
164,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BALLAKRISHNAPURAM,264.259958,264.259958,0,0,264.259958,0,,,,0,,,
165,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAKKUPETA,181.299328,181.299328,0,0,181.299328,0,,,,0,,,
166,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINABHOGILA,245.239716,203.239716,42,67.177876,245.239716,0,,,,0,,,
167,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KHASAPETA,565.346342,565.346342,0,0,565.346342,0,,,,0,,,
168,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,R.VENKAMPETA,235.527252,235.527252,0,0,235.527252,0,,,,0,,,
169,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUPETA,299.46764,299.46764,0,0,299.46764,0,,,,0,,,
170,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RANGAMPETA,284.494258,284.494258,0,0,284.494258,0,,,,0,,,
171,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PUNUBUTCHAMPETA,441.512426,371.512426,70,93.482466,441.512426,0,,,,0,,,
172,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,K. SEETHARAMPURAM,205.580488,205.580488,0,0,205.580488,0,,,,0,,,
173,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENNELABUTCHAMPETA,305.53793,305.53793,0,0,305.53793,0,,,,0,,,
174,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATAPURAM,129.49952,129.49952,0,0,129.49952,0,,,,0,,,
175,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ANTIPETA,212.864836,212.864836,0,0,212.864836,0,,,,0,,,
176,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUVALASA (NEAR ARAS,303.5145,303.5145,0,0,303.5145,0,,,,0,,,
177,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BADEVALASA @ LT.VALASA,430.99059,430.99059,0,0,430.99059,0,,,,0,,,
178,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHELLIMPETA,319,0,,,,319,0,0,319,0,,,
179,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NIMMALAPADU,204,0,,,,204,0,0,204,0,,,
180,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHITRAKOTA BODDAVALASA,117,0,,,,117,0,0,117,0,,,
181,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINANKALAM,173,0,,,,173,0,0,173,0,,,
