,,,,Command Area,,,,,,,Non-Command Area,,,,,,,Poor GW quality area,,,,,,
,,,,Irrigated,,,,,,,Irrigated,,,,,,,Irrigated,,,,,,
S.No,Watershed code,Watershed Name, Village Name,DW,DW PS,BW,STW,MTW,DTW,FP,DW,DW PS,BW,STW,MTW,DTW,FP,DW,DW PS,BW,STW,MTW,DTW,FP
151,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATABHYRIPURAM,1,9,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
152,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KOYYANAPETA,0,7,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
153,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHANDRAYYAPETA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
154,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KONDAREJERU,3,15,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,
155,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KASIPATNAM,1,10,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
156,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAPAYYAVALASA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
157,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MULAKKAYAVALASA,1,12,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
158,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MUKAVALASA,0,7,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
159,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAYAKAPADU,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
160,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHAPPABUTCHAMPETA,4,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
161,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKAMPETA,4,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
162,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KANNAMPETA,2,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
163,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,THAMARAKHANDI,4,4,0,49,0,0,24,0,0,0,0,0,0,0,,,,,,,
164,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAGGANDHORAVALASA,0,0,2,11,0,0,3,0,0,0,0,0,0,0,,,,,,,
165,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BALLAKRISHNAPURAM,21,17,0,4,0,0,5,0,0,0,0,0,0,0,,,,,,,
166,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAKKUPETA,10,1,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,
167,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINABHOGILA,0,0,0,49,0,0,3,0,0,0,0,0,0,0,,,,,,,
168,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KHASAPETA,5,5,0,0,0,0,6,0,0,0,0,0,0,0,,,,,,,
169,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,R.VENKAMPETA,10,10,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
170,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUPETA,0,0,0,21,0,0,8,0,0,0,0,0,0,0,,,,,,,
171,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RANGAMPETA,6,6,0,9,0,0,0,0,0,0,0,0,0,0,,,,,,,
172,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PUNUBUTCHAMPETA,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
173,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,K. SEETHARAMPURAM,7,7,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
174,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENNELABUTCHAMPETA,19,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
175,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATAPURAM,16,12,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,
