sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
180,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BADEVALASA @ LT.VALASA,0,0,5,8,,
181,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHELLIMPETA,0,0,5,9,,
182,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NIMMALAPADU,0,0,1,2,,
183,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHITRAKOTA BODDAVALASA,0,0,8,16,,
184,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINANKALAM,0,0,0,0,,
185,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BURJA,0,0,0,0,,
186,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,DAYANIDHIPURAM,0,0,0,0,,
187,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,JANTHIRAYAPURAM,0,0,0,0,,
188,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SINGAMDORAVALASA,0,0,0,0,,
189,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SANTESWARAM,0,0,0,0,,
190,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,TURUMAMIDI,0,0,0,0,,
191,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,N.R.C. RAJUPURAM,0,0,0,0,,
192,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MAKKUVA,0,0,0,0,,
193,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,BANTUMAKKUVA,0,0,0,0,,
194,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,CHEMUDU,15,82,0,0,,
195,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GANJAIBHADRA,0,0,0,0,,
196,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,JILLEDUVALASA,0,0,0,0,,
197,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DULIBHADRA,0,0,0,0,,
198,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DIGUVASEMBI,0,0,0,0,,
199,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SARIKI,0,0,0,0,,
200,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MOKHASADANDIGAM,0,0,0,0,,
