S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,0,0,7,9,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,0,0,13,20,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,0,0,10,19,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,0,0,9,69,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,0,0,9,20,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,0,0,12,12,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,0,0,5,14,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,0,0,7,19,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,0,0,4,12,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,0,0,6,11,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,0,0,9,15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,0,0,11,23,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,0,0,9,22,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,0,0,20,40,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALUGOLU,0,0,21,44,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MADHUPADA,0,0,2,9,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SATHIVADA,0,0,10,23,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BOPPADAM,0,0,9,21,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDATHARIMI,0,0,4,15,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MALYADA,0,0,5,24,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VOMMI,0,0,3,12,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NANDIGAMA ALTHIPALAM,0,0,3,9,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THAMMAPURAM,0,0,5,17,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
119,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMELLA,4,8,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
120,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAMAVARAM,2,11,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
121,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALLADAPALEM,1,4,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
122,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANDIVALASA,15,26,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
123,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMETTA,12,15,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
124,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GAITULA CHODAVARAM,4,4,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
125,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PORAM,4,10,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
126,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHODAMMA AGRAHARAM,5,7,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
127,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOVVADA AGRAHARAM,10,37,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
