,,,,"Command Area",,"Non command Area",,"Poor quality area",,
,,,,"Residential",,"Residential",,"Residential",,
"Sr.no","Watershed code","GW watershed name","village name","DWDW/HP","DW PWS","DWDW/HP","DW PWS","DWDW/HP","DW PWS","Total"
153,"07-C-54-56","GNT-C-54-Repalle","Pothumeraka(With Marshes area)",10,0.001,0,0,0,0,10.001
154,"07-C-54-56","GNT-C-54-Repalle","Gangadipalem(With Marshes area)",15,0.001,0,0,0,0,15.001
155,"07-C-54-55","GNT-C-54-Tenali","Kolakaluru",130,0.001,0,0,0,0,130.001
156,"07-C-54-55","GNT-C-54-Tenali","Devarapally",2,0.001,0,0,0,0,2.001
157,"07-C-54-55","GNT-C-54-Tenali","Nandivelugu",205,0.001,0,0,0,0,205.001
158,"07-C-54-55","GNT-C-54-Tenali","Kathevaram",158,0.001,0,0,0,0,158.001
159,"07-C-54-55","GNT-C-54-Tenali","Gudivada",127,0.001,0,0,0,0,127.001
160,"07-C-54-55","GNT-C-54-Tenali","Sangamjagarlamudi",128,0.001,0,0,0,0,128.001
161,"07-C-54-55","GNT-C-54-Tenali","Angalakuduru",139,0.001,0,0,0,0,139.001
162,"07-C-54-55","GNT-C-54-Tenali","Nelapadu",60,0.001,0,0,0,0,60.001
163,"07-C-54-55","GNT-C-54-Tenali","Burripalem",125,0.001,0,0,0,0,125.001
164,"07-C-54-55","GNT-C-54-Tenali","Chinaravuru",123,0.001,0,0,0,0,123.001
165,"07-C-54-55","GNT-C-54-Tenali","Pedaravuru",160,0.001,0,0,0,0,160.001
166,"07-C-54-55","GNT-C-54-Tenali","Pinapadu",67,0.001,0,0,0,0,67.001
167,"07-C-54-55","GNT-C-54-Tenali","Tenali",3030,0.001,0,0,0,0,3030.001
168,"07-C-54-54","GNT-C-54-Tsunduru","Edlapalle",254,0.001,0,0,0,0,254.001
169,"07-C-54-54","GNT-C-54-Tsunduru","Chinaparimi",58,0.001,0,0,0,0,58.001
170,"07-C-54-54","GNT-C-54-Tsunduru","Valiveru",169,0.001,0,0,0,0,169.001
171,"07-C-54-54","GNT-C-54-Tsunduru","Penugudurupadu",173,0.001,0,0,0,0,173.001
172,"07-C-54-54","GNT-C-54-Tsunduru","Kothapalli Narikellapadu",64,0.001,0,0,0,0,64.001
173,"07-C-54-54","GNT-C-54-Tsunduru","Thottempudi",35,0.001,0,0,0,0,35.001
174,"07-C-54-54","GNT-C-54-Tsunduru","Vetapalem",155,0.001,0,0,0,0,155.001
175,"07-C-54-54","GNT-C-54-Tsunduru","Tsunduru",165,0.001,0,0,0,0,165.001
176,"07-C-54-54","GNT-C-54-Tsunduru","Pedagadelavarru",215,0.001,0,0,0,0,215.001
177,"07-C-54-54","GNT-C-54-Tsunduru","Manduru",260,0.001,0,0,0,0,260.001
178,"07-C-54-54","GNT-C-54-Tsunduru","Alapadu",48,0.001,0,0,0,0,48.001
179,"07-C-54-54","GNT-C-54-Tsunduru","Modukuru",254,0.001,0,0,0,0,254.001
180,"07-C-54-51","GNT-C-54-Vemuru","Pulichintalapalem",18,0.001,0,0,0,0,18.001
181,"07-C-54-51","GNT-C-54-Vemuru","Jampani",223,0.001,0,0,0,0,223.001
182,"07-C-54-51","GNT-C-54-Vemuru","Chadalavada",95,0.001,0,0,0,0,95.001
183,"07-C-54-51","GNT-C-54-Vemuru","Kuchallapadu",109,0.001,0,0,0,0,109.001
184,"07-C-54-51","GNT-C-54-Vemuru","Varahapuram",78,0.001,0,0,0,0,78.001
185,"07-C-54-51","GNT-C-54-Vemuru","Vemuru",255,0.001,0,0,0,0,255.001
186,"07-C-54-51","GNT-C-54-Vemuru","Pothumarru",58,0.001,0,0,0,0,58.001
187,"07-C-54-51","GNT-C-54-Vemuru","Peravalipalem",55,0.001,0,0,0,0,55.001
188,"07-C-54-51","GNT-C-54-Vemuru","Peravali",80,0.001,0,0,0,0,80.001
189,"07-C-54-51","GNT-C-54-Vemuru","Chavali",117,0.001,0,0,0,0,117.001
