S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
49,GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,0.0,0,0,,2.94,1.52,3.42,,1,0.8,811,541,270,1066,681,385
50,GNT-D-50-Macherla-Macherrla,GNT-D-50-MACHERLA-MACHRLA-MB,12.8,13.08,14.85,,23.65,11.42,13.45,2.33,1,0.8,660,408,252,878,477,401
51,GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,0.0,0,0,,2.87,1.4,3.61,,0.85,0.7,836,548,288,1561,994,567
52,GNT-D-50-Nagarjuna-Macherla,GNT-D-50-NAGARJUNA-MACHERLA-MB,23.7,11.42,2.45,,12.93,1.93,5.4,,1,0.9,660,408,252,878,477,401
53,GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,24.1,13.84,28.5,,5.98,2.72,5.48,,1,0.8,716,490,226,1003,672,331
54,GNT-D-50-Narasing-Narasingapadu,GNT-D-50-NARASING-NARISINGAPADU-MB,0.0,0,0,,2.44,1.43,3.64,,1,0.8,788,529,259,809,552,257
55,GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,0.0,0,0,,4.47,2.56,4.29,,0.8,0.6,946,647,299,1171,811,360.31
56,GNT-D-50-Ralla-Machavaram,GNT-D-50- RALLA-MACHAVARAM-MB,0.0,0,0,,9.66,8.47,11.72,,1,0.9,720,489,231,1366,900,466
57,GNT-D-50- Voppi-Voppicherla,GNT-D-50- VOPHI-VOPICHERLA-MB,0.0,0,0,,17.19,10.26,10.69,,0.9,0.9,775,514,261,582,318,264
58,GNT-D-50-Chandra-Mutukur,GNT-D-50- CHANDRA-MUTUKURU-MB,30.4,31.84,20.94,,,,,,0.98,0,678,409,269,505,252,253
59,GNT-D-50-Chintala-Taduvoy,GNT-D-50- CHINTA-TADUVOYA-MB,7.0,1.75,4.83,,,,,,0.98,0,813,537,276,1159,729,430
60,GNT-D-50-Jakkulagundam,GNT-D-50- JAKKULAGUNDAM-MB,12.8,13.08,14.85,,,,,,1,0,679,410,269,505,252,253
61,GNT-D-50-Jerri-Sirigiripadu,GNT-D-50- JERRI-SIRIGIRIPADU-MB,12.8,13.05,14.8,,,,,,1,0,679,410,269,505,252,253
62,GNT-D-50-Munigundla-Vijayapuri South,GNT-D-50- MUNIGUNDLA-VIJAYAPURISOUTH-MB,10.0,0.08,10.5,,,,,,0.82,0,660,408,252,878,477,401
63,GNT-D-50-Remidicherla,GNT-D-50- REMIDI-REMIDICHERLA-MB,24.1,13.84,28.5,,,,,,1,0,724,410,314,764,376,388
64,GNT-D-50-Isuka-1-Krosur,GNT-D-50-ISUKA-1-KROSUR-MB,0.0,0,0,,3.55,1.46,3.6,,0.9,0.7,910,599,311,1176,754,422
