Sr.No,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,,,,,,,,,,,,,,Watershed name
,Watershed name,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,,,,,,,,,,,,,,GNT_C_54_Amarthaluru
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon,,,,,,,,,,,,,GNT_C_54_Bapatla
36,GNT-C-54-Kollipara,DW,3857.1428571429,27,30,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
37,GNT-C-54-Kollipara,DW+PS/DCB,7142.8571428572,50,30,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
38,GNT-C-54-Kollipara,BWs,7142.8571428572,50,30,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
39,GNT-C-54-Kollipara,STW,22000,154,30,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
40,GNT-C-54-Kollipara,MTW,45000,315,30,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
41,GNT-C-54-Kollipara,Deep TW,64285.7142857143,450,30,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
42,GNT-C-54-Kollipara,Filter Points,8571.4285714286,60,30,80,714.2857142857,5,120,240,7142.8571428572,50,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
43,GNT-C-54-Kolluru,DW,3857.1428571429,27,40,90,285.7142857143,2,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,857.1428571429,6,120,240,3571.4285714286,25,120,240,3857.1428571429,27,40,90,,,,,3571.4285714286,25,120,240,,,,,,,,,,,,,
44,GNT-C-54-Kolluru,DW+PS/DCB,7142.8571428572,50,40,90,1428.5714285714,10,120,240,7142.8571428572,50,120,240,5714.2857142857,40,40,90,4285.7142857143,30,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
45,GNT-C-54-Kolluru,BWs,10000,70,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,9285.7142857143,65,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,14285.7142857143,100,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
46,GNT-C-54-Kolluru,STW,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,22000,154,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
47,GNT-C-54-Kolluru,MTW,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,10285.7142857143,72,120,240,7142.8571428572,50,120,240,45000,315,40,90,,,,,7142.8571428572,50,120,240,,,,,,,,,,,,,
48,GNT-C-54-Kolluru,Deep TW,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,10285.7142857143,72,120,240,14285.7142857143,100,120,240,64285.7142857143,450,40,90,,,,,14285.7142857143,100,120,240,,,,,,,,,,,,,
49,GNT-C-54-Kolluru,Filter Points,7142.8571428572,50,30,80,857.1428571429,6,120,240,10000,70,120,240,7857.1428571429,55,40,90,5142.8571428572,36,120,240,7142.8571428572,50,120,240,7142.8571428572,50,40,90,,,,,1428.5714285714,10,120,240,,,,,,,,,,,,,
