,,,,"CA","NCA","PQA",
,,,,"Industrial","Industrial","Industrial",
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total "
157,"07-C-54-55","GNT-C-54-Tenali","Nandivelugu",0,0,0,0
158,"07-C-54-55","GNT-C-54-Tenali","Kathevaram",0,0,0,0
159,"07-C-54-55","GNT-C-54-Tenali","Gudivada",0,0,0,0
160,"07-C-54-55","GNT-C-54-Tenali","Sangamjagarlamudi",0,0,0,0
161,"07-C-54-55","GNT-C-54-Tenali","Angalakuduru",0,0,0,0
162,"07-C-54-55","GNT-C-54-Tenali","Nelapadu",0,0,0,0
163,"07-C-54-55","GNT-C-54-Tenali","Burripalem",0,0,0,0
164,"07-C-54-55","GNT-C-54-Tenali","Chinaravuru",0,0,0,0
165,"07-C-54-55","GNT-C-54-Tenali","Pedaravuru",0,0,0,0
166,"07-C-54-55","GNT-C-54-Tenali","Pinapadu",0,0,0,0
167,"07-C-54-55","GNT-C-54-Tenali","Tenali",0,0,0,0
168,"07-C-54-54","GNT-C-54-Tsunduru","Edlapalle",0,0,0,0
169,"07-C-54-54","GNT-C-54-Tsunduru","Chinaparimi",0,0,0,0
170,"07-C-54-54","GNT-C-54-Tsunduru","Valiveru",0,0,0,0
171,"07-C-54-54","GNT-C-54-Tsunduru","Penugudurupadu",0,0,0,0
172,"07-C-54-54","GNT-C-54-Tsunduru","Kothapalli Narikellapadu",0,0,0,0
173,"07-C-54-54","GNT-C-54-Tsunduru","Thottempudi",0,0,0,0
174,"07-C-54-54","GNT-C-54-Tsunduru","Vetapalem",0,0,0,0
175,"07-C-54-54","GNT-C-54-Tsunduru","Tsunduru",0,0,0,0
176,"07-C-54-54","GNT-C-54-Tsunduru","Pedagadelavarru",0,0,0,0
177,"07-C-54-54","GNT-C-54-Tsunduru","Manduru",0,0,0,0
178,"07-C-54-54","GNT-C-54-Tsunduru","Alapadu",0,0,0,0
179,"07-C-54-54","GNT-C-54-Tsunduru","Modukuru",0,0,0,0
180,"07-C-54-51","GNT-C-54-Vemuru","Pulichintalapalem",0,0,0,0
181,"07-C-54-51","GNT-C-54-Vemuru","Jampani",0,0,0,0
182,"07-C-54-51","GNT-C-54-Vemuru","Chadalavada",0,0,0,0
183,"07-C-54-51","GNT-C-54-Vemuru","Kuchallapadu",0,0,0,0
184,"07-C-54-51","GNT-C-54-Vemuru","Varahapuram",0,0,0,0
185,"07-C-54-51","GNT-C-54-Vemuru","Vemuru",0,0,0,0
186,"07-C-54-51","GNT-C-54-Vemuru","Pothumarru",0,0,0,0
187,"07-C-54-51","GNT-C-54-Vemuru","Peravalipalem",0,0,0,0
188,"07-C-54-51","GNT-C-54-Vemuru","Peravali",0,0,0,0
189,"07-C-54-51","GNT-C-54-Vemuru","Chavali",0,0,0,0
190,"07-C-54-51","GNT-C-54-Vemuru","Balijepally",0,0,0,0
191,"07-C-54-51","GNT-C-54-Vemuru","Abbanagudavalli",0,0,0,0
192,"07-C-54-51","GNT-C-54-Vemuru","Penumarru",0,0,0,0
193,"07-C-55-37","GNT-C-55-Boddu-Velpuru","Gogulapadu",0,0,0,0
194,"07-C-55-37","GNT-C-55-Boddu-Velpuru","Alawala",0,0,0,0
195,"07-C-55-37","GNT-C-55-Boddu-Velpuru","Thurumella",0,0,0,0
196,"07-C-55-37","GNT-C-55-Boddu-Velpuru","Annavarappadu",0,0,0,0
197,"07-C-55-37","GNT-C-55-Boddu-Velpuru","Velpuru",0,0,0,0
198,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Talluru",0,0,0,0
199,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Bethapudi",0,0,0,0
200,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Vemavaram",0,0,0,0
201,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Phyrangipuram",0,0,0,0
202,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Havusuganesa",0,0,0,0
203,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Repudi",0,0,0,0
204,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Nudurupadu",0,0,0,0
205,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Kondaveedu",0,0,0,0
206,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Solasa",0,0,0,0
207,"07-C-55-42","GNT-C-55-Isuka-2-Kondaveedu","Chirumamilla",0,0,0,0
208,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Kondaveedu Hill & Forest",0,0,0,0
209,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Etukuru",0,0,0,0
210,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Ankireddypalem",0,0,0,0
211,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Potturu",0,0,0,0
212,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Chowdavaram",0,0,0,0
213,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Godavarru",0,0,0,0
214,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Vadlamudi",0,0,0,0
215,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Srirangapuram",0,0,0,0
216,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Chebrolu",0,0,0,0
217,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Patareddypalem",0,0,0,0
218,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Manchala",0,0,0,0
219,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Kornepadu",0,0,0,0
220,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Ananthavarappadu",0,0,0,0
221,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Chamallamudi",0,0,0,0
222,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Kurunuthala",0,0,0,0
223,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Garapadu",0,0,0,0
224,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Yamarru",0,0,0,0
225,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Katrapadu",0,0,0,0
226,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Vatticherukuru",0,0,0,0
227,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Lemallepadu",0,0,0,0
228,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Kovelamudi",0,0,0,0
229,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Karempudipadu",0,0,0,0
230,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Mutluru",0,0,0,0
231,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Pallapadu",0,0,0,0
232,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Enamadala",0,0,0,0
233,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Kondepadu",0,0,0,0
234,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Mallayapalem",0,0,0,0
235,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Vangipuram",0,0,0,0
236,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Vallur",0,0,0,0
237,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Kollimarla",0,0,0,0
238,"07-C-55-45","GNT-C-55-Konda-Vatticherukuru","Pandrapadu",0,0,0,0
239,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Lakkarajugarlapadu",0,0,0,0
240,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Palidevarlapadu",0,0,0,0
241,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Narnepadu",0,0,0,0
242,"07-C-55-41","GNT-C-55-Nakka-Muppalla","L kurapadu",0,0,0,0
243,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Erraguntlapadu",0,0,0,0
244,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Merikapudi",0,0,0,0
245,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Gundlapadu",0,0,0,0
246,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Ponukupadu",0,0,0,0
247,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Mydavolu",0,0,0,0
248,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Vankayalapadu",4,0,0,4
249,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Edlapadu",8,0,0,8
250,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Timmapuram",5,0,0,5
251,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Jaladi",0,0,0,0
252,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Thurlapadu",0,0,0,0
253,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Sandepudi",0,0,0,0
254,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Satuluru",0,0,0,0
255,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Chandavaram",0,0,0,0
256,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Gorijavolu",0,0,0,0
257,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Sankranthipadu",0,0,0,0
258,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Tubadu",0,0,0,0
259,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Nadendla",0,0,0,0
260,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Dondapadu",0,0,0,0
261,"07-C-55-41","GNT-C-55-Nakka-Muppalla","Kukkapallevari palem",0,0,0,0
