"Sr.No","watershed code","gw watershed name","Village code","village name","Population [command area]","Population [non command area]","total Population","LPCD"
100,"07-C-54-58","GNT-C-54-Nizampatnam",7,"Adavuladeevi(With Marshes)",8594,0,8594,472670.000055
101,"07-C-54-58","GNT-C-54-Nizampatnam",8,"Dindi(Including Marshes)",9704,0,9704,533720.000055
102,"07-C-54-58","GNT-C-54-Nizampatnam","F","Nizampatnam forest",0,0,0,0.000055
103,"07-C-54-59","GNT-C-54-Ponnuru",1,"Jupudi",1601,0,1601,88055.000055
104,"07-C-54-59","GNT-C-54-Ponnuru",2,"B. Kodur",3447,0,3447,189585.000055
105,"07-C-54-59","GNT-C-54-Ponnuru",3,"Vellaluru",2605,0,2605,143275.000055
106,"07-C-54-59","GNT-C-54-Ponnuru",4,"Mamillapalle",4197,0,4197,230835.000055
107,"07-C-54-59","GNT-C-54-Ponnuru",5,"Aremanda",2900,0,2900,159500.000055
108,"07-C-54-59","GNT-C-54-Ponnuru",6,"Dandamudi",3337,0,3337,183535.000055
109,"07-C-54-59","GNT-C-54-Ponnuru",7,"Munipalle",3561,0,3561,195855.000055
110,"07-C-54-59","GNT-C-54-Ponnuru",8,"P.T.Parru",2800,0,2800,154000.000055
111,"07-C-54-59","GNT-C-54-Ponnuru",9,"Doppalapudi",2966,0,2966,163130.000055
112,"07-C-54-59","GNT-C-54-Ponnuru",10,"Mannava",2502,0,2502,137610.000055
113,"07-C-54-59","GNT-C-54-Ponnuru",11,"Upparapalem",4291,0,4291,236005.000055
114,"07-C-54-59","GNT-C-54-Ponnuru",12,"Ponnur",59913,0,59913,3295215.000055
115,"07-C-54-59","GNT-C-54-Ponnuru",13,"Kondamudi",2972,0,2972,163460.000055
116,"07-C-54-59","GNT-C-54-Ponnuru",15,"Jadavalli",652,0,652,35860.000055
117,"07-C-54-59","GNT-C-54-Ponnuru",16,"Vaddimukkala",1556,0,1556,85580.000055
118,"07-C-54-59","GNT-C-54-Ponnuru",17,"Chintalapudi",8223,0,8223,452265.000055
119,"07-C-54-59","GNT-C-54-Ponnuru",18,"Vallabharaopalem",3091,0,3091,170005.000055
120,"07-C-54-59","GNT-C-54-Ponnuru",19,"Nandur",4740,0,4740,260700.000055
121,"07-C-54-59","GNT-C-54-Ponnuru",20,"Mulukuduru",8063,0,8063,443465.000055
122,"07-C-54-53","GNT-C-54-P.V.Palem",1,"Komali",845,0,845,46475.55
123,"07-C-54-53","GNT-C-54-P.V.Palem",2,"Sangupalem Koduru",2800,0,2800,154000.000055
124,"07-C-54-53","GNT-C-54-P.V.Palem",3,"Chandole",11342,0,11342,623810.000055
125,"07-C-54-53","GNT-C-54-P.V.Palem",4,"Pittalavanipalem",12036,0,12036,661980.000055
126,"07-C-54-53","GNT-C-54-P.V.Palem",5,"Khajipalem",6440,0,6440,354200.000055
127,"07-C-54-53","GNT-C-54-P.V.Palem",6,"Alluru",5146,0,5146,283030.000055
128,"07-C-54-56","GNT-C-54-Repalle",1,"Parisapadu",0,0,0,0.000055
129,"07-C-54-56","GNT-C-54-Repalle",2,"Karumuru",2713,0,2713,149215.000055
