GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
GNT-D-50-Chintala-Taduvoy,GNT-D-50- CHINTA-TADUVOYA-MB,Challagariga,Challagariga-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Challagundla,Challagundla
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Chamallamudi,Chamallamudi
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Chamarru,Chamarru
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Chandavaram,Chandavaram
GNT-C-54-P.V.Palem,GNT-C-54-P.V.PALEM-MB,Chandole,Chandole
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Charlagudipadu,Cherlagudi Padu
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Chatragadda,Chatragadda
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Chavali,Chavali-1
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Chebrolu,Chebrolu-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Cheemalamarri,Cheemalamarri
GNT-C-57-Cheja-Chejerla,GNT-C-57-CHEJA-CHEJARLA-MB,Chejerla,Chejerla-3
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Chemudupadu,Chemudupadu
GNT-D-50-Ralla-Machavaram,GNT-D-50- RALLA-MACHAVARAM-MB,Chennayapalem,Chennayapalem-1
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Cheruvu,Cheruvu
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Chigurupadu,Chigurupadu-1
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Chilumuru,Chilumuru
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Ponnur,Aremanda
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Chiluvuru,Chiluvuru
GNT-D-50-Ralla-Machavaram,GNT-D-50- RALLA-MACHAVARAM-MB,China Agraharam,China Agraharam
GNT-D-50-Julakallu-Kesanapalli,GNT-D-50-ZULAKALLU-KESANAPALLI-MB,Chinagarlpadu,Chinagarlapadu
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Chinakakani,Chinakakani
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Chinakodamagundla,China Kodamagundla
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Chinamakkena,Chinamakkena
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Chinapalakaluru,China Palakaluru
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Chinapalem,Chinapalem
GNT-C-54-Tsunduru,GNT-C-54-TSUNDURU-MB,Chinaparimi,Chinaparimi
GNT-C-55-Vogeru-Chilakaluripet_Part-Ongole,GNT-C-55-VOGERU-CHILAKALURIPET_PART-ONGO-MB,Chinapasumarru,Chinna Pasumarru
GNT-C-54-P.V.Palem,GNT-C-54-P.V.PALEM-MB,Pittalavanipalem,Allur-5
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Chinapulivarru,Chinapulivarru
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Chinaravuru,China Ravuru (Rural)
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Chinavadlapudi,Chinavadlapudi
GNT-C-57-Vola-Tangirala,GNT-C-57-VOLA-TANGIRALA-MB,Chintalacheruvu,Chintala Cheruvu-1
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Chintalapudi,Chintalapudi-2
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Chintalapudi,Chintalapudi-3
GNT-D-50-Atcham.-Atchampeta,GNT-D-50- ATCHAM-ATCHAMPETA-MB,Chintapalli,Chintapalle-1
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Chintapalli,Chintapalle-2
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Chirravuru,Chirravuru
GNT-C-55-Isuka-2-Kondaveedu,GNT-C-55-ISSUKA-2-KONDAVEEDU-MB,Chirumamilla,Chirumamilla
GNT-C-57-Cheja-Chejerla,GNT-C-57-CHEJA-CHEJARLA-MB,Chittapuram,Chittapuram
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Repalle,Aravapalle
GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,chityala,Chityala-2
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Chivaluru,Chivalur
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Chodayapalem,Chodayapalem
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Chowdavaram,Chowdavaram
GNT-D-50-Erra-1-Rajupalem,GNT-D-50-ERRA-1-RAJUPALEM-MB,Chowtapapayapalem,Chowtapapayapalem
GNT-C-57-Kandaleru-2-Vinukonda_Part-Ongole,GNT-C-57-KADLERU-2-VINUKONDA_PART-ONGOLE-MB,Chowtayapalem,Chowtapalem
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Dachavarapadu,Dechavarappadu
GNT-D-50-Gadida-Daida,GNT-D-50- GADIDA-DAIDA-MB,Daida,Daida
GNT-D-50-Nagarjuna-Macherla,GNT-D-50-NAGARJUNA-MACHERLA-MB,Damarapadu,Damarapadu
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Damarapalle,Damarapalle
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Dammalapudu,Dammalapadu
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Dandamudi,Dandamudi
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Daranikota,Dharanikota
GNT-D-50-Goli-Thumurukota,GNT-D-50- GOLI-THUMURKOTA-MB,Darivemula,Darivemula
GNT-C-55-Ura-Rompicherla,GNT-C-55-URA-ROMPICHERLA-MB,Dasaripalem,Dasaripalem
GNT-C-57-Anga-Angalur,GNT-C-57-ANGA-ANGALUR-MB,Dasullapalli,Dasullapalle
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Davuluru,Davuluru-1
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Devarapalli Agraharam,Devarapalle Agraharam
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Devarapally,Devarapalle Seri
GNT-C-55-Pedda-2-Mangalagiri,GNT-C-55-PEDDA-2-MANGALAGIRI-MB,Devarayabhotlapalem,Devarayabhotlapalem
GNT-C-54-Tenali,GNT-C-54-TENALI-MB,Tenali,Angalakuduru
GNT-C-54-Kollipara,GNT-C-54-KOLLIPARA-MB,Dhanthaluru,Danthalur
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Dharmavaram,Dharmavaram-1
GNT-D-50-Challa-Challagundla,GNT-D-50-CHALLA-CHALLAGUNDLA-MB,Dhulipalla,Dhulipalla-1
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Dhulipudi,Dhulipudi
GNT-D-50 Mada-Pedakurapadu,GNT-D-50-MADDA-PEDAKURAPADU-MB,Didugu,Didugu
GNT-C-54-Nizampatnam,GNT-C-54-NIZAMPATNAM-MB,Dindi(Including Marshes),Dindi
GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,Dogiparru,Dokiparru
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Dondapadu,Dondapadu Agraharam
GNT-C-57-Pasupuleru-Vellaturu,GNT-C-57-PASUPU-VELLATURU-MB,Dondapadu,Dondapadu-1
GNT-D-50-Kattela-Thulluru,GNT-D-50-KATTELA-THULLURU-MB,Dondapadu,Dondapadu
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Donepudi,Donepudi
GNT-C-54-Ponnuru,GNT-C-54-PONNURU-MB,Doppalapudi,Doppalapudi
GNT-C-55-Vogeru-Chilakaluripet_Part-Ongole,GNT-C-55-VOGERU-CHILAKALURIPET_PART-ONGO-MB,Edavalli,Edavalli-1
GNT-C-54-Tsunduru,GNT-C-54-TSUNDURU-MB,Edlapalle,Edlapalle
GNT-C-55-Rama-Prathipadu,GNT-C-55-RAMA-PRTHIPADU-MB,Edulapalem,Edulapalem
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Edupalle,Edupalle
GNT-C-54-Nagaram,GNT-C-54-NAGARAM-MB,Eletipalem,Eletipalem
GNT-C-54-Vemuru,GNT-C-54-VEMURU-MB,Vemuru,Abbanagudavalli
GNT-C-55-Nalanda-Narasaraopet,GNT-C-55-NALANDA-NARASARAOPET-MB,Ellamanda,Ellamanda-1
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Emani,Emani
GNT-D-50-Erra-2-Piduguralla,GNT-D-50- ERRA-2-PIDUGURALLA-MB,Emmajigudem,Emmajigudem
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Enamadala,Enamadala
GNT-D-50-Kondaveeti-Medikonduru,GNT-D-50-KONDAVEETI-MEDIKONDURU-MB,Endroyi,Endroyi
GNT-C-57-Konkeru-Savalyapuram,GNT-C-57-KONKER-SAVALYAPURAM-MB,Enugupalem,Enugupalem-1
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Erraguntlapadu,Erraguntlapadu
GNT_C_54_Bapatla,GNT-C-54-BAPATLA-MB,Etheru,Etheru
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Etukuru,Etukur
GNT-C-55-Nallama-Pedanandipadu,GNT-C-55-NALLAMA-PEDANANDIPADU-MB,Forest and marshes,Bapatla (M)
GNT-C-54-Kolluru,GNT-C-54-KOLLURU-MB,Gajullanka,Gajullanka
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Gamalapadu,Gamalapadu
GNT-C-54-Karlapalem,GNT-C-54-KARLAPAEM-MB,Ganapavaram,Ganapavaram-6
GNT-C-55-Nalanda-Narasaraopet,GNT-C-55-NALANDA-NARASARAOPET-MB,Ganapavaram,Ganapavaram-2
GNT-D-50-Erra-1-Rajupalem,GNT-D-50-ERRA-1-RAJUPALEM-MB,Ganapavaram,Ganapavaram-1
GNT-C-57-Kandaleru-1-Bollapalli-Part_Ongole,GNT-C-57-KANDLERU-1-BOLLAPALLI-PART_ONGOL-MB,Gandiganumala,Gandiganumala-1
GNT-C-54-Repalle,GNT-C-54-REPALLI-MB,Gangadipalem(With Marshes area),Gangadipalem
GNT-D-50-Dandi-Gurajala,GNT-D-50-DANDI-GURAJALA-MB,Gangavaram,Gangavaram-8
GNT-C-55-Tummala-Edlapadu,GNT-C-55-TUMMALA-EDLAPADU-MB,Ganikapudi,Ganikapudi
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Garapadu,Garapadu-1
GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,Garapadu,Garapadu
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Garikapadu,Garikapadu-4
GNT-D-50-Remidicherla,GNT-D-50- REMIDI-REMIDICHERLA-MB,Garikapadu,Garikapadu-3
GNT-D-50-Chintala-Taduvoy,GNT-D-50- CHINTA-TADUVOYA-MB,Ginjupalli,Ginjupalle
GNT-C-54-Duggirala,GNT-C-54-DUGGIRALA-MB,Godavarru,Godavarru-2
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Godavarru,Godavarru
GNT-C-55-Boddu-Velpuru,GNT-C-55-BODDU-VELPUR-MB,Gogulapadu,Gogulapadu-1
GNT-D-50-Naguleru-Dachepalle,GNT-D-50- NAGULERU-DACHAPALLI-MB,Gogulapadu,Gogulapadu
GNT-C-57-Gundla-1-Nuzendla-Part_Ongole,GNT-C-57-GUNDLA-1-NUJENDLA-PART_ONGOLE-MB,Gokanakonda,Gokanakonda
GNT-D-50-Goli-Thumurukota,GNT-D-50- GOLI-THUMURKOTA-MB,Goli,Goli
GNT-C-55-Nalanda-Narasaraopet,GNT-C-55-NALANDA-NARASARAOPET-MB,Gollapadu,Gollapadu
GNT_C_54_Bapatla,GNT-C-54-BAPATLA-MB,Gopapuram,Gopapuram-1
GNT-D-50-Lakshmi-Panidam,GNT-D-50-LAKSHMI-PANIDAM-MB,Gorantla,Gorantla-3
GNT-D-50-Pedda-1-Guntur,GNT-D-50-PEDD-1-GUNTUR-MB,Gorantla,Gorantla-4
GNT_C_54_Bhattiprollu,GNT-C-54-BHATTIPROLLU-MB,Gorigapudi,Gorigapudi
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Gorijavolu,Gorijavolu
GNT-C-55-Nakka-Muppalla,GNT-C-55-NAKKA-MUPPALLA-MB,Gorijavoluguntapalem,Gorijavoluguntapalem
GNT-D-50-Gadida-Daida,GNT-D-50- GADIDA-DAIDA-MB,Gottimukkala,Gottimukkala
GNT-C-55-Tummala-Edlapadu,GNT-C-55-TUMMALA-EDLAPADU-MB,Gottipadu,Gottipadu
GNT-C-55-Vogeru-Chilakaluripet_Part-Ongole,GNT-C-55-VOGERU-CHILAKALURIPET_PART-ONGO-MB,Gottipadu,Gottipadu-1
GNT-C-55-Konda-Vatticherukuru,GNT-C-55-KONDA-VATTICHERUKURU-MB,Vatticherukuru,Ananthavarappadu
