,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
50,Skl_F_PMD_Sandemmagedda_Nandigam,DW,2000,285,70,110,480,148,120,240,0,,120,240,2000,1521,70,110,480,546,120,240,0,,120,240,,,,,,,,,,,,
51,Skl_F_PMD_Sandemmagedda_Nandigam,DW+PS/DCB,3200,48,70,110,2400,8,120,240,0,,120,240,3200,116,70,110,2400,90,120,240,0,,120,240,,,,,,,,,,,,
52,Skl_F_PMD_Sandemmagedda_Nandigam,BWs,5600,3,70,110,5760,,120,240,0,,120,240,5600,33,70,110,5760,,120,240,0,,120,240,,,,,,,,,,,,
53,Skl_F_PMD_Sandemmagedda_Nandigam,STW,5600,13,70,110,0,,120,240,0,,120,240,5600,85,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
54,Skl_F_PMD_Sandemmagedda_Nandigam,MTW,5600,0,70,110,0,,120,240,0,,120,240,5600,0,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
55,Skl_F_PMD_Sandemmagedda_Nandigam,Deep TW,5600,0,70,110,0,,120,240,0,,120,240,5600,0,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
56,Skl_F_PMD_Sandemmagedda_Nandigam,Filter Points,5600,37,70,110,0,,120,240,0,,120,240,5600,18,70,110,0,,120,240,0,,120,240,,,,,,,,,,,,
64,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,DW,2000,4.8,75,120,480,66,120,240,0,,120,240,2000,40.4,75,120,480,403,120,240,0,,120,240,,,,,,,,,,,,
65,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,DW+PS/DCB,2400,0,75,120,2400,7.4,120,240,0,,120,240,2400,0,75,120,2400,16,120,240,0,,120,240,,,,,,,,,,,,
66,Skl_F_Vamsadhara_Vamsadhara_W2_Hiramandalam,BWs,5600,120,75,120,3200,,120,240,0,,120,240,5600,155,75,120,3200,,120,240,0,,120,240,,,,,,,,,,,,
