S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,,
29,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KORIKANAKURMIRAJAPURAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110220106,022,KORIKANAKURMIRAJAPURAM
30,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BURJA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110230108,023,BURJA
31,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VAVAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110240109,024,VAVAM
32,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,NEELADEVIPURAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110250110,025,NEELADEVIPURAM
33,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,TURUPURAMABHADRARAJUPET,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110260111,026,TURUPURAMABHADRARAJUPET
34,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,NARENDRAPURAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110270107,027,NARENDRAPURAM
35,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,PENDYALALAKSHIMIDEVIPET,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110280107,028,PENDYALALAKSHIMIDEVIPET
36,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,SANKURADA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110290112,029,SANKURADA
37,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THOTAVADA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110300111,030,THOTAVADA
38,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,THIMADAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110310113,031,THIMADAM
