"Sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
87,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","LAKKUPURAM",,0,2,1.202015748,,
88,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DONKALAPARTHA",,0,,0,,
89,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","YETIVODDUPARTHA",,0,,0,,
90,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PALAVALASA",3,3.6267716535,,0,,
91,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PARAVASTURAMANNAPETA",,0,,0,,
92,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KONDAPETA",,0,,0,,
93,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JAGANNADHAPURAM",,0,,0,,
94,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDDAPETA",,0,,0,,
95,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KILANTRA",,0,,0,,
96,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VANDRA (UI)",,0,,0,,
97,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GANGABHAGIRADHIPURAM",,0,,0,,
98,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","NEELAPURAM",,0,,0,,
99,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","AVALANGI",,0,,0,,
100,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GOPALAVENKATAPURAM",,0,,0,,
101,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DOLAMADA",,0,,0,,
102,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JAMPARAKOTA",,0,,0,,
103,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","LOVIDILAKSHIMIPURAM",,0,,0,,
104,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MALLIVEEDU",,0,,0,,
105,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SINGUPURAM",,0,,0,,
106,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","POTLI",,0,,0,,
107,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","NAVAGAM",,0,,0,,
108,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DUGGI",,0,,0,,
109,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","NAKKAPETAPARAPURAM",,0,,0,,
110,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VATAPAGU",,0,,0,,
111,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINTADA",,0,,0,,
112,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PADMAPURAM",,0,,0,,
113,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","BHASURU",,0,,0,,
114,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDAKOTIPALLE",,0,,0,,
115,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINAKOTIPALLE",,0,,0,,
116,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GUDIVADA",,0,,0,,
117,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VONI",,0,,0,,
118,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SIRIKONDA",,0,,0,,
119,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VELAGAVADA",,0,,0,,
120,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","P.R.RAJUPETA",,0,,0,,
121,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GARUGUBILLI",,0,,0,,
122,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","LUMBURU",,0,,0,,
123,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PALAKONDA (PT)",,0,,0,,
124,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TUMMARADA",,0,,0,,
125,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","ARADALA",,0,,0,,
126,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","ATTALI",,0,,0,,
127,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PANUKUVALASA",,0,,0,,
128,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","BEJJI",,0,,0,,
129,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","T.D.PARAPURRAM",,0,,0,,
130,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","T.K.RAJAPURAM",,0,,0,,
131,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","BUKKURU",,0,,0,,
132,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","YERAKARAYAPURAM",,0,,0,,
133,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINAMANGALAPURAM",,0,,0,,
134,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TAMPATAPALLE",,0,,0,,
135,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GOPALAPURAM",,0,,0,,
136,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PARASURAMAPURAM",,0,,0,,
137,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SINGANNAVALASA",,0,,0,,
138,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KONDAPURAM",,0,,0,,
139,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","AMPILI",,0,,0,,
140,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TUMBALI",,0,,0,,
141,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DABARA",,0,,0,,
142,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DANJUPAI",,0,,0,,
143,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","RAMANAGARAM",,0,,0,,
144,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GADIDAPAI",,0,,0,,
145,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KILLADA",,0,,0,,
146,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MEKAVA",,0,,0,,
147,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","RUPI",,0,,0,,
148,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TADIPAI",,0,,0,,
149,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JAYAPURAM",,0,,0,,
150,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VELAJA PURAM",,0,,0,,
151,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GADIGUJJI",,0,,0,,
152,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KANDISA(UI)",,0,,0,,
153,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GADIKARAM",,0,,0,,
154,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DUGI",,0,,0,,
155,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","EGULADA",,0,,0,,
156,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MANAPURAM",,0,,0,,
157,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KUSUMURU",,0,,0,,
158,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TITUKAPAI",,0,,0,,
159,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KOTHA KOTA",,0,,0,,
160,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TANGINIBHADRA(UI)",,0,,0,,
161,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KUMBHI",,0,,0,,
162,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DASUGUMDA",,0,,0,,
163,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDATANKIDI",,0,,0,,
164,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","K.VEERA GHATTAM",,0,,0,,
