sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
115,06-D-49-04,Kri-D-49-Utukuru,Penugolenu,1,52,0,0,,
116,06-D-49-04,Kri-D-49-Utukuru,Tunikipadu,0,0,0,0,,
117,06-D-49-04,Kri-D-49-Utukuru,Rajavaram,0,0,0,0,,
118,06-D-49-07,Kri-D-49-Talluru,Kakaravai,0,0,0,0,,
119,06-D-49-07,Kri-D-49-Talluru,Machinenipalem,0,0,0,0,,
120,06-D-49-07,Kri-D-49-Talluru,Talluru,0,0,0,0,,
121,06-D-49-07,Kri-D-49-Talluru,Vemulanarva,0,0,0,0,,
122,06-D-49-10,Kri-D-49--K.Atmakuru,K.Atmakuru,0,0,0,0,,
123,06-D-49-10,Kri-D-49--K.Atmakuru,Jonnalagadda,0,0,0,0,,
124,06-D-49-10,Kri-D-49--K.Atmakuru,V.Annavaram,0,0,0,0,,
125,06-D-49-05,Kri-D-49-Veerulapadu,Torragudipadu,1,10,0,0,,
126,06-D-49-05,Kri-D-49-Veerulapadu,Damuluru,0,0,0,0,,
127,06-D-49-05,Kri-D-49-Veerulapadu,Somavaram,1,60,0,0,,
128,06-D-49-05,Kri-D-49-Veerulapadu,Rudravaram,0,0,0,0,,
129,06-D-49-05,Kri-D-49-Veerulapadu,Gollamudi,0,0,0,0,,
130,06-D-49-05,Kri-D-49-Veerulapadu,Raghavapuram,0,0,0,0,,
131,06-D-49-05,Kri-D-49-Veerulapadu,Pallempalli,0,0,0,0,,
132,06-D-49-05,Kri-D-49-Veerulapadu,Konatanapalli,1,24,0,0,,
133,06-D-49-05,Kri-D-49-Veerulapadu,Choutapalli,1,23,0,0,,
134,06-D-49-05,Kri-D-49-Veerulapadu,Chattannavaram,0,0,0,0,,
135,06-D-49-05,Kri-D-49-Veerulapadu,Dachavaram,1,65,0,0,,
136,06-D-49-05,Kri-D-49-Veerulapadu,Vellanki,1,61,0,0,,
137,06-D-49-05,Kri-D-49-Veerulapadu,Tatigummi,0,0,0,0,,
138,06-D-49-05,Kri-D-49-Veerulapadu,Gokharajupalli,0,0,0,0,,
139,06-D-49-05,Kri-D-49-Veerulapadu,Nandaluru,0,0,0,0,,
140,06-D-49-05,Kri-D-49-Veerulapadu,Bodawada,0,0,0,0,,
141,06-D-49-05,Kri-D-49-Veerulapadu,Lakshmipuram,0,0,0,0,,
142,06-D-49-05,Kri-D-49-Veerulapadu,Jammavaram,0,0,0,0,,
143,06-D-49-01,Kri-D-49-Peddavaram,Akkapalem,3,55,0,0,,
144,06-D-49-01,Kri-D-49-Peddavaram,Chintalapadu,2,40,0,0,,
145,06-D-49-01,Kri-D-49-Peddavaram,Erramadu,2,6,0,0,,
146,06-D-49-01,Kri-D-49-Peddavaram,Mustikuntla,3,45,0,0,,
147,06-D-49-01,Kri-D-49-Peddavaram,Munukulla,2,59,0,0,,
148,06-D-49-01,Kri-D-49-Peddavaram,Peddavaram,3,22,0,0,,
149,06-D-49-01,Kri-D-49-Peddavaram,Vamakuntla,3,25,0,0,,
150,06-D-49-01,Kri-D-49-Peddavaram,Vavilala,4,145,0,0,,
151,06-D-49-08,Kri-D-49-Tiruvuru,Tiruvuru,9,124,0,0,,
152,06-D-49-08,Kri-D-49-Tiruvuru,Chittela,3,32,3,0,,
