,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
61,Kri-D-49-Talluru,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
62,Kri-D-49-Talluru,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
63,Kri-D-49-Talluru,Filter Points,0,,20,80,0,,120,240,0,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
64,Kri-D-49--K.Atmakuru,DW,0,,30,80,857.1428571,,120,240,3857.142857,,120,240,3857.142857,,40,90,857.1428571,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
65,Kri-D-49--K.Atmakuru,DW+PS/DCB,6428.571429,,30,80,0,,120,240,3857.142857,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
66,Kri-D-49--K.Atmakuru,BWs,8000,,30,80,15714.28571,,120,240,7000,,120,240,7000,,40,90,1142.857143,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
67,Kri-D-49--K.Atmakuru,STW,0,,30,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
68,Kri-D-49--K.Atmakuru,MTW,0,,30,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
69,Kri-D-49--K.Atmakuru,Deep TW,0,,30,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
70,Kri-D-49--K.Atmakuru,Filter Points,0,,30,80,0,,120,240,7142.857143,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
71,Kri-D-49-Veerulapadu,DW,0,,30,90,571.4285714,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
72,Kri-D-49-Veerulapadu,DW+PS/DCB,7142.857143,,30,90,0,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
73,Kri-D-49-Veerulapadu,BWs,9285.714286,,30,90,5714.285714,,120,240,1428.571429,,120,240,9000,,40,90,9000,,120,240,9000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
74,Kri-D-49-Veerulapadu,STW,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
75,Kri-D-49-Veerulapadu,MTW,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
76,Kri-D-49-Veerulapadu,Deep TW,0,,30,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
77,Kri-D-49-Veerulapadu,Filter Points,0,,30,90,0,,120,240,0,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
78,Kri-D-49-Peddavaram,DW,0,,20,80,857.1428571,,120,240,0,,120,240,3857.142857,,40,90,857.1428571,,120,240,3571.428571,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
79,Kri-D-49-Peddavaram,DW+PS/DCB,7142.857143,,20,80,0,,120,240,0,,120,240,5714.285714,,40,90,4285.714286,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
80,Kri-D-49-Peddavaram,BWs,9000,,20,80,7142.857143,,120,240,1428.571429,,120,240,9285.714286,,40,90,5142.857143,,120,240,7142.857143,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
81,Kri-D-49-Peddavaram,STW,0,,20,80,0,,120,240,0,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
82,Kri-D-49-Peddavaram,MTW,0,,20,80,0,,120,240,0,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
83,Kri-D-49-Peddavaram,Deep TW,0,,20,80,0,,120,240,0,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
84,Kri-D-49-Peddavaram,Filter Points,12000,,20,80,0,,120,240,1428.571429,,120,240,7857.142857,,40,90,5142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
85,Kri-D-49-Tiruvuru,DW,0,,20,80,857.1428571,,120,240,1428.571429,,120,240,2142.857143,,40,90,2142.857143,,120,240,2142.857143,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
86,Kri-D-49-Tiruvuru,DW+PS/DCB,7142.857143,,20,80,4285.714286,,120,240,1428.571429,,120,240,4285.714286,,40,90,4285.714286,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
87,Kri-D-49-Tiruvuru,BWs,10714.28571,,20,80,5714.285714,,120,240,1428.571429,,120,240,7000,,40,90,7000,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
88,Kri-D-49-Tiruvuru,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
89,Kri-D-49-Tiruvuru,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
90,Kri-D-49-Tiruvuru,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
91,Kri-D-49-Tiruvuru,Filter Points,15000,,20,80,7142.857143,,120,240,1428.571429,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
92,Kri-D-49-A.Konduru,DW,0,,20,80,857.1428571,,120,240,3857.142857,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
93,Kri-D-49-A.Konduru,DW+PS/DCB,5714.285714,,20,80,1428.571429,,120,240,3285.714286,,120,240,3285.714286,,40,90,3285.714286,,120,240,3285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
94,Kri-D-49-A.Konduru,BWs,8000,,20,80,4285.714286,,120,240,7000,,120,240,7000,,40,90,7000,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
95,Kri-D-49-A.Konduru,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
96,Kri-D-49-A.Konduru,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
97,Kri-D-49-A.Konduru,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
98,Kri-D-49-A.Konduru,Filter Points,7142.857143,,20,80,2857.142857,,120,240,7142.857143,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
99,Kri-D-49-Vissannapeta,DW,0,,20,80,714.2857143,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
100,Kri-D-49-Vissannapeta,DW+PS/DCB,7142.857143,,20,80,0,,120,240,0,,120,240,4285.714286,,40,90,4285.714286,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
101,Kri-D-49-Vissannapeta,BWs,10714.28571,,20,80,5714.285714,,120,240,1428.571429,,120,240,7000,,40,90,7000,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
102,Kri-D-49-Vissannapeta,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
103,Kri-D-49-Vissannapeta,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
104,Kri-D-49-Vissannapeta,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
105,Kri-D-49-Vissannapeta,Filter Points,15000,,20,80,7142.857143,,120,240,0,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
106,Kri-D-49-Gampalagudem,DW,0,,20,80,571.4285714,,120,240,0,,120,240,3857.142857,,40,90,3857.142857,,120,240,3857.142857,,120,240,3857.142857,,40,90,,,,,3571.428571,,120,240
107,Kri-D-49-Gampalagudem,DW+PS/DCB,6428.571429,,20,80,3285.714286,,120,240,0,,120,240,3285.714286,,40,90,3285.714286,,120,240,3285.714286,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
108,Kri-D-49-Gampalagudem,BWs,8000,,20,80,7142.857143,,120,240,1428.571429,,120,240,7000,,40,90,7000,,120,240,7000,,120,240,14285.71429,,40,90,,,,,7142.857143,,120,240
109,Kri-D-49-Gampalagudem,STW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,22000,,40,90,,,,,7142.857143,,120,240
110,Kri-D-49-Gampalagudem,MTW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,45000,,40,90,,,,,7142.857143,,120,240
111,Kri-D-49-Gampalagudem,Deep TW,0,,20,80,0,,120,240,0,,120,240,0,,40,90,0,,120,240,0,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
112,Kri-D-49-Gampalagudem,Filter Points,12000,,20,80,7142.857143,,120,240,1428.571429,,120,240,7142.857143,,40,90,7142.857143,,120,240,7142.857143,,120,240,7142.857143,,40,90,,,,,7142.857143,,120,240
