GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Gollapalli,Gollapalle-16
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Gollapudi,Gollapudi
Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,Gopavaram,Gopavaram-6
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Gopavarapugudem,Gopavarapugudem
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Gopinenipalem,Gopinenipalem
Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,Gosaveedu,Gosaveedu
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Gottumukkala,Gottumukkala
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Gowravaram,Gowravaram-2
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Gudavalli,Gudavalli
Kri-D-51-Chandarlapadu,KRI-D-51-CHANDARLAPADU-MB,Gudimetla,Gudimetla-1
Kri-D-51-Chandarlapadu,KRI-D-51-CHANDARLAPADU-MB,Gudimetlapalem,Gudimetlapalem
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Gudurupadu,Gudurupadu
Kri-D-49-Gampalagudem,KRI-D-49-GAMPALAGUDEM-MB,Gullapudi,Gullapudi
Kri-I-40-Musunuru,KRI-I-40-MUSUNURU-MB,Gullapudi,Gullapudi
Kri-D-49-Penuganchiprolu,KRI-D-49-PENUGANCHIPROLU-MB,Gummadiduru,Gummadidurru
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Gunadala,Vijayawada (M)
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Guntupalli,Guntupalle
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Gurrajupalem,Gurrajupalem
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,H.M.Gudem,Hanumanthunigudem
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,H.Mutyalampadu,Haveli Mutyalampadu
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Hassanbada,Hasanabada
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Ibrahimpatnam,Ibrahimpatnam-1
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Ilaprolu,Elaprolu
Kri-D-49-Vatsavai,KRI-D-49-VATSAVAI-MB,Indugupalli,Indugapalle
Kri-D-49-Nandigama,KRI-D-49-NANDIGAMA-MB,Itavaram,Ithavaram
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Jaganadhapuram,Jagannadhapuram-1
Kri-D-48-Jaggaiahpeta,KRI-D-48-JAGGAYYAPETA-MB,Jaggaiahpeta,Jaggaiahpet
Kri-I-42-G.Konduru,KRI-I-42-G.KONDURU-MB,Jakkampudi,Jakkampudi
Kri-I-42-Gannavaram,KRI-I-42-GANNAVARAM-MB,Jakkulanekkalam,Jakkulanekkalam
Kri-D-51-Kanchikacherla ,KRI-D-51-KANCHIKACHERLA-MB,Jamimachavaram,Zami Machavaram
Kri-D-49-Veerulapadu,KRI-D-49-VEERULAPADU-MB,Jammavaram,Jammavaram
Kri-I-40-Chatrai,KRI-I-40-CHATRAI-MB,Janardhanavaram,Janardhanavaram
Kri-I-42-Mylavaram,KRI-I-42-MYLAVARAM-MB,Jangalapalli,Jangalapalle-9
Kri-I-41-Nuzvid,KRI-I-41-NUZIVIDU-MB,Jangamagudem,Jangamgudem
